n,j,C_n_j,parking_functions
22,22,15519448971100888972574851072,39471584120695485887249589623
23,1,2315513501476187716057433112576,2315513501476187716057433112576
23,2,1651278156766085897693913153536,2315513501476187716057433112576
23,3,1456036862375002072884238542069,2315513501476187716057433112576
23,4,1364777864822617322535895695360,2315513501476187716057433112576
23,5,1312164770304343418041902028786,2315513501476187716057433112576
23,6,1277851540393594983547810086912,2315513501476187716057433112576
23,7,1253526463235440566858072908205,2315513501476187716057433112576
23,8,1235175141970954280469119631360,2315513501476187716057433112576
23,9,1220617904892390883351134715320,2315513501476187716057433112576
23,10,1208559011303446091922665373696,2315513501476187716057433112576
23,11,1198165331664776993033212715690,2315513501476187716057433112576
23,12,1188858005996504241638165446656,2315513501476187716057433112576
23,13,1180198197491419197114674151372,2315513501476187716057433112576
23,14,1171816067728297017670767738880,2315513501476187716057433112576
23,15,1163357581543280156400146053506,2315513501476187716057433112576
23,16,1154432516295049346734173978624,2315513501476187716057433112576
23,17,1144546406099486508461833382520,2315513501476187716057433112576
23,18,1132987605626039762396654862336,2315513501476187716057433112576
23,19,1118604692032844803487194465665,2315513501476187716057433112576
23,20,1099297884333570393521537417216,2315513501476187716057433112576
23,21,1070644427051421868588826638866,2315513501476187716057433112576
23,22,1021182671045422264732741533696,2315513501476187716057433112576
23,23,907846434775996175406740561329,2315513501476187716057433112576
24,1,142108547152020037174224853515625,142108547152020037174224853515625
24,2,101361293364053049872079881909077,142108547152020037174224853515625
24,3,89389994689307251716935770340934,142108547152020037174224853515625
24,4,83798329397841666000208974929074,142108547152020037174224853515625
24,5,80577993571212022304534912109375,142108547152020037174224853515625
24,6,78481033338365708429547936385515,142108547152020037174224853515625
24,7,76997831604467761995231249329212,142108547152020037174224853515625
24,8,75882453622495474837287456341704,142108547152020037174224853515625
24,9,75001600295538879513632700896229,142108547152020037174224853515625
24,10,74276321337003881931304931640625,142108547152020037174224853515625
24,11,73656229327862300301138983972130,142108547152020037174224853515625
24,12,73106810820304121912493836893902,142108547152020037174224853515625
24,13,72602563891320146992909060488859,142108547152020037174224853515625
24,14,72122882792919479218945250152519,142108547152020037174224853515625
24,15,71649212570006389617919921875000,142108547152020037174224853515625
24,16,71162619177878889655801715730820,142108547152020037174224853515625
24,17,70641079039567766225351599177377,142108547152020037174224853515625
24,18,70055586250767442559584172331309,142108547152020037174224853515625
24,19,69363388064247224300181905657854,142108547152020037174224853515625
24,20,68494408940808014869689941406250,142108547152020037174224853515625
24,21,67320043373388450125082846836535,142108547152020037174224853515625
24,22,65568656210784321526581059862307,142108547152020037174224853515625
24,23,62535568222590895511906745078444,142108547152020037174224853515625
24,24,55572324035428505185378394701824,142108547152020037174224853515625
25,1,9106685769537214956799814036094976,9106685769537214956799814036094976
25,2,6496580382940340186487590158860288,9106685769537214956799814036094976
25,3,5730076202360627407972077153190723,9106685769537214956799814036094976
25,4,5372272826686531952055320762646528,9106685769537214956799814036094976
25,5,5166398258627572764816263877225435,9106685769537214956799814036094976
25,6,5032522222310042058133224854388736,9106685769537214956799814036094976
25,7,4938014285275663819859189932818373,9106685769537214956799814036094976
25,8,4867137444630209692140055516151808,9106685769537214956799814036094976
25,9,4811373510745800264817889242938853,9106685769537214956799814036094976
25,10,4765691221181423437671272829419520,9106685769537214956799814036094976
25,11,4726897068424357005693325633679646,9106685769537214956799814036094976
25,12,4692826319041505391490244288708608,9106685769537214956799814036094976
25,13,4661909301929293592921681147117038,9106685769537214956799814036094976
25,14,4632917155313012123282815234080768,9106685769537214956799814036094976
25,15,4604795078750528097908490355540330,9106685769537214956799814036094976
25,16,4576533529443208839207901206675456,9106685769537214956799814036094976
25,17,4547043402146615374371238816916298,9106685769537214956799814036094976
25,18,4515000769386694177828917181677568,9106685769537214956799814036094976
25,19,4478608593732084816214583536744303,9106685769537214956799814036094976
25,20,4435169809089572898666589181706240,9106685769537214956799814036094976
25,21,4380220402472634328266116967950791,9106685769537214956799814036094976
25,22,4305528664987195718935247792898048,9106685769537214956799814036094976
25,23,4193671358474984106693803388100353,9106685769537214956799814036094976
25,24,3999413487482587399946683744780288,9106685769537214956799814036094976
25,25,3552713678800500929355621337890625,9106685769537214956799814036094976
26,1,608266787713357709119683992618861307,608266787713357709119683992618861307
26,2,433995630292515151031290361102329574,608266787713357709119683992618861307
26,3,382837683602450309297488276707563346,608266787713357709119683992618861307
26,4,358970457242502956495927842603448991,608266787713357709119683992618861307
26,5,345248826697598974828098666254710013,608266787713357709119683992618861307
26,6,336336495031940962534891116233016726,608266787713357709119683992618861307
26,7,330055545761397548068390852925063604,608266787713357709119683992618861307
26,8,325356144751598811076661795513258561,608266787713357709119683992618861307
26,9,321670623009714164487745684502311791,608266787713357709119683992618861307
26,10,318664388768824181667405051526522968,608266787713357709119683992618861307
26,11,316125934441268947558763902156609766,608266787713357709119683992618861307
26,12,313912993347551650674938342935883859,608266787713357709119683992618861307
26,13,311923835688867473081472792759706641,608266787713357709119683992618861307
26,14,310080684343287805687230824547180266,608266787713357709119683992618861307
26,15,308319207406305533388745649682977448,608266787713357709119683992618861307
26,16,306580956783573538375817996529953301,608266787713357709119683992618861307
26,17,304806831652045018843509796092338339,608266787713357709119683992618861307
26,18,302929979837660965989391758564626316,608266787713357709119683992618861307
26,19,300866188646389732995375496877813946,608266787713357709119683992618861307
26,20,298498438238116961051293139693797703,608266787713357709119683992618861307
26,21,295648658623987279423476670303927461,608266787713357709119683992618861307
26,22,292019931280503520559084579304951294,608266787713357709119683992618861307
26,23,287062742157536193520676557366698716,608266787713357709119683992618861307
26,24,279612120045450192377939650745576361,608266787713357709119683992618861307
