n,j,C_n_j,parking_functions
60,33,1084172233855311805742506965794074378259328282254041117477882840220371517583260084727495545518478045775669,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,34,1082965036109271903660089002020169739016608230686583639411831773022383822922621528887650905151945267879251,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,35,1081753110337747349299736227121568950142098182618296446979580439559600926969381278090885450743469369513950,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,36,1080528276650898681195519830642740843228804741266701989484749278659146679452919607780341633857759200603036,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,37,1079281926793198717830822459619450670324777186837443493450459855350909734818867009273162359745102771377075,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,38,1078004808846548451309507215465820789573451370344353200955834415078567338459726442516538707237715422788705,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,39,1076686775808360854193810611813814315590150099853496620989223960171882937164787653596823744568455518435580,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,40,1075316482537559012230520083532426624466209397635068153067793684381431052724123140246038746374889104127210,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,41,1073881010371027726974410463288133589306440730772033534114787700843534050947326495790495334515429499805121,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,42,1072365390961468244840199045293207742603314113980798279922104878413079053481427060532259865258923113443135,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,43,1070751989246489907754477867127914518055434051206761807416027567999180617551131080590906614637271754073930,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,44,1069019687757794162868062172636569062652022443515584129728500444932051446231318215240659249683445664158120,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,45,1067142787100754434662185250677302357789007602823246211734132359312739107040137817515330032552542242209695,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,46,1065089494201720986965786348792641609003186907050038137768310671206442148912519029293584707332440431143981,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,47,1062819799992245486261497733510825751721327011327852290639253012860620876857059402661612505672179371683080,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,48,1060282431948077154610279052460756285564938955126131494462040100827467604273438601692529906917125094801430,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,49,1057410367515628395107624422920807337513223412600151672104139919885719700547090177732394607125223250145165,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,50,1054114040094102838469992666005797741072693388898897910788324209942275095782117542962127894266939599394155,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,51,1050270713127247336228239265645712448291147246785505600198328759032593860938450637152583834332719511477366,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,52,1045707223946064406625808122271343683261843110956884747163715663419586762577424966471344371106330968998516,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,53,1040170683493421859792319539897503985568525701726930392265748377961794529256913893986477905026250579316683,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,54,1033275977573550193472644567578402788240107987632756159272903345035662516550624584437283373434243435727161,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,55,1024405248941945243168563551877831283388380335556381767928994706135174145174896397174886214331575634568340,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,56,1012498522224060817829596522061682445700023741757861949062209484732347925043278987602925035283316728033026,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,57,995566353412084971745054306361449064760592907842083619895626956582830526313009011223402425379634264339097,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,58,969365945535102049231909011975313307716288966328866969455267668581827317688208785789211543625934750527959,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,59,922857413254746726309857993275104354738823900210858841598351094360144734294473129726753327203306466853030,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
60,60,814561299678154291488712537896243397761014169600000000000000000000000000000000000000000000000000000000000,2160032400576711575937640859563358812000455088145934778734313261873005210720658594516681367387267118667141
61,1,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,2,249939289626624651011974744942021237112790878851046476383501528877074885894056584643017913463215304927608832,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,3,220841064758001534920699418611077230806506559404128131335355222092847417524730126907257937500739966876614311,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,4,207348915426179614244209021706599042908779859063333361898091155653225842622597071227704467509157257860349952,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,5,199656028560849148942625968608389599129721219326766478003638075008586675814296763444766262708751193300381629,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,6,194714946076581260162450403095913133225665636683896615919120602165891775519946891188852750666544626752552960,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,7,191284348849958358819136309086053258195229583266971935998503109702403333488226155663624099511949049871370122,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,8,188767661917213201221872307105172657608875348593998054216332079724926199918199207618095626273094469255430144,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,9,186843942274155407872101367690503243490497690099363478083739119727245711765147244731757054576511598623940214,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,10,185325730011628956626317219292611626441963342702365114128298142423396912311051310517955628974315375683436544,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,11,184096433927642247342317125617355998137017940353955724353219696408847775280220678168403394135947148864539233,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,12,183079850104816510739706361704038401247291611797464121832528881966776306479040866686624048612322164669939712,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,13,182224124906486262727574759729963944696529854341974193437958689989846292875235579606329855722569567321072787,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,14,181492775955963706781829193620366878100368681893793119736064153511620889055911816873199465211293216551206912,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,15,180859401569535398419401390824599854689866964471311460089937966182598413584876604761709598985725420210135284,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,16,180304427521924001333087758589969872931399651776657835681175030704677854925649880868611335918534985831677952,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,17,179813032695066899308161070918556886088141227538212655005122272186762935116763743579231713142465334441087852,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,18,179373784437949699456906499191724183749849044183192404150326334150797756412793935460270964809597778973949952,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,19,178977716032382048605976123797239111943365171099714090972097130523738313560438621005935062539093010242661207,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,20,178617687879571792522710276922183123052090539266633555047853378304166196065190984024674083364949642889396224,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,21,178287935582076356920966500227559242543054030129345632937961469636278711868007038766471112946057247276636317,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,22,177983744011544822449978189621748049795787359457716765728285782812312799259493983236042788171331879191969792,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,23,177701208056014754556177671975969633998989931999817615261042310965695229160222038379674597484611585291420262,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,24,177437054092086559256874564577808835604804502874579411200127465029158251946818196421376003056297976751194112,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,25,177188504681180286282124448304842831167318686700412196471077800169466470739343740824372297162945382347997114,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,26,176953174458949972780333472333002698913639529453008136260931761782758166160549924369535166500365371527135232,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,27,176728988794871144489468660057089719564288364244817862136149120409467380163082463628321263145027034529547657,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,28,176514119219324729420745762044013453883515864987773388306044299423099341769263453120839718869547637612216320,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,29,176306931262388065058224485808614430152758513018162684867722708693487046568807857244946294905694176012808379,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,30,176105941481425552325336923436973198428586544774293614385261411586254592500372344248615735778326551099080704,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,31,175909781238569729836510895479710884203724447417790631703653546077788751166655723549422824203478175731621400,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,32,175717165330642725129742944172704970541264830107745497077901895314306653219267901942074815505960522137731072,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,33,175526863941762877923345912092777449917587440392666548826418435218673961355952555127779124272497458003156392,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,34,175337676626810607014513542310106967519002352897715766524425604095014368318221779642881365955430516906786816,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,35,175148407169000634542932057335358008986353291176501223215956690823021314847019619851809547476685270640857869,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,36,174957838201282190632172539947681050659456982791709450275066028283220943310873918821044790672130606194753536,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,37,174764704442971302563194846443679627530583403925355464272619813090301932910143806359997159191169724336080287,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,38,174567663273697904771095648195973365845643630105600762303693073065488224202856961424771384805535443807371264,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,39,174365261128922353680257835817810827747887986746512040574924418270571675106585930934715033727865503323756214,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,40,174155893822831909021860608718872718759619907741320604002334450825600381932581462954647763112955194044841984,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,41,173937758332446421713500905127305816743749132053115243799225145295518949015077397368040578792485359264514954,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,42,173708792726765782930969759939726631666936962953742371169934372122947075297541339715994067919337430347415552,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,43,173466599662436457773209988431815864867978759661058604392201301518320347428935370573621691641316992048627419,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,44,173208346977071956291394331066819458183040740945223787657540346152870481393334215979435792132428521090842624,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,45,172930636041249456016581618068372876610652098990493238100443456632605206753478065024780459857844230250802049,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,46,172629324094335327286644493923882052580689754340700708866088009497428290162066884610622585630542775707500544,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,47,172299279787463271701199201005204201736712112848660209247265163599578304165107699411756137213485725292301492,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,48,171934039834026963203932239208885620344382244074897079342488881423130889754281841689008795261047285443723264,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,49,171525315846269173371569700903231761143843705139595987744238437702199968790697474851932511894386185804069164,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,50,171062268156673974418619092657408272441649843395931180012139823202656874713034579504066502671964908566872064,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,51,170530406053992646733402979442310506378522375216737959163529376120835548915037401865004252396391869261710709,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,52,169909867645790190624211659092606785887401133965147349173800058607697431211259766091259045975764721553375232,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,53,169172626328944960973205063671689427739183424895702616191214239441917645272748343485876300262679613078106247,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,54,168277747435370554651620353895164131241136067027166929333653019690268704801413251977521763992459928101978112,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,55,167162889324592564858182992432982038182792666142402603051248587333506119584364304872358453734999766529504154,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,56,165728030848353716710060977658529549797469498225137167541371505091558148274731400615298751143859834090160128,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,57,163801576570254337145287656435782716727112337785123510017602541759454393060561742246775177958468917416662022,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,58,161061462708654404519242502723581163521213692186232629508902227779676461174215165281840889628685828980998144,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,59,156820844782013454235632574165367988144749525938796529125528901887508772892262423781435698594344810475949755,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,60,149292561816138714614577297216936127589572440687948825461167176292358295298018861547672637821071768309202944,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
61,61,131761976435179406132196092433364887532027760376902021502793108974253317853960174265517563410623294238695601,349543612162395953845740577347286517438941455193395301844668705169433181192075446190690551284287073236811776
62,1,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,2,41126124255993719079140946917897897936946672028872602038664943461775992404428569094273004302214534969129570532,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,3,36338840888685256018632822559003430105339101031335429214740034109896316001512410446064130794868035738906380842,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,4,34119214783493630505735476593489526860080825508074967000213233436236663123940632738987245540416584623801359353,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,5,32853722359101803852497049603081711486918107872422359346734151768419069998716275060188152470949759929952935001,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,6,32040970950005271443944052077511835259107885817867107145186310930740905643748569421043140401265384779966929252,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,7,31476731750058847929737019293267442233757262655050159836021422648727540421061768460268391958745028115569599524,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,8,31062854409455370436444689019207065810523850347989809293490341484918917985324842927078343705440542905327869187,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,9,30746537285976727099831091267199646731518961872158850478035084114875011904473027418867788241272651954804085539,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,10,30496940026255252352073741509844196201956269455882930748445845249698573277115620055302708586064579797327336846,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,11,30294881862013234826378625121972254373298764628001211628939570076705355148457404046928925000889608523261852846,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,12,30127826664458053424636192567088985546601448254417242180691695905386125534077779515823137948759317359450434365,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,13,29987244486442515128017364343284106027019658410024928028612142934916255231990793052590259488162644250655153757,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,14,29867134321425965310641103919353989741319403940780674844125350889140786879975027772136596642191767990056933992,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,15,29763153703022053552932583526127738579825718736842308795633242387473102507723491641339378483197157342599278216,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,16,29672083494052060337270598794618544316976959909662298603709478267062999980037057395631548523478610023462953127,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,17,29591486629550474520573964971675107284800585125177013813298814222789771431976406872473367926309985604373142727,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,18,29519483624196196143703676929848453866490441908513123599094187734577222890194565182693720368065689540554302802,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,19,29454600817469569336363194079733050458876020326132433345049708425698305665946157875674946052219576344731578482,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,20,29395665299199862998556751061980763600193069733393202626072885045578567949163510341974074010194026180826767361,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,21,29341730586256488699035900076333997463762995524254097206435666615356061566299128639563037924512014445090746657,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,22,29292023030212403856031418478889657249349255160491883213162548296339969680704924196637044423020274116286355212,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,23,29245902490175935301813919722361194285922719834828101528794323949194960349009712523006711056853245360883254572,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,24,29202833001787727397408147579049773483100438415134133867279749539643068804350637141334445687401563879707508747,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,25,29162360564455521601601556821049235317554281499659076393896252668045674637472059371746792701200651772201087531,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,26,29124096069108141540409911077564916374342260414915607729142144180289458560436782498364404848523787725925469782,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,27,29087701982719435678800849361318599808088472516775480115992598292329319681300221860478114377516944243135949686,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,28,29052881804546946987185157931011137676913065462184154646538893475526164130810306934554956367747319200528317317,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,29,29019371580632688237589708046708386583669193140343056630987069224545298117086096307684802719582649237201443493,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,30,28986932950354507323035331116934407656077906306560828460377973595388815572653820769864822396267662355568276976,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,31,28955347328932098856282469874696659128123255332922725503726971712181622423340383297893478663283145664391728656,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,32,28924410920375048977362079985865067713776631592950989454970965118308047490529185224799482090997457486879318319,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,33,28893930317863101997028000198207596995539323047849529733449312933524505036976691799231373796034391252791294287,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,34,28863718490404024351515334756004330277916856329207930628267686121979625454521859682208681952618920185822074010,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,35,28833590980527666839485631081087897431952880819808500590883736228745175351138308734541239824554734407831253946,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,36,28803362150495719068507526890505208202448260595049815473184429616798533796718938204793360090833054136007951305,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,37,28772841315254412836335817408947145562026716637231011463125935790903222423988856739336082750848723136259973353,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,38,28741828588991788720982045612820882880587132323257318971719226109591768114796556297349403491101401836158483732,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,39,28710110247131791607943365179753842114099782594483697703374531928057484620803813137824842082548897624100024116,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,40,28677453363655891703785577847001371650975725688622802265088972864709353653258903146089485135448808247476316691,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,41,28643599419245227686589948114203580609480158723702949545178582136623547556126879513089098536780825368017213491,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,42,28608256479987409365444345721931608448662512858185232292114960168752359514959430045993126274360375456954646046,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,43,28571089405254468247434715059438155735264724816226806824278997543267872224871881551066006982108027427532803902,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,44,28531707334622547510855787510338032574481684930239572818182031012706178771063786978387987983222356236759973581,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,45,28489647391805861111189362152441038866914751795879008102802630998644891981542501032667124261736364067805268461,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,46,28444353070559792572629213707650791962207288734339899379800547607812061179317848014244937654160651418553832056,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,47,28395145036875242377925161509545436714260033539127896463717631619916007477169361689238965057824135780531326616,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,48,28341180928870511787002979516151986432906854005683093245111655639071609917615484059480975243312896265760293047,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,49,28281398871655890405273254031415581854881573396364717897217816410110835849644476551620150075393807088450630871,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,50,28214436326022380455114541407040231989592697980976349094279158229928218770277822616505936704139409357704417506,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,51,28138510576159256988445777145946939814145808449836192229797111111169611838610800097615894396368909343018517506,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,52,28051237718249155251740512153494702650719944217710486774735725711001594428550439244507147094996862315829588625,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,53,27949349527772313976182885548028750497922650741931662711646268586036143218746988070664834021691641818032234417,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,54,27828233637136938177681615155517037953943742113365592279801379741988884491195957537260378033862871951783484444,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,55,27681152760516419977942534755074133567678353514460425177831646040034222138903459021314727486861510703031702076,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,56,27497845740325611174633507143096004622735374393929971325602893301531599008310840730687007952761270075676773147,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,57,27261849039669542128755472991494716315798053892327852714779590219337713944259221283272848852952565512571188603,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,58,26944917611713391434674593498579729460088900717206703914563653404892368068969686311581867867681342200830956262,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,59,26494038967413096527596738077155582202356647559011412793817450557545102561785512670333290666586727038205575430,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,60,25796157893229186640525226771824241985905926185632514607370017054948158000756205223032065397434017869453190421,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,61,24557110811827677464597793916313008385785842947322467116618280459472187304785577379285280821546162882029127993,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
62,62,21671703954068549138435915795531764081214370221990508714369459720504857233908677663822814179625798540682330112,57513992528840273363542583103342283295746793832827143822110051164844474002268615669096196192302053608359571263
63,1,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,2,6878811402993153164430727698506101004839274051805505757740071238879120838026492634531229703253809578333528129536,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,3,6078191922588332943704209948031280553609959922594359488958443394287724928367475346693350257920674198889185788589,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,4,5707004019233627961118760417078706614336829655006002869010664887122455104293397615267069435865007879761753538560,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,5,5495389116487912026683801862609208270478277734063033500927674040538311369355831576684531170344733685420562587126,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,6,5359491641344441850560086981988874651974167908549031642736363978798254945204294470000179218577049978984214822912,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,7,5265155790685378209185754872625275236355603979872813179410493863135997238120126450708988904647952282603528037947,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,8,5195966866543070610138473634103517783144844747916688223934190432824310537389154432843487442665524319654143590400,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,9,5143094446005578776717469987225698088429876712620276199844811379049020387261712336821310280677630320679609916220,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,10,5101380956832100711021321554668106308225121973783327256805862535496631252524262558595739547931759749070413889536,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,11,5067618786228731690355934753780522409404091784226050163200394476093039453483103207977600363450586175078372616961,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,12,5039711571943779469810406211523753908096876295660731374955993540294851788648637405701521814154031486054067863552,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,13,5016232945580746608201392352899079991879208054717953582144724737671459720796213983963739244460374471582308371586,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,14,4996179480679193423772187670948273650629390948111238316294855617533532946537197955943202373598578182652931604480,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,15,4978825129754675130788116302262591197480365251325640015181547888768057841592413813339604308289483006520717433471,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,16,4963631718713010288147032595131883447420434203974508736157421542197243863939174160950230495486326508151908597760,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,17,4950191878218063068572161350284482845057431980590458466864801476374307989724147252592301853404146446961075747800,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,18,4938191502828907287446936154108122863358892950187839919969346183314836242129478943211475117364850269266273894400,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,19,4927384374943087183738815494999480263085899184927927020621158258035927488495327418785529309501651540076856495465,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,20,4917574595808232890731261053258942929348380590913840539144640311694324100862360153284172973639915251450098221056,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,21,4908604159701366229340431476504686288023974502204128230578762024851297659967945339845028090865446813733390791750,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,22,4900343995622163283764228416479233366474750816815258232826880408673541334903587225088053550910811625280010977280,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,23,4892687395294759681259861340227221255321228304260716044900796811651531926518747071317157082596511090489122783375,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,24,4885545113686740640100154619943531812124502454548068383511282026306869386911164679389224529887506566468127948800,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
63,25,4878841660925894005903254596456374717414539538547022015930336659277453894068702947031980818598184333138183166916,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696
