base_a,log_scale_x,epsilon,normalized_tube_volume,periodic_profile,difference
3.0,0.1,0.14932640997346036,1.9474785049215069,2.549993998855217,-0.6025154939337101
3.0,0.14974874371859298,0.14138405751569144,1.9544612134782755,2.5365541848867794,-0.5820929714085039
3.0,0.19949748743718593,0.13386414180286693,1.9626945666275801,2.5250572457198786,-0.5623626790922984
3.0,0.2492462311557789,0.12674419432777467,1.9721664792893439,2.5154676328329533,-0.5433011535436094
3.0,0.2989949748743719,0.12000294163505909,1.9828658935346897,2.5077516201591106,-0.5248857266244209
3.0,0.3487437185929648,0.11362024175896814,1.994782756352964,2.501877254895993,-0.507094498543029
3.0,0.39849246231155777,0.10757702404184077,2.0079079984287396,2.4978143102393577,-0.48990631181061817
3.0,0.44824120603015083,0.10185523215352016,2.0222335138997996,2.495534239980378,-0.4733007260805784
3.0,0.4979899497487438,0.09643777014144263,2.0377521410681716,2.4950101349088367,-0.4572579938406651
3.0,0.5477386934673367,0.09130845135020689,2.054457644037358,2.496216680966436,-0.44175903692907825
3.0,0.5974874371859297,0.08645195005800224,2.072344695249909,2.499130119096449,-0.4267854238465403
3.0,0.6472361809045226,0.08185375568539177,2.0914088589004916,2.503728206737881,-0.41231934783738966
3.0,0.6969849246231156,0.07750012943963236,2.1116465752005507,2.50999018091418,-0.39834360571362915
3.0,0.7467336683417085,0.07337806326499069,2.133055145471601,2.517896722868339,-0.38484157739673774
3.0,0.7964824120603016,0.0694752409764042,2.155632718045075,2.5274299241979987,-0.37179720615292355
3.0,0.8462311557788945,0.06578000146035944,2.1793782749475272,2.538573254445841,-0.3591949794983136
3.0,0.8959798994974875,0.06228130383303696,2.2042916193508404,2.551311530102204,-0.3470199107513636
3.0,0.9457286432160804,0.058968694451620174,2.2303733637678986,2.5656308849784635,-0.33525752121056485
3.0,0.9954773869346734,0.05583227568020197,2.2576249189749724,2.5815187419112133,-0.3238938229362409
3.0,1.0452261306532664,0.05286267631696612,2.254168027365813,2.567083329481777,-0.3129153021159641
3.0,1.0949748743718595,0.0500510235942835,2.249152130091854,2.5514610330856597,-0.30230890299380553
3.0,1.1447236180904523,0.04738891666806356,2.245760907555099,2.537822919899415,-0.2920620123443163
3.0,1.1944723618090454,0.04486840151715023,2.24396893111739,2.5261313755901535,-0.2821624444727635
3.0,1.2442211055276384,0.04248194717776553,2.2437522380141153,2.516350664737907,-0.27259842672379175
3.0,1.2939698492462313,0.040222423241992204,2.245088293974173,2.508446879455451,-0.2633585854812779
3.0,1.3437185929648243,0.03808307855306385,2.2479559573577133,2.502387890000433,-0.2544319326427198
3.0,1.3934673366834172,0.03605752103380728,2.252335444765308,2.498143297317401,-0.24580785255209303
3.0,1.4432160804020102,0.03413969858796656,2.2582082980738987,2.4956843874495083,-0.2374760893756096
3.0,1.4929648241206033,0.03232388101734514,2.2655573528564705,2.494984087761861,-0.22942673490539045
