A_word,B_word,spectrum,count_degree_1,count_degree_2,count_degree_3,count_degree_4
aaba,aaa,1,4,0,0,0
aaba,aba,1 2,4,2,0,0
aaba,bab,1 2 3,4,8,1,0
aabb,aaa,1 2,4,6,0,0
aabb,aba,1 2,4,6,0,0
aabb,bab,1 2,4,6,0,0
abbb,aaa,1 2 3,4,12,4,0
abbb,aba,1 2,4,7,0,0
abbb,bab,1 2,4,4,0,0
bbaa,aaa,1 2,4,6,0,0
bbaa,aba,1 2,4,6,0,0
bbaa,bab,1 2,4,6,0,0
bbba,aaa,1 2 3,4,12,4,0
bbba,aba,1 2,4,7,0,0
bbba,bab,1 2,4,4,0,0
bbbb,aaa,1 2 3 4,4,18,12,1
bbbb,aba,1 2 3,3,9,3,0
bbbb,bab,1 2,2,3,0,0
