word,degree,A_word,B_word,mask
aaaaa,1,aaa,aa,AAABB
aaaab,1,aaa,ab,AAABB
aaaac,1,aaa,ac,AAABB
aaaba,1,aaa,ba,AAABB
aaabb,1,aaa,bb,AAABB
aaabc,1,aaa,bc,AAABB
aaaca,1,aaa,ca,AAABB
aaacb,1,aaa,cb,AAABB
aaacc,1,aaa,cc,AAABB
aabaa,1,aab,aa,AAABB
aabab,1,aab,ab,AAABB
aabac,1,aab,ac,AAABB
aabba,1,aab,ba,AAABB
aabbb,1,aab,bb,AAABB
aabbc,1,aab,bc,AAABB
aabca,1,aab,ca,AAABB
aabcb,1,aab,cb,AAABB
aabcc,1,aab,cc,AAABB
aacaa,1,aac,aa,AAABB
aacab,1,aac,ab,AAABB
aacac,1,aac,ac,AAABB
aacba,1,aac,ba,AAABB
aacbb,1,aac,bb,AAABB
aacbc,1,aac,bc,AAABB
aacca,1,aac,ca,AAABB
aaccb,1,aac,cb,AAABB
aaccc,1,aac,cc,AAABB
abaaa,1,aaa,ab,BBAAA
abaab,1,aab,ab,BBAAA
abaac,1,aac,ab,BBAAA
ababa,1,bab,aa,BAAAB
ababb,1,bab,ab,BAAAB
ababc,1,bab,ac,BAAAB
abaca,1,aca,ab,BBAAA
abacb,1,bac,ab,BAAAB
abacc,1,acc,ab,BBAAA
abbaa,1,baa,ab,BBAAA
abbab,1,bab,ab,BBAAA
abbac,1,bac,ab,BBAAA
abbba,1,bbb,aa,BAAAB
abbbb,1,bbb,ab,BAAAB
abbbc,1,bbb,ac,BAAAB
abbca,1,bbc,aa,BAAAB
abbcb,1,bbc,ab,BAAAB
abbcc,1,bbc,ac,BAAAB
abcaa,1,caa,ab,BBAAA
abcab,1,cab,ab,BBAAA
abcac,1,cac,ab,BBAAA
abcba,3,aca,bb,ABABA
abcbb,1,cbb,ab,BBAAA
abcbc,1,cbc,ab,BBAAA
abcca,1,bcc,aa,BAAAB
abccb,1,bcc,ab,BAAAB
abccc,1,bcc,ac,BAAAB
