d,K_d_at_t_1
1,4.0
2,2.74516600406095843834596082528966148577
3,2.300465057117495376640412795010131388102
4,2.065326719303867490802282785157600936597
5,1.917023835839564290485458371676091073623
8,1.676891576879508603147311888142198525582
