n,endpoint_lebesgue,endpoint_limit,x_top_gap_max,n_times_one_minus_x_top_gap_max,log10_lambda_top_gap_max,log10_global_asymptotic,top_gap_over_global_asymptotic
2,5.0,8.25598793577825,0.7500000027987561,0.49999999440248777,0.22184874961635626,0.24408384946490816,0.9500903349829687
3,6.428571428571429,8.25598793577825,0.7951151060387516,0.6146546818837453,0.6490970215433339,0.6700525817371891,0.9528936652469462
4,7.285714285714286,8.25598793577825,0.8308609779073057,0.6765560883707771,1.386684304539889,1.4482038321208326,0.8679215512625973
5,7.755760368663594,8.25598793577825,0.8564662840697437,0.7176685796512816,2.4791613004413557,2.555413801768701,0.8389720614757931
6,8.001974983541805,8.25598793577825,0.8745950417972106,0.7524297492167364,3.907189245098553,3.981382534040982,0.8429595031357734
7,8.12799033761333,8.25598793577825,0.8883203758397404,0.7817573691218169,5.6527493542337695,5.720615718394256,0.8553298641451674
8,8.191739281437748,8.25598793577825,0.8992642298010847,0.8058861615913226,7.708622820963175,7.769833741064438,0.8685385111402907
9,8.223800883322046,8.25598793577825,0.908254941456955,0.8257055268874054,10.071733490860277,10.126921183928905,0.8806681842252202
10,8.23987869541065,8.25598793577825,0.9157888206544298,0.8421117934557021,12.740460828888148,12.79043365434406,0.8913067069649419
11,8.247929382948913,8.25598793577825,0.9221966992113382,0.85583630867528,15.713821988236571,15.759340925825647,0.9004944954625712
12,8.251957675687837,8.25598793577825,0.9277129163715618,0.867445003541258,18.991161891969682,19.032882317240038,0.9084051228906804
13,8.25397255974978,8.25598793577825,0.9325100212146995,0.8773697242089065,22.572012421015568,22.6104801589486,0.9152342459885808
14,8.254980186260156,8.25598793577825,0.936718593495693,0.8859396910602984,26.45602110003733,26.491685419208956,0.9211612932413384
15,8.255484045642232,8.25598793577825,0.9404394813133787,0.893407780299319,30.64291200700464,30.67614213512725,0.9263388360052768
16,8.255735986865872,8.25598793577825,0.943751889654078,0.8999697655347525,35.132462849237065,35.16356334648672,0.9308924388028453
17,8.255861960360953,8.25598793577825,0.9467189093501458,0.9057785410475214,39.9244906687371,39.953714338388075,0.9349240470441328
18,8.255924947829323,8.25598793577825,0.9493913633276572,0.910955460102171,45.018842417958886,45.046400680950725,0.938516121130013
19,8.255956441743717,8.25598793577825,0.9518106653212606,0.9155973588960491,50.41538843604181,50.441459507052855,0.9417354716797792
20,8.255972188745966,8.25598793577825,0.9540108853326041,0.9197822933479172,56.114017744216426,56.13875302995734,0.9446364823864992
21,8.255980062258354,8.25598793577825,0.9560202715465147,0.9235742975231913,62.11463453880034,62.13816364416704,0.9472636990529241
22,8.255983999017364,8.25598793577825,0.9578624607252646,0.9270258640441789,68.41715550736578,68.43959016702235,0.949653865493869
23,8.255985967397573,8.25598793577825,0.959557361839293,0.9301806776962618,75.02150773192511,75.04294491643455,0.9518375100425123
24,8.255986951587852,8.25598793577825,0.9611218674902082,0.9330751802350026,81.92762702359995,81.9481514110121,0.9538401793087773
25,8.255987443683036,8.25598793577825,0.9625703963693184,0.9357400907670399,89.13545658228978,89.15514253998722,0.9556833996108608
26,8.25598768973064,8.25598793577825,0.9639153173145849,0.9382017498207924,96.6449459059756,96.66385909228796,0.9573854295933517
27,8.255987812754444,8.25598793577825,0.9651673148106727,0.9404825001118358,104.45604989482231,104.4742485633633,0.9589618528932314
28,8.255987874266348,8.25598793577825,0.9663356658089322,0.9426013573498997,112.56872810927337,112.58626417910754,0.960426047981236
29,8.255987905022298,8.25598793577825,0.9674284481990334,0.9445750022280315,120.9829441512077,120.9998640911423,0.9617895632482235
30,8.255987920400274,8.25598793577825,0.9684527390926996,0.9464178272190127,129.69866514436157,129.71501070857704,0.9630624185643468
31,8.255987928089262,8.25598793577825,0.969414762581839,0.9481423599629908,138.7158612954777,138.7316701393819,0.9642533494077938
32,8.255987931933756,8.25598793577825,0.9703200125996831,0.9497595968101393,148.0345055215854,148.04981172047968,0.9653700058272061
