n,a_n_times_rho_power_n,mean_components_over_n,variance_components_over_n
10,0.28934357766233003554964553862247287,0.37162728146013448607108549471661864,0.20915642060717129856479905064313207
20,0.28932147643561677887597205828676895,0.33048681147467255669560088387073579,0.22364820343562943459877484908712741
50,0.28932146397165132660153869831505503,0.30578760803225381081814519792871152,0.23237952318151160400820643083048558
100,0.28932146397165132308484534807265636,0.29755453600195256861942603705868703,0.23528998423029638158409268325958457
250,0.28932146397165132308484534807265591,0.29261469278377182129867762366706852,0.23703626085956727383856554550350702
500,0.28932146397165132308484534807265591,0.29096807837771157219176148586986221,0.23761835306932423792338983291815144
1000,0.28932146397165132308484534807265591,0.29014477117468144763830341697125906,0.23790939917420271996580197662547365
