n,omega_coefficient,finite_tail,j_Q
0,1,0,1
1,1,1,2
1,2,0,2
2,1,2,3
2,1,3,4
2,2,1,3
2,2,2,4
2,3,0,3
2,4,0,4
3,1,3,4
3,1,4,5
3,1,5,6
3,1,7,8
3,2,2,4
3,2,3,5
3,2,4,6
3,2,6,8
3,3,1,4
3,3,2,5
3,3,3,6
3,4,0,4
3,4,1,5
3,4,2,6
3,4,4,8
3,5,0,5
3,6,0,6
3,8,0,8
4,1,4,5
4,1,5,6
4,1,6,7
4,1,7,8
4,1,8,9
4,1,9,10
4,1,11,12
4,1,15,16
4,2,3,5
4,2,4,6
4,2,5,7
4,2,6,8
4,2,7,9
4,2,8,10
4,2,10,12
4,2,14,16
4,3,2,5
4,3,3,6
4,3,4,7
4,3,5,8
4,3,6,9
4,3,7,10
4,3,9,12
4,4,1,5
4,4,2,6
4,4,3,7
4,4,4,8
4,4,5,9
4,4,6,10
4,4,8,12
4,4,12,16
4,5,0,5
4,5,1,6
4,5,2,7
4,5,3,8
4,5,4,9
4,5,5,10
4,6,0,6
4,6,1,7
4,6,2,8
4,6,3,9
4,6,4,10
4,6,6,12
4,7,0,7
4,8,0,8
4,8,1,9
4,8,2,10
4,8,4,12
4,8,8,16
4,9,0,9
4,10,0,10
4,12,0,12
4,16,0,16
5,1,5,6
5,1,6,7
5,1,7,8
5,1,8,9
5,1,9,10
5,1,10,11
5,1,11,12
5,1,12,13
5,1,13,14
5,1,14,15
5,1,15,16
5,1,16,17
5,1,17,18
5,1,19,20
5,1,23,24
5,1,31,32
5,2,4,6
5,2,5,7
5,2,6,8
5,2,7,9
5,2,8,10
5,2,9,11
5,2,10,12
5,2,11,13
5,2,12,14
5,2,13,15
5,2,14,16
5,2,15,17
5,2,16,18
5,2,18,20
5,2,22,24
5,2,30,32
5,3,3,6
5,3,4,7
5,3,5,8
5,3,6,9
5,3,7,10
5,3,8,11
5,3,9,12
5,3,10,13
5,3,11,14
5,3,12,15
5,3,13,16
5,3,14,17
5,3,15,18
5,3,17,20
5,3,21,24
5,4,2,6
5,4,3,7
5,4,4,8
5,4,5,9
5,4,6,10
5,4,7,11
5,4,8,12
5,4,9,13
5,4,10,14
5,4,11,15
5,4,12,16
