valuation,least_positive_index,binary_index
0,1,1
1,2,10
2,13,1101
3,6,110
4,14,1110
5,22,10110
6,46,101110
7,86,1010110
8,174,10101110
9,342,101010110
10,686,1010101110
11,1366,10101010110
12,2734,101010101110
13,5462,1010101010110
14,10926,10101010101110
15,21846,101010101010110
16,43694,1010101010101110
17,87382,10101010101010110
18,174766,101010101010101110
19,349526,1010101010101010110
20,699054,10101010101010101110
21,1398102,101010101010101010110
22,2796206,1010101010101010101110
23,5592406,10101010101010101010110
24,11184814,101010101010101010101110
25,22369622,1010101010101010101010110
26,44739246,10101010101010101010101110
27,89478486,101010101010101010101010110
28,178956974,1010101010101010101010101110
29,357913942,10101010101010101010101010110
30,715827886,101010101010101010101010101110
31,1431655766,1010101010101010101010101010110
32,2863311534,10101010101010101010101010101110
33,5726623062,101010101010101010101010101010110
34,11453246126,1010101010101010101010101010101110
35,22906492246,10101010101010101010101010101010110
36,45812984494,101010101010101010101010101010101110
37,91625968982,1010101010101010101010101010101010110
38,183251937966,10101010101010101010101010101010101110
39,366503875926,101010101010101010101010101010101010110
40,733007751854,1010101010101010101010101010101010101110
41,1466015503702,10101010101010101010101010101010101010110
42,2932031007406,101010101010101010101010101010101010101110
43,5864062014806,1010101010101010101010101010101010101010110
44,11728124029614,10101010101010101010101010101010101010101110
45,23456248059222,101010101010101010101010101010101010101010110
46,46912496118446,1010101010101010101010101010101010101010101110
47,93824992236886,10101010101010101010101010101010101010101010110
48,187649984473774,101010101010101010101010101010101010101010101110
49,375299968947542,1010101010101010101010101010101010101010101010110
50,750599937895086,10101010101010101010101010101010101010101010101110
51,1501199875790166,101010101010101010101010101010101010101010101010110
52,3002399751580334,1010101010101010101010101010101010101010101010101110
53,6004799503160662,10101010101010101010101010101010101010101010101010110
54,12009599006321326,101010101010101010101010101010101010101010101010101110
55,24019198012642646,1010101010101010101010101010101010101010101010101010110
56,48038396025285294,10101010101010101010101010101010101010101010101010101110
57,96076792050570582,101010101010101010101010101010101010101010101010101010110
58,192153584101141166,1010101010101010101010101010101010101010101010101010101110
59,384307168202282326,10101010101010101010101010101010101010101010101010101010110
60,768614336404564654,101010101010101010101010101010101010101010101010101010101110
61,1537228672809129302,1010101010101010101010101010101010101010101010101010101010110
62,3074457345618258606,10101010101010101010101010101010101010101010101010101010101110
63,6148914691236517206,101010101010101010101010101010101010101010101010101010101010110
64,12297829382473034414,1010101010101010101010101010101010101010101010101010101010101110
