degree,max_raw_l1,median_raw_l1,max_b_l1,quadratic_proxy_log10,log10_max_raw_l1
1,3.0,2.5,6.0,0.051503391626174094,0.47712125471966244
2,87.11111111111111,63.55555555555556,348.44444444444446,0.0,1.9400735532451137
3,10402.0,6452.0,83216.0,0.06920401275553076,4.017116849438813
4,3565850.168888889,2111448.557037037,57053602.70222222,0.30138086484277404,6.552163090888737
5,2897267516.0493827,1406198518.5185184,92712560513.58025,0.7236298168561096,9.461988597164476
6,6137047146675.072,2118393530459.951,392771017387204.6,1.3546349804879152,12.78795945967992
7,2.8398008339946412e+16,1.0861521977835446e+16,3.6349450675131407e+18,2.2079759217476487,16.453287882395557
8,3.261540558983122e+20,1.2017687032732837e+20,8.349543830996793e+22,3.29392390869108,20.513422783573834
9,7.961057823677084e+24,2.250075860611908e+24,4.076061605722667e+27,4.620494049194193,24.900970778348555
10,4.6493079441364356e+29,9.10141061365171e+28,4.76089133479571e+32,6.194099472003944,29.667388312371525
11,5.656147250589955e+34,1.301951113738324e+34,1.1583789569208228e+38,8.019977974613383,34.75252070723973
12,1.597041604298795e+40,3.5665052268592454e+39,6.541482411207864e+43,10.102481368641666,40.2033162300283
13,9.267943602352434e+45,1.536067668643456e+45,7.592299399047114e+49,12.445278205673562,45.96698338234046
