vertices,natural_poset_index,codomain_size,isotone_maps,height
0,0,0,1,1
0,0,1,1,1
0,0,2,1,1
0,0,3,1,1
0,0,4,1,1
1,0,0,0,0
1,0,1,1,1
1,0,2,2,2
1,0,3,3,3
1,0,4,4,4
2,0,0,0,0
2,0,1,1,1
2,0,2,4,3
2,0,3,9,5
2,0,4,16,7
2,1,0,0,0
2,1,1,1,1
2,1,2,3,3
2,1,3,6,5
2,1,4,10,7
3,0,0,0,0
3,0,1,1,1
3,0,2,8,4
3,0,3,27,7
3,0,4,64,10
3,1,0,0,0
3,1,1,1,1
3,1,2,6,4
3,1,3,18,7
3,1,4,40,10
3,2,0,0,0
3,2,1,1,1
3,2,2,6,4
3,2,3,18,7
3,2,4,40,10
3,3,0,0,0
3,3,1,1,1
3,3,2,5,4
3,3,3,14,7
3,3,4,30,10
3,4,0,0,0
3,4,1,1,1
3,4,2,6,4
3,4,3,18,7
3,4,4,40,10
3,5,0,0,0
3,5,1,1,1
3,5,2,5,4
3,5,3,14,7
3,5,4,30,10
3,6,0,0,0
3,6,1,1,1
3,6,2,4,4
3,6,3,10,7
3,6,4,20,10
4,0,0,0,0
4,0,1,1,1
4,0,2,16,5
4,0,3,81,9
4,0,4,256,13
4,1,0,0,0
4,1,1,1,1
4,1,2,12,5
4,1,3,54,9
4,1,4,160,13
4,2,0,0,0
4,2,1,1,1
4,2,2,12,5
4,2,3,54,9
4,2,4,160,13
4,3,0,0,0
4,3,1,1,1
4,3,2,10,5
4,3,3,42,9
4,3,4,120,13
4,4,0,0,0
4,4,1,1,1
4,4,2,12,5
4,4,3,54,9
4,4,4,160,13
4,5,0,0,0
4,5,1,1,1
4,5,2,10,5
4,5,3,42,9
4,5,4,120,13
4,6,0,0,0
4,6,1,1,1
4,6,2,10,5
4,6,3,42,9
4,6,4,120,13
4,7,0,0,0
4,7,1,1,1
4,7,2,9,5
4,7,3,36,9
4,7,4,100,13
4,8,0,0,0
4,8,1,1,1
4,8,2,12,5
4,8,3,54,9
4,8,4,160,13
4,9,0,0,0
4,9,1,1,1
4,9,2,10,5
4,9,3,42,9
4,9,4,120,13
4,10,0,0,0
4,10,1,1,1
4,10,2,8,5
4,10,3,30,9
4,10,4,80,13
4,11,0,0,0
4,11,1,1,1
4,11,2,9,5
4,11,3,36,9
4,11,4,100,13
4,12,0,0,0
4,12,1,1,1
4,12,2,8,5
4,12,3,31,9
4,12,4,85,13
4,13,0,0,0
4,13,1,1,1
4,13,2,7,5
4,13,3,25,9
4,13,4,65,13
4,14,0,0,0
4,14,1,1,1
4,14,2,12,5
4,14,3,54,9
4,14,4,160,13
4,15,0,0,0
4,15,1,1,1
4,15,2,9,5
4,15,3,36,9
4,15,4,100,13
4,16,0,0,0
4,16,1,1,1
4,16,2,10,5
4,16,3,42,9
4,16,4,120,13
4,17,0,0,0
4,17,1,1,1
4,17,2,8,5
4,17,3,30,9
4,17,4,80,13
4,18,0,0,0
4,18,1,1,1
4,18,2,8,5
4,18,3,31,9
4,18,4,85,13
4,19,0,0,0
4,19,1,1,1
4,19,2,7,5
4,19,3,25,9
4,19,4,65,13
4,20,0,0,0
4,20,1,1,1
4,20,2,10,5
4,20,3,42,9
4,20,4,120,13
4,21,0,0,0
4,21,1,1,1
4,21,2,8,5
4,21,3,31,9
4,21,4,85,13
4,22,0,0,0
4,22,1,1,1
4,22,2,8,5
4,22,3,31,9
4,22,4,85,13
4,23,0,0,0
4,23,1,1,1
4,23,2,7,5
4,23,3,26,9
4,23,4,70,13
4,24,0,0,0
4,24,1,1,1
4,24,2,6,5
4,24,3,20,9
4,24,4,50,13
4,25,0,0,0
4,25,1,1,1
4,25,2,12,5
4,25,3,54,9
4,25,4,160,13
4,26,0,0,0
4,26,1,1,1
4,26,2,9,5
4,26,3,36,9
4,26,4,100,13
4,27,0,0,0
4,27,1,1,1
4,27,2,10,5
4,27,3,42,9
4,27,4,120,13
4,28,0,0,0
4,28,1,1,1
4,28,2,8,5
4,28,3,31,9
4,28,4,85,13
4,29,0,0,0
4,29,1,1,1
4,29,2,8,5
4,29,3,30,9
4,29,4,80,13
4,30,0,0,0
4,30,1,1,1
4,30,2,7,5
4,30,3,25,9
4,30,4,65,13
4,31,0,0,0
4,31,1,1,1
4,31,2,10,5
4,31,3,42,9
4,31,4,120,13
4,32,0,0,0
4,32,1,1,1
4,32,2,9,5
4,32,3,36,9
4,32,4,100,13
4,33,0,0,0
4,33,1,1,1
4,33,2,7,5
4,33,3,25,9
4,33,4,65,13
4,34,0,0,0
4,34,1,1,1
4,34,2,7,5
4,34,3,25,9
4,34,4,65,13
4,35,0,0,0
4,35,1,1,1
4,35,2,6,5
4,35,3,20,9
4,35,4,50,13
4,36,0,0,0
4,36,1,1,1
4,36,2,8,5
4,36,3,30,9
4,36,4,80,13
4,37,0,0,0
4,37,1,1,1
4,37,2,7,5
4,37,3,25,9
4,37,4,65,13
4,38,0,0,0
4,38,1,1,1
4,38,2,6,5
4,38,3,20,9
4,38,4,50,13
4,39,0,0,0
4,39,1,1,1
4,39,2,5,5
4,39,3,15,9
4,39,4,35,13
5,0,0,0,0
5,0,1,1,1
5,0,2,32,6
5,0,3,243,11
5,0,4,1024,16
5,1,0,0,0
5,1,1,1,1
5,1,2,24,6
5,1,3,162,11
5,1,4,640,16
5,2,0,0,0
5,2,1,1,1
5,2,2,24,6
5,2,3,162,11
5,2,4,640,16
5,3,0,0,0
5,3,1,1,1
5,3,2,20,6
5,3,3,126,11
5,3,4,480,16
5,4,0,0,0
5,4,1,1,1
5,4,2,24,6
5,4,3,162,11
5,4,4,640,16
5,5,0,0,0
5,5,1,1,1
5,5,2,20,6
5,5,3,126,11
5,5,4,480,16
5,6,0,0,0
5,6,1,1,1
5,6,2,20,6
5,6,3,126,11
5,6,4,480,16
5,7,0,0,0
5,7,1,1,1
5,7,2,18,6
5,7,3,108,11
5,7,4,400,16
5,8,0,0,0
5,8,1,1,1
5,8,2,24,6
5,8,3,162,11
5,8,4,640,16
5,9,0,0,0
5,9,1,1,1
5,9,2,20,6
5,9,3,126,11
5,9,4,480,16
5,10,0,0,0
5,10,1,1,1
5,10,2,20,6
5,10,3,126,11
5,10,4,480,16
5,11,0,0,0
5,11,1,1,1
5,11,2,18,6
5,11,3,108,11
5,11,4,400,16
5,12,0,0,0
5,12,1,1,1
5,12,2,20,6
5,12,3,126,11
5,12,4,480,16
5,13,0,0,0
5,13,1,1,1
5,13,2,18,6
5,13,3,108,11
5,13,4,400,16
5,14,0,0,0
5,14,1,1,1
5,14,2,18,6
5,14,3,108,11
5,14,4,400,16
5,15,0,0,0
5,15,1,1,1
5,15,2,17,6
5,15,3,98,11
5,15,4,354,16
5,16,0,0,0
5,16,1,1,1
5,16,2,24,6
5,16,3,162,11
5,16,4,640,16
5,17,0,0,0
5,17,1,1,1
