D,record_index,position,S_at_record
4,0,0,0
4,1,1,-1
4,2,2,-2
4,3,3,-3
4,4,7,1
4,5,18,-4
4,6,33,-5
4,7,48,-6
4,8,104,2
4,9,257,-7
4,10,466,-8
4,11,675,-9
4,12,1455,3
4,13,3586,-10
4,14,6497,-11
4,15,9408,-12
4,16,20272,4
4,17,49953,-13
4,18,90498,-14
4,19,131043,-15
4,20,282359,5
4,21,695762,-16
4,22,1260481,-17
4,23,1825200,-18
4,24,3932760,6
4,25,9690721,-19
4,26,17556242,-20
4,27,25421763,-21
4,28,54776287,7
4,29,134974338,-22
4,30,244526913,-23
4,31,354079488,-24
4,32,762935264,8
4,33,1879950017,-25
4,34,3405820546,-26
4,35,4931691075,-27
4,36,10626317415,9
4,37,26184325906,-28
4,38,47436960737,-29
4,39,68689595568,-30
4,40,148005508552,10
4,41,364700612673,-31
4,42,660711629778,-32
4,43,956722646883,-33
4,44,2061450802319,11
4,45,5079624251522,-34
4,46,9202525856161,-35
4,47,13325427460800,-36
4,48,28712305723920,12
4,49,70750038908641,-37
4,50,128174650356482,-38
4,51,185599261804323,-39
4,52,399910829332567,13
4,53,985420920469458,-40
4,54,1785242579134593,-41
4,55,2585064237799728,-42
4,56,5570039304932024,14
4,57,13725142847663777,-43
4,58,24865221457527826,-44
4,59,36005300067391875,-45
4,60,77580639439715775,15
4,61,191166578946823426,-46
4,62,346327857826254977,-47
4,63,501489136705686528,-48
4,64,1080558912851088832,16
4,65,2662606962407864193,-49
4,66,4823724788110041858,-50
4,67,6984842613812219523,-51
4,68,15050244140475527879,17
4,69,37085330894763275282,-52
4,70,67185819175714331041,-53
4,71,97286307456665386800,-54
4,72,209622859053806301480,18
4,73,516532025564277989761,-55
4,74,935777743671890592722,-56
4,75,1355023461779503195683,-57
4,76,2919669782612812692847,19
4,77,7194363027005128581378,-58
4,78,13033702592230753967073,-59
4,79,18873042157456379352768,-60
4,80,40665754097525571398384,20
4,81,100204550352507522149537,-61
4,82,181536058547558664946306,-62
4,83,262867566742609807743075,-63
4,84,566400887582745186884535,21
4,85,1395669341908100181512146,-64
4,86,2528471117073590555281217,-65
4,87,3661272892239080929050288,-66
4,88,7888946672060907044985112,22
4,89,19439166236360895019020513,-67
4,90,35217059580482709108990738,-68
4,91,50994952924604523198960963,-69
4,92,109878852521269953442907039,23
4,93,270752657967144430084775042,-70
4,94,490510363009684336970589121,-71
4,95,710268068052224243856403200,-72
4,96,1530414988625718441155713440,24
4,97,3771098045303661126167830081,-73
4,98,6831928022555098008479256962,-74
4,99,9892757999806534890790683843,-75
4,100,21315930988238788222737081127,25
6,0,0,0
6,1,1,-1
6,2,2,-2
6,3,3,-3
6,4,4,-4
6,5,5,-5
6,6,11,1
6,7,40,-6
6,8,75,-7
6,9,110,-8
6,10,145,-9
6,11,180,-10
6,12,384,2
6,13,1369,-11
6,14,2558,-12
6,15,3747,-13
6,16,4936,-14
6,17,6125,-15
6,18,13055,3
6,19,46516,-16
6,20,86907,-17
6,21,127298,-18
6,22,167689,-19
6,23,208080,-20
6,24,443496,4
6,25,1580185,-21
6,26,2952290,-22
