n,u_n_exact,u_n_decimal
0,1/2,0.5
1,-5/6,-0.83333333333333337
2,11/30,0.36666666666666664
3,143/5670,0.025220458553791889
4,-7291/85050,-0.085726043503821278
5,99137/2485890,0.039879882054314551
6,-5726162257/213774110550,-0.026786041781521986
7,27288832157947/1167420417713550,0.023375325413096264
8,-144048691053129139/11591954102251136250,-0.012426609852186625
9,245262858648906702103531/100278737599471847129463750,0.0024458111910874163
10,190920333865973179103798951/82729958519564273881807593750,0.0023077532889228232
11,-45956358119729097218525273579033/23132967547232266175685815725893750,-0.0019866174984206697
12,-288790922470991027558048162741110956139/831657364559867966928661506179358237656250,-0.00034724747808110348
