N,M=4^N,rank,direct_det,formula_det,match
0,1,1,1,1,True
1,4,2,1,1,True
2,16,3,255,255,True
3,64,4,524289,524289,True
4,256,5,17179869183,17179869183,True
5,1024,6,9007199254740993,9007199254740993,True
