N,max_abs_raw_P2N_coefficient,max_error_P2N_atomization,max_abs_raw_closed_loop_coefficient,max_error_closed_loop_atomization_vs_polynomial,max_Legendre_partial_sum_error_vs_up
1,94.66666666666667,9.220402219511925e-14,77.88888888888889,7.283063041541027e-14,0.33333333333333315
2,158503.23102396514,2.3762958267781187e-10,57479.27359767611,8.879941226780375e-11,0.054166666666666474
3,29410884818.87944,4.211386598140798e-05,762603754.3534478,1.0039698085106963e-06,0.05855379188712557
4,1.7959896727233462e+17,260.1459883387374,1.5391665943948562e+16,22.497191387271595,0.02717225161669582
