N,sigma_N,C_N,det_B_N,det_bit_length,simple_baseline,sigma_over_baseline
0,1,1,1,1,,
1,0,4,1,1,,
2,2,128,255,8,2,1.0
3,-8,65536,524289,20,-8,1.0
4,32,536870912,17179869183,34,32,1.0
5,-128,70368744177664,9007199254740993,54,-128,1.0
6,512,147573952589676412928,75557863725914323419135,76,512,1.0
7,-2048,4951760157141521099596496896,10141204801825835211973625643009,104,-2048,1.0
8,8194,2658455991569831745807614120560689152,21783388394923201325147590103874286911487,135,8192,1.000244140625
9,-32800,22835963083295358096932575511191922182123945984,749019589132087745579388476767095047573665428275201,170,-32768,1.0009765625
10,131380,3138550867693340381917894711603833208051177722232017256448,412342812997551059376373007210511606873763729146842427152138239,209,131072,1.002349853515625
11,-526608,6901746346790563787434755862277025452451108972170386555162524223799296,3634514840190685214973441915121979819464373593616702923041026556446499667969,252,-524288,1.004425048828125
12,2112248,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,512924810283251472323936446720520520439701320121775449935637282355772637327016404981907455,299,2097152,1.0071983337402344
13,-8477760,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,1158936669033526698248014030060542856646030354653077541564558813512377696155781326679210691977435299184641,350,-8388608,1.0106277465820312
14,34046096,1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697088,41921390173595040410351768063666846543583440339288642560620241258659895344427628006513400146355384589337624187321028968447,405,33554432,1.0146527290344238
15,-136795584,177450860423732151013018507785157357019931972824052260810910693159335763699560039874558361990664932998233037501529828597054346100736,24274494082966927057402058375279147185438093862738358264148841842576140847367316197703497870596412057814159333115673796353949954588303949825,464,-134217728,1.0192065238952637
16,549875680,409173825987017733751648712103449894027080255755383098685411421012016724550584319360408761540738019643860835515945008876152157068235674131666065948672,224994735802813047518746786689008740824068694048065195050147711208748984583625247005641932830171166253521334754698412598380203151362897713408287546450861096959,527,536870912,1.024223268032074
17,-2211138560,15095849699286165408966218323953075563667684881665761713504825200982496649568595408344506900710635070165873500123055379599082338519699170530245737005730784174597581307904,33379015366056044810303375073471217009419353067780202756502191747952148226931928672429484972347376605732068492204252494846968299315880155559441995368990277867490484512641767178241,594,-2147483648,1.0296416282653809
18,8894072896,8911016831293350036408538292383381493932086928219843614412485386522021810954448020519360959604241015192660760885926576778688876408936402340337229140082449586429677098359892480630613656731648,79255233275005989183861793609265156586009362812996008620304761240261597895930792029942100154056630899876568291518256514373399726085415068242944317194548702071950600490554645765450945912184398422212607,665,8589934592,1.0354063585400581
19,-35784591616,84162174424773976115855838126082058648805436845170781751972494449099714468753293153818664580441415219631727501698851483408310916002940861810045036330430093599283578738055113571066620126149163476340692027772502016,3011709041305096448410439069671249186852063323744915846769800716325860181126542988164529582929580024647608314564889346550002205909520117794871552191652324133087018415316282877241118394743654217700874542296665914797096697857,740,-34359738368,1.0414686873555183
20,144006624128,12718228212127407596740439969484820932664410252219978638451114295509409404406799452822555925124271947370395489870897751704957583721388559494711601357137355892362895163562802426267773219894054460008554489394925312007314201426461145956352,1831509109717957037030852336662948397851590124754232141359618824456191038387678315610093879789630342014623141304544803775696097913149093761394299180398253900059269469593057570321869651956827392604413914018901971556870421391616871678932529558061055,819,137438953472,1.0477860933169723
21,-579619535872,30750788930784052141961861920805916103932967295178766486232675904563738880488373075752592173385037335955677262580553574888172300969173988400174943873597051535522721474932336956770829721145939608862637129391729156728137068727028191720507858482133392040241659904,17823758007758887435583381862062475512353397017431271854019651885603832096549671678860098572638335091816020992500363936089512823390118922935724512771617972846167344742210608429487821250838952700066302950739988463498292753858758646346900198077542815098757890060275352076289,902,-549755813888,1.0543217938393354
22,2333260712192,1189613526782226450238449998519920448105008161327515567244617487452752525728323498836134651596925080471838979032154378440363668196435924566232664464881915700626376672357967899154149127867438189496191356625881149764854198965502304070525679152278926466409636084363315130259012279051747328,2775678504733134553370785891768770930644675119301011404595143065852626982131594890400568820289451203378989927616510679907854022655497665509502015363704149200824806295046407220346284028479754504190422498432418109599891521609289575634611686734670814786848145455413090855706272239646753012951313022975,989,2199023255552,1.0610441277967766
