degree,power,coefficient
0,0,1/16
1,1,1/16
2,0,-16/9
2,2,1/16
3,1,-16/3
3,3,1/16
4,0,126976/675
4,2,-32/3
4,4,1/16
5,1,126976/135
5,3,-160/9
5,5,1/16
6,0,-2461007872/59535
6,2,126976/45
6,4,-80/3
6,6,1/16
7,1,-2461007872/8505
7,3,888832/135
7,5,-112/3
7,7,1/16
8,0,511200160907264/32531625
8,2,-9844031488/8505
8,4,1777664/135
8,6,-448/9
8,8,1/16
