completed m=1, r=10, n=10
completed m=1, r=20, n=20
completed m=1, r=40, n=40
completed m=1, r=80, n=80
completed m=2, r=0, n=10
completed m=2, r=0, n=20
completed m=2, r=0, n=40
completed m=2, r=0, n=80
completed m=2, r=10, n=10
completed m=2, r=20, n=20
completed m=2, r=40, n=40
completed m=2, r=80, n=80
