n,decimal_digits_Dn,log_Dn,root_Dn,root_norm,normalized_norm,linear_log_remainder
1,2,3.8712010109078909290641737227552319769494910952638,48.0,6.9282032302755091741097853660234894677712210152415,0.66551176490502828364840123636526866473588188558296,-0.40719896300867203512777239125040022297379099338829
2,6,11.994462330029637004400521527287282758567867687816,20.057749393732215116901689030365242236469141477336,7.620296881607166200555455375460588335071825016973,0.64821125256660720665008444452395425345026211317284,-0.42036879586002594408765840736480692060098928907011
3,11,24.38689534046600051379157707987715545745741144762,15.024091877504387237662509139984082109452898673187,7.8884960480519906049309934461620989053772293224973,0.64225689245770507215762366414209534887839889245516,-0.42783483434445909045336653471887924736076036143093
4,18,41.053056447293714440129744890599697299155475556581,13.011271600102256720225852088344901250424346473065,8.0306874808975309419590724039479693928373738925393,0.63926334510459030239935790329653186203442714565431,-0.43273582296797880044742906236415617501933633248488
5,27,61.994767121883222900142405089656791413670273646523,11.938765192170743030497076289929162658718973406458,8.1187083186245552214523892263021554259507590409915,0.63744377941377779385279607984323629271501376932917,-0.43624649737304431254735732408553831703579153665149
6,38,87.212925491536224558521770924625991672729203580702,11.274925340185537241188274803928017673623934451661,8.1785362942568574472116145417833436342181668973124,0.63620052538735721468783228213666771097184755681013,-0.43891232678526628158484957824871408760995338016514
7,51,116.70803761422858544290350655504404470543479881806,10.824333331686462680116703451658395774659875503518,8.2218374902715601864039827466808497769880635071277,0.63528110390897422224110975491246609871356769487661,-0.44102309363359679349585494815909384177387138059913
8,66,150.48041722506617839363527795932444566438626686726,10.498753324786243254410766605203033243101542965569,8.2546256302491221676819798190039664346761689862424,0.63456206432589914463403207116388214614385362759218,-0.44274772949126103965934776810978919160648604052632
9,82,188.53027382951196086933798220425401458606979754035,10.252629864367076999797043623959089170709032594347,8.2803142656802996227278691278128855803245288595388,0.63397664624232663790984914948515665319105494583508,-0.44419166630370805769995476955549271227532182766592
10,101,230.85775617297277439697634461719212750804689533897,10.060104594948572975701021043330660146234826678285,8.3009844580534294262919186581618880432713674582473,0.63348598936240016954591906504347051700365604660908,-0.44542423924381886335806916531176434877336195368927
11,121,277.46297556000355321602884369673387293204156255205,9.9054235715609121678350120230073733889675656011897,8.3179768903500822224655401411874407942025785914749,0.63306617144630071178860652175214696649490327192755,-0.44649297440814567460359998433071384208136866354409
12,143,328.34601919557368615871680309212027034231543453704,9.7784471063550156280750793817087535723309529668428,8.3321940941179279849387280525255776610242608961217,0.632701804083779673761484093243054015502244435498,-0.44743156415985208735458281669325343764171403148489
13,167,383.50695821420333825895185356217070604179920720148,9.672356214552345275927821759347157859232201360651,8.3442658435836523823275183310640547474040698880828,0.63238262907137255268240303512013874079602040963477,-0.4482645701695301140396340624878326270168817589122
14,193,442.94585270997994069588785586895333995679855982998,9.5823974838615608787450180438639081143197778170634,8.354644907647986837421856607281776462117206891493,0.63210159949858691204626997509818684138740519529733,-0.44901032508994075316189186440271721679614710560645
15,221,506.66275498878644339355241198294385729296896469117,9.5051567451719390418263914032038739414669752016285,8.3636651210141353595361128193172988854446541919797,0.63185374361840432384175284414002410433033414722511,-0.44968279208007415396540811318213377985499239647174
16,250,574.65771172235151538248543143742413056015886563549,9.438118854532254155837389819981276414030012510511,8.3715780060795206963712436655212377130949311263104,0.63163546375704267929197434078571487554652353202471,-0.45029279564381548422620250420886553933796865132463
17,281,646.93076539947469574739014148935001590723471902036,9.3793902837004088028071233835978292396141443824605,8.3785766507940342276513001788379822264704475849856,0.63144408803383921473373984647384225548021933290277,-0.45084885939761398670456552667715945182514356137661
18,315,723.48195531341646280196288828544105962087870327895,9.3275183916817189826047163792923052944246973934232,8.3848117318535723163794712779021576058266731981731,0.63127757476135570830216572333356501332198628439382,-0.45135779035087800415888317830678036477791854891975
19,350,804.31131823489170946415470844775362978254624830233,9.2813702466439079057757268109077223210283261675726,8.3904025404991448050945369787139742284335157206546,0.63113431223199454945697849779798556350012048450052,-0.45182509522396072275342385333244674751986044955614
20,387,889.41888886700134052094238158824378410411220791932,9.2400493095201039268154638843554246062362571203499,8.3954447391988078212381590616940706867837152145762,0.6310129799418752340553191755070814632434102578913,-0.45225528277384409796831511764694889398885153488047
21,426,978.80470014597941026428369742069174110310376642861,9.2028368677566060810972427814333297486117559470299,8.4000159266768620586547672477014805504633788545618,0.63091245051519405496051617226696734117249474427151,-0.45265208708317306971694547212425224186544743095301
22,466,1072.468783431263380901150001891108620069028606378,9.1691500500650561358190676021952553167046599320931,8.4041797012234060262136670951737210885974994180455,0.63083171932196379468203038029805697083906942867743,-0.45301863498304768360965295237801484143462554777134
23,509,1170.4111686153093771258640120262090374093790873244,9.1385111945997563151582671973733546438840125907117,8.4079886747262905132874015591389937390847969096447,0.6307698534374068978192798484121933523504872524741,-0.45335757328965221700491806258023694649768561493589
24,553,1272.6318841749904177268455201519904862742779459475,9.1105251446746329558700227182300037440296456833407,8.4114867405391478321731485283913461090204856471551,0.63072595446723808508274475555265316800609229731935,-0.45367116666576964711409641873746557094611169367063
25,599,1379.1309571806751781385866921081008362787840687727,9.0848621783333971156404408715562894431383097574993,8.4147108022123764204085168009091691264335813467293,0.6306991315791833530264110497935515490784216746771,-0.45396137368831140895183179774918514785130440156978
26,648,1489.9084132751734658884031061513149433118195705363,9.0612450061708917972420048365882531972077509959072,8.4176921069821355608182445715439316831792642971198,0.63068848224926992804253039702798962166566403587029,-0.45422990652077440549884537941007534081740163771576
27,698,1604.9642766320168909479842029108721271467519486957,9.0394387498823758258795015159392866588888296769467,8.4204572856389793228340181569881880294627359844661,0.63069307899397696664917248155330152925827186734415,-0.4544782780905151672804232660465497934906918820279
28,749,1724.2985699006125771945454770369887531674802212041,9.0192431339439316509463227554354253529147510437143,8.423029171597130509873939587495295035540358048719,0.63071196086239162143710503199994425229805612722638,-0.45470783962542808097802304461778285719186809959376
29,803,1847.9113141443989931897783236837983680153684208397,9.0004863406568684207282683434340307174589074032055,8.4254274520500611841419396684476043667035786259368,0.63074412879632367069032258636231419860000357903726,-0.45491981066572055978338744512591858452618233530991
30,859,1975.8025287770703456190824524901060680322311642681,8.9830201294753750843257380523172909653676108089218,8.4276691900964053099812343837959580838147228280842,0.63078854418794046167919594006396115332431482257465,-0.4551153031377144243390830174170968310698335651706
