q,r,crossing_a,first_uniform_nesting_order
0.7,0,0.999706476977084941248123686038,1
0.8,0,0.982411424014939232512247537686,2
0.8,1,0.980062142113792207718066225274,2
0.9,0,0.938630662551898551761810686932,6
0.9,1,0.843738074718284012410095961846,6
0.9,2,0.84799935051277710210032975518,6
0.9,3,0.887485076384088108058925115274,6
