r,approximated_tail,first_nonzero_derivative_ratio,signed_log_error,bracket_side
0,1.0,4.5929876816806172931625738604621954,1.5245307233632728839060451781927149,upper
1,0.20092400274068609524213297568780437,0.92284146954193382381186481138946878,-0.080297814873516317977720696591711164,lower
2,0.21814837565090005200597133480805017,1.0019528021432198523690136092054884,0.0019508979037801351701697197884330597,upper
3,0.21772028131038030059576989540857272,0.99998657011061544659351324994779586,-0.000013429979566325268874268435635352096,lower
4,0.21772321062465070940778794269158694,1.0000000244149752055118955340139242,0.00000002441497490746639324231596723029728,upper
5,0.21772320530644778355062964999864684,0.99999999998853467837215025012207842,-1.146532162791547667793710569297811e-11,lower
6,0.21772320530894434984524186967757553,1.0000000000000013766098031979731036,1.3766098031979721560433977827514355e-15,upper
7,0.21772320530894405011619583910568177,0.99999999999999999995798693767367414,-4.2013062326325855964472370507163171e-20,lower
8,0.21772320530894405012534312839367376,1.0000000000000000000000003246941904,3.2469419044844899001091793750767267e-25,upper
