r,j,lambda_rj
0,0,1.0
1,0,-0.33333333333333333333333333333333333
1,1,1.3333333333333333333333333333333333
2,0,0.022222222222222222222222222222222222
2,1,-0.44444444444444444444444444444444444
2,2,1.4222222222222222222222222222222222
3,0,-0.0003527336860670194003527336860670194
3,1,0.02962962962962962962962962962962963
3,2,-0.47407407407407407407407407407407407
3,3,1.4447971781305114638447971781305115
4,0,0.0000013832693571255662758930732786941937
4,1,-0.00047031158142269253380364491475602587
4,2,0.031604938271604938271604938271604938
4,3,-0.48159905937683715461493239271017049
4,4,1.4504630494172977833108552062800429
5,0,-0.0000000013521694595557832608925447494566899
5,1,0.000001844359142834088367857431038258925
5,2,-0.00050166568685087203605722124240642759
5,3,0.032106603958455810307662159514011366
5,4,-0.48348768313909926110361840209334763
5,5,1.4518809018605209482994288672832492
6,0,3.3020011222363449594445537227269594e-13
6,1,-0.0000000018028926127410443478567263326089198
6,2,0.0000019673164190230275923812597741428533
6,3,-0.00050962863426120333821685967482557724
6,4,0.032232512209273284073574560139556508
6,5,-0.48396030062017364943314295576108306
6,6,1.4522354515313049582990135873973599
