rank,p,partial_sum,closed_form,absolute_error
1,1,1.0,1.0,0.0
1,2,1.0,1.0,0.0
1,4,1.0,1.0,0.0
1,6,1.0,1.0,0.0
1,8,1.0,1.0,0.0
2,1,1.0,1.0,6.5253045e-55
2,2,0.3333333333333333333333333333,0.3333333333333333333333333333,0.0
2,4,0.06666666666666666666666666667,0.06666666666666666666666666667,0.0
2,6,0.01587301587301587301587301587,0.01587301587301587301587301587,0.0
2,8,0.003921568627450980392156862745,0.003921568627450980392156862745,0.0
3,1,1.0,1.0,1.1810801e-52
3,2,0.1111111111111111111111111111,0.1111111111111111111111111111,0.0
3,4,0.004444444444444444444444444444,0.004444444444444444444444444444,0.0
3,6,0.0002519526329050138573948097758,0.0002519526329050138573948097758,0.0
3,8,0.00001537870049980776624375240292,0.00001537870049980776624375240292,0.0
4,1,1.0,1.0,1.0630374e-50
4,2,0.03703703703703703703703703704,0.03703703703703703703703703704,0.0
4,4,0.0002962962962962962962962962963,0.0002962962962962962962962962963,0.0
4,6,0.000003999248141349426307854123425,0.000003999248141349426307854123425,0.0
4,8,0.00000006030862941101084801471530558,0.00000006030862941101084801471530558,0.0
5,1,1.0,1.0,6.3435813e-49
5,2,0.01234567901234567901234567901,0.01234567901234567901234567901,0.0
5,4,0.00001975308641975308641975308642,0.00001975308641975308641975308642,0.0
5,6,0.00000006348012922776867155324005436,0.00000006348012922776867155324005436,0.0
5,8,2.365044290627876392733933552e-10,2.365044290627876392733933552e-10,0.0
6,1,1.0,1.0,2.8234311e-47
6,2,0.004115226337448559670781893004,0.004115226337448559670781893004,0.0
6,4,0.000001316872427983539094650205761,0.000001316872427983539094650205761,0.0
6,6,1.007621098853470977035556418e-9,1.007621098853470977035556418e-9,0.0
6,8,9.274683492658338795035033537e-13,9.274683492658338795035033537e-13,0.0
