N,partial_sum,closed_form,absolute_error
100,1.36868719037791608476487341108,1.36869252866761476291860532176,5.33828969868e-6
1000,1.36869251867483353486791338545,1.36869252866761476291860532176,9.99278122805e-9
10000,1.36869252864990422649418008408,1.36869252866761476291860532176,1.77105364244e-11
100000,1.3686925286675832426932106905,1.36869252866761476291860532176,3.15202253946e-14
500000,1.36869252866761438581204089502,1.36869252866761476291860532176,3.77106564427e-16
