degree,M,atoms,interpolation_max_error,floating_atomization_max_error,atom_coeff_l1,atom_coeff_linf
2,4,15,0.3805717395434073,5.8114846268608744e-11,3.333333333333333,0.4878472222222222
4,16,63,0.08543848435743173,3.4463721633459787e-10,6.536176910134563,0.5947143036998318
6,64,255,0.07259369613363553,2.7512889362590887e-10,5.630664471666662,0.1269362443178975
8,256,1023,0.0357539458387619,4.830178496756377e-10,30.348600233008383,0.4746459320664053
10,1024,4095,0.02373176501591623,2.509319557697509e-10,32.11072475937872,0.16510083294443528
12,4096,16383,0.015306318098428306,3.1022590464384325e-10,109.07816504921652,0.13356767995138075
