experiment,n,k,q_true,target_y,q_series,absolute_error
q=0,8,3,0.015,1.0154603313662595171721503876,0.0150007644590615831688397592181,7.64459061583e-7
q=1,8,3,1.012,61.2899758764743924282577497864,1.01200003651537610211290118773,3.65153761021e-8
q=-1 nonzero,8,2,-0.992,3.81388996765963198831974463941,-0.992245415319151332846656026642,0.000245415319151
q=-1 zero,8,3,-0.992,0.0908030450617039601094945000843,-0.992433079578191336657542124993,0.000433079578191
q=infinity,8,3,18.0,7166846594074395475.0,18.0003286441773847604316471649,0.000328644177385
