matrix_order,m,r,C_mr,D_rm
0,0,0,1,1
1,0,0,1,1
1,1,0,-1/3,0
1,1,1,3/2,2/3
2,0,0,1,1
2,1,0,-1/3,0
2,1,1,3/2,2/3
2,2,0,11/135,0
2,2,1,-5/6,0
2,2,2,35/8,8/35
3,0,0,1,1
3,1,0,-1/3,0
3,1,1,3/2,2/3
3,2,0,11/135,0
3,2,1,-5/6,0
3,2,2,35/8,8/35
3,3,0,11/2835,0
3,3,1,-7/15,0
3,3,2,35/8,0
3,3,3,231/16,16/231
4,0,0,1,1
4,1,0,-1/3,0
4,1,1,3/2,2/3
4,2,0,11/135,0
4,2,1,-5/6,0
4,2,2,35/8,8/35
4,3,0,11/2835,0
4,3,1,-7/15,0
4,3,2,35/8,0
4,3,3,231/16,16/231
4,4,0,-7291/722925,0
4,4,1,389/945,0
4,4,2,-77/24,0
4,4,3,1001/16,0
4,4,4,6435/128,128/6435
5,0,0,1,1
5,1,0,-1/3,0
5,1,1,3/2,2/3
5,2,0,11/135,0
5,2,1,-5/6,0
5,2,2,35/8,8/35
5,3,0,11/2835,0
5,3,1,-7/15,0
5,3,2,35/8,0
5,3,3,231/16,16/231
5,4,0,-7291/722925,0
5,4,1,389/945,0
5,4,2,-77/24,0
5,4,3,1001/16,0
5,4,4,6435/128,128/6435
5,5,0,99137/26101845,0
5,5,1,-8899/85050,0
5,5,2,-7865/4536,0
5,5,3,4004/45,0
5,5,4,60775/128,0
5,5,5,46189/256,256/46189
6,0,0,1,1
6,1,0,-1/3,0
6,1,1,3/2,2/3
6,2,0,11/135,0
6,2,1,-5/6,0
6,2,2,35/8,8/35
6,3,0,11/2835,0
6,3,1,-7/15,0
6,3,2,35/8,0
6,3,3,231/16,16/231
6,4,0,-7291/722925,0
6,4,1,389/945,0
6,4,2,-77/24,0
6,4,3,1001/16,0
6,4,4,6435/128,128/6435
6,5,0,99137/26101845,0
6,5,1,-8899/85050,0
6,5,2,-7865/4536,0
6,5,3,4004/45,0
6,5,4,60775/128,0
6,5,5,46189/256,256/46189
6,6,0,-5726162257/2672176381875,0
6,6,1,16326089/87006150,0
6,6,2,-101101/24300,0
6,6,3,75361/810,0
6,6,4,3371797/1920,0
6,6,5,2263261/768,0
6,6,6,676039/1024,1024/676039
7,0,0,1,1
7,1,0,-1/3,0
7,1,1,3/2,2/3
7,2,0,11/135,0
7,2,1,-5/6,0
7,2,2,35/8,8/35
7,3,0,11/2835,0
7,3,1,-7/15,0
7,3,2,35/8,0
7,3,3,231/16,16/231
7,4,0,-7291/722925,0
7,4,1,389/945,0
7,4,2,-77/24,0
7,4,3,1001/16,0
7,4,4,6435/128,128/6435
7,5,0,99137/26101845,0
7,5,1,-8899/85050,0
7,5,2,-7865/4536,0
7,5,3,4004/45,0
7,5,4,60775/128,0
7,5,5,46189/256,256/46189
7,6,0,-5726162257/2672176381875,0
7,6,1,16326089/87006150,0
7,6,2,-101101/24300,0
7,6,3,75361/810,0
7,6,4,3371797/1920,0
7,6,5,2263261/768,0
7,6,6,676039/1024,1024/676039
7,7,0,940994212343/583710208856775,0
7,7,1,-761962882/3958779825,0
7,7,2,1175239/331452,0
7,7,3,2717/648,0
7,7,4,3926065/896,0
7,7,5,7436429/384,0
7,7,6,16900975/1024,0
7,7,7,5014575/2048,2048/5014575
8,0,0,1,1
8,1,0,-1/3,0
8,1,1,3/2,2/3
8,2,0,11/135,0
8,2,1,-5/6,0
8,2,2,35/8,8/35
8,3,0,11/2835,0
8,3,1,-7/15,0
8,3,2,35/8,0
8,3,3,231/16,16/231
8,4,0,-7291/722925,0
8,4,1,389/945,0
8,4,2,-77/24,0
8,4,3,1001/16,0
8,4,4,6435/128,128/6435
8,5,0,99137/26101845,0
8,5,1,-8899/85050,0
8,5,2,-7865/4536,0
8,5,3,4004/45,0
8,5,4,60775/128,0
8,5,5,46189/256,256/46189
8,6,0,-5726162257/2672176381875,0
8,6,1,16326089/87006150,0
8,6,2,-101101/24300,0
8,6,3,75361/810,0
8,6,4,3371797/1920,0
8,6,5,2263261/768,0
8,6,6,676039/1024,1024/676039
8,7,0,940994212343/583710208856775,0
8,7,1,-761962882/3958779825,0
8,7,2,1175239/331452,0
8,7,3,2717/648,0
8,7,4,3926065/896,0
8,7,5,7436429/384,0
8,7,6,16900975/1024,0
8,7,7,5014575/2048,2048/5014575
8,8,0,-144048691053129139/191267242687143748125,0
8,8,1,18626224060786/194570069618925,0
8,8,2,-8749025969/4318668900,0
8,8,3,902291/106920,0
8,8,4,902807477/120960,0
8,8,5,1983401849/24192,0
8,8,6,511761523/3072,0
8,8,7,177738825/2048,0
8,8,8,300540195/32768,32768/300540195
9,0,0,1,1
9,1,0,-1/3,0
9,1,1,3/2,2/3
9,2,0,11/135,0
9,2,1,-5/6,0
9,2,2,35/8,8/35
9,3,0,11/2835,0
9,3,1,-7/15,0
9,3,2,35/8,0
9,3,3,231/16,16/231
9,4,0,-7291/722925,0
9,4,1,389/945,0
9,4,2,-77/24,0
9,4,3,1001/16,0
9,4,4,6435/128,128/6435
9,5,0,99137/26101845,0
9,5,1,-8899/85050,0
9,5,2,-7865/4536,0
9,5,3,4004/45,0
9,5,4,60775/128,0
9,5,5,46189/256,256/46189
9,6,0,-5726162257/2672176381875,0
9,6,1,16326089/87006150,0
9,6,2,-101101/24300,0
9,6,3,75361/810,0
9,6,4,3371797/1920,0
9,6,5,2263261/768,0
