m,degree,r,k_t,center_x,beta,amplitude_beta_over_2d,tau_sign
0,0,0,0,-1,1,1,-1
0,0,1,1,1,1,1,1
1,2,0,1,1,272/3,68/3,1
1,2,1,2,3,-560/3,-140/3,-1
1,2,2,3,5,560/3,140/3,-1
1,2,3,4,7,-272/3,-68/3,1
2,4,0,11,21,210876416/135,13179776/135,1
2,4,1,12,23,-283375616/45,-17710976/45,-1
2,4,2,13,25,1503371264/135,93960704/135,1
2,4,3,14,27,-1735614464/135,-108475904/135,-1
2,4,4,15,29,389298176/27,24331136/27,-1
2,4,5,16,31,-2353498112/135,-147093632/135,1
3,6,0,57,113,702599170883584/567,10978112045056/567,-1
3,6,1,58,115,-21150018782101504/2835,-330469043470336/2835,1
3,6,2,59,117,56648568986927104/2835,885133890420736/2835,1
3,6,3,60,119,-30847396892114944/945,-481990576439296/945,-1
3,6,4,61,121,114429774889222144/2835,1787965232644096/2835,1
3,6,5,62,123,-6477246227283968/135,-101206972301312/135,-1
3,6,6,63,125,2117539765157888/35,33086558830592/35,-1
3,6,7,64,127,-203458969711149056/2835,-3179046401736704/2835,1
4,8,0,247,493,22516929394178960081813504/722925,87956755446011562819584/722925,1
4,8,1,248,495,-180478553733309936548446208/722925,-704994350520741939642368/722925,-1
4,8,2,249,497,93681306249132091463696384/103275,365942602535672232280064/103275,-1
4,8,3,250,499,-483768742970833128512290816/240975,-1889721652229816908251136/240975,1
4,8,4,251,501,2274668752987539439125266432/722925,8885424816357575934083072/722925,1
4,8,5,252,503,-583759947613757127679541248/144585,-2280312295366238779998208/144585,-1
4,8,6,253,505,508615967302790372845944832/103275,1986781122276524893929472/103275,1
4,8,7,254,507,-4381628217865799937592131584/722925,-17115735226038281006219264/722925,-1
4,8,8,255,509,1742502557111672983754113024/240975,6806650613717472592789504/240975,-1
4,8,9,256,511,-285896234246557311648661504/34425,-1116782165025614498627584/34425,1
5,10,0,1013,2025,2715485559869803268556125044605976576/130509225,2651841367060354754449340863873024/130509225,-1
5,10,1,1014,2027,-431553895212084318387249465679413248/2071575,-421439350793051092175048306327552/2071575,1
5,10,2,1015,2029,25049084714305536946337258159866904576/26101845,24461996791314000924157478671745024/26101845,1
5,10,3,1016,2031,-3812476430915609562644201426542133248/1403325,-3723121514566024963519727955607552/1403325,-1
5,10,4,1017,2033,20065810606442771249464218100084768768/3728835,19595518170354268798304900488364032/3728835,-1
5,10,5,1018,2035,-357777798552302215888921910949286248448/43503075,-349392381398732632704025303661412352/43503075,1
5,10,6,1019,2037,1404036261954970262414178622937904447488/130509225,1371129162065400646888846311462797312/130509225,1
5,10,7,1020,2039,-578096828012811065880143226800508502016/43503075,-564547683606260806523577369922371584/43503075,-1
5,10,8,1021,2041,301525043844026348345253404783329411072/18644175,294458050628931980805911528108720128/18644175,1
5,10,9,1022,2043,-2509330222747729727643486740154224214016/130509225,-2450517795652079812151842519681859584/130509225,-1
5,10,10,1023,2045,2938090617218959715064189204705801404416/130509225,2869229118377890346742372270220509184/130509225,-1
5,10,11,1024,2047,-99843064063897215096666013943019339776/3728835,-97502992249899624117837904241229824/3728835,1
6,12,0,4083,8165,890224988173489529349409766543564155975716042702848/2672176381875,217340085003293342126320743785049842767508799488/2672176381875,-1
6,12,1,4084,8167,-10691745208085581715883822928631082276983520391856128/2672176381875,-2610289357442768973604448957185322821529179783168/2672176381875,1
6,12,2,4085,8169,8536321498370996937533214338189429412973961946333184/381739483125,2084062865813231674202444906784528665276846178304/381739483125,-1
6,12,3,4086,8171,-207145913723313408302400288652124952713893686959669248/2672176381875,-50572732842605812573828195471710193533665450917888/2672176381875,1
6,12,4,4087,8173,55926519648989843219880688014884704821199974447448064/296908486875,13653935461179160942353683597383961137988275011584/296908486875,1
6,12,5,4088,8175,-927518758821664516666778526231095031674746189698301952/2672176381875,-226445009477945438639350226130638435467467331469312/2672176381875,-1
6,12,6,4089,8177,126569940258228414166305963091290400357302920934326272/242925125625,30900864320856546427320791770334570399732158431232/242925125625,-1
6,12,7,4090,8179,-12852732922316255623873102889626092013488820122025984/18686548125,-3137874248612367095672144260162620120480668975104/18686548125,1
6,12,8,4091,8181,761746340305563819749609723113971965613325363147964416/890725460625,185973227613663041931057061307122061917315762487296/890725460625,1
6,12,9,4092,8183,-307771004624103996536191224270301390236995641174654976/296908486875,-75139405425806639779343560612866550350829013958656/296908486875,-1
6,12,10,4093,8185,3294189410576214003584459318544229005686669057019871232/2672176381875,804245461566458496968862138316462159591471937748992/2672176381875,1
6,12,11,4094,8187,-3888298639552766751866411844639185873796769423831334912/2672176381875,-949291660047062195279885704257613738719914410115072/2672176381875,-1
6,12,12,4095,8189,1543633130235885116016187931493288146409591534283390976/890725460625,376863557186495389652389631712228551369529183174656/890725460625,-1
6,12,13,4096,8191,-368595458165174624864598463060525670493082842199752704/178145092125,-89989125528607086148583609145636150022725303271424/178145092125,1
