case,parameters,max_index,truncated_volume,exact_volume,absolute_error,relative_error
d2,0.5;0.8,5,0.25143300000000002,0.50000000000000011,0.24856700000000009,0.49713400000000008
d2,0.5;0.8,10,0.41456796381000011,0.50000000000000011,0.085432036190000005,0.17086407237999998
d2,0.5;0.8,15,0.47186754636963235,0.50000000000000011,0.02813245363036776,0.056264907260735506
d2,0.5;0.8,20,0.49077710260128043,0.50000000000000011,0.0092228973987196761,0.018445794797439349
d2,0.5;0.8,25,0.49697770032960703,0.50000000000000011,0.0030222996703930805,0.0060445993407861592
d2,0.5;0.8,30,0.49900964843400264,0.50000000000000011,0.00099035156599747154,0.0019807031319949426
d2,0.5;0.8,35,0.49967548146089164,0.50000000000000011,0.00032451853910847595,0.00064903707821695178
d2,0.5;0.8,40,0.4998936617607922,0.50000000000000011,0.00010633823920791485,0.00021267647841582965
d3,0.2;0.5;0.8,5,0.040758681599999992,0.1190476190476191,0.078288937447619111,0.65762707456000025
d3,0.2;0.5;0.8,8,0.075572186434652119,0.1190476190476191,0.043475432612966977,0.36519363394892246
d3,0.2;0.5;0.8,11,0.096307122507728327,0.1190476190476191,0.02274049653989077,0.19102017093508239
d3,0.2;0.5;0.8,14,0.10734075640162474,0.1190476190476191,0.011706862645994354,0.098337646226352535
d3,0.2;0.5;0.8,17,0.11304550996835347,0.1190476190476191,0.0060021090792656273,0.050417716265831247
d3,0.2;0.5;0.8,20,0.11597350010094662,0.1190476190476191,0.0030741189466724772,0.025822599152048799
d3,0.2;0.5;0.8,25,0.11804019148577521,0.1190476190476191,0.0010074275618438822,0.0084623915194886063
d3,0.2;0.5;0.8,30,0.11871750203619362,0.1190476190476191,0.00033011701142547645,0.0027729828959740009
d3,0.2;0.5;0.8,35,0.11893944620679073,0.1190476190476191,0.00010817284082836887,0.00090865186295829815
d3,0.2;0.5;0.8,40,0.11901217296805515,0.1190476190476191,3.5446079563947186e-05,0.00029774706833715625
d4,0.2;0.4;0.6;0.8,5,0.00036854664737587072,0.0042022858014243158,0.0038337391540484451,0.91229852875524164
d4,0.2;0.4;0.6;0.8,7,0.001083828382237952,0.0042022858014243158,0.0031184574191863638,0.74208598999368369
d4,0.2;0.4;0.6;0.8,9,0.0018979786031333621,0.0042022858014243158,0.0023043071982909538,0.5483461399769467
d4,0.2;0.4;0.6;0.8,11,0.0025998506926083464,0.0042022858014243158,0.0016024351088159694,0.3813246372421511
d4,0.2;0.4;0.6;0.8,13,0.0031270218357740093,0.0042022858014243158,0.0010752639656503066,0.25587597237814202
d4,0.2;0.4;0.6;0.8,15,0.0034953993669769603,0.0042022858014243158,0.00070688643444735558,0.16821474498658912
d4,0.2;0.4;0.6;0.8,18,0.0038330215403256616,0.0042022858014243158,0.00036926426109865421,0.087872238716723255
d4,0.2;0.4;0.6;0.8,20,0.0039644298758308768,0.0042022858014243158,0.00023785592559343906,0.056601558492956512
d4,0.2;0.4;0.6;0.8,22,0.0040495041488982052,0.0042022858014243158,0.00015278165252611067,0.036356797168418935
