parameters,dimension,volume,det_correlation,volume_squared,difference
0.1;0.35,2,0.25906735751295334,0.067115895728744435,0.067115895728744379,5.5511151231257827e-17
0.5;0.8,2,0.50000000000000011,0.25000000000000017,0.25000000000000011,5.5511151231257827e-17
0.15;0.45;0.75,3,0.098489668345446257,0.0097002147707960923,0.0097002147707959986,9.3675067702747583e-17
0.2;0.4;0.6;0.8,4,0.0042022858014243158,1.76592059568538e-05,1.7659205956852404e-05,1.395910297075087e-18
0.08;0.23;0.41;0.67;0.86,5,0.00024691705886600396,6.0968033958957149e-08,6.096803395903767e-08,-8.0521069548361926e-20
