base_q,length_k,T_q_k
5,93,35451752478610004383716
5,94,62040566837567507671503
5,95,106355257435830013151148
5,96,186121700512702523014509
5,97,319065772307490039453444
5,98,558365101538107569043527
5,99,957197316922470118360332
5,100,1675095304614322707130581
6,1,5
6,2,9
6,3,16
6,4,29
6,5,52
6,6,94
6,7,169
6,8,305
6,9,549
6,10,990
6,11,1783
6,12,3214
6,13,5790
6,14,10435
6,15,18801
6,16,33881
6,17,61048
6,18,110009
6,19,198224
6,20,357194
6,21,643633
6,22,1159797
6,23,2089869
6,24,3765830
6,25,6785771
6,26,12227562
6,27,22033274
6,28,39702627
6,29,71541613
6,30,128913593
6,31,232294192
6,32,418579765
6,33,754254556
6,34,1359119894
6,35,2449049241
6,36,4413034473
6,37,7952013061
6,38,14329032766
6,39,25820024415
6,40,46526076886
6,41,83837092950
6,42,151069222307
6,43,272217331321
6,44,490518682985
6,45,883884123320
6,46,1592704157969
6,47,2869953721624
6,48,5171477914242
6,49,9318681199521
6,50,16791683306381
6,51,30257567791181
6,52,54522253204422
6,53,98245705480403
6,54,177032644098066
6,55,319001801854450
6,56,574821384570179
6,57,1035792344181013
6,58,1866433311466921
6,59,3363196615258768
6,60,6060270894011597
6,61,10920230813062212
6,62,19677575985826638
6,63,35457766717939465
6,64,63892687876530529
6,65,115130645326582821
6,66,207458254361704414
6,67,373826857138339527
6,68,673612720535165534
6,69,1213808180450140174
6,70,2187206764382131715
6,71,3941210404747246529
6,72,7101815753061369785
6,73,12797029798173731128
6,74,23059450899549224169
6,75,41551694742835316640
6,76,74873566743760033850
6,77,134917505329881442961
6,78,243112944074566194021
6,79,438074387990569046093
6,80,789382770809819991174
6,81,1422418602716391889339
6,82,2563109756345462825594
6,83,4618564190968426613098
6,84,8322365100942960374947
6,85,14996383726534350775549
6,86,27022549737451844912345
6,87,48692952089577586088496
6,88,87741667837946925137637
6,89,158105022279650252402284
6,90,284895405865966516589062
6,91,513363782587320096255993
6,92,925049572039602877031833
6,93,1666881731348276552954757
6,94,3003617092840162210762430
6,95,5412330983497112439640111
6,96,9752683437829160308210214
6,97,17573728311983222976728006
6,98,31666764204144431153508323
6,99,57061537390281716798754121
6,100,102821337486587356129042761
7,1,6
7,2,11
7,3,20
7,4,37
7,5,68
7,6,126
7,7,232
7,8,430
7,9,792
7,10,1468
7,11,2704
7,12,5012
7,13,9232
7,14,17112
7,15,31520
7,16,58424
7,17,107616
7,18,199472
7,19,367424
7,20,681040
7,21,1254464
7,22,2325216
7,23,4283008
7,24,7938784
7,25,14623104
7,26,27104704
7,27,49926400
7,28,92541248
7,29,170459392
7,30,315955584
7,31,581984768
7,32,1078739840
7,33,1987020288
7,34,3683048192
7,35,6784111616
7,36,12574713088
7,37,23162405888
7,38,42932755968
7,39,79081400320
7,40,146581597696
7,41,270000789504
7,42,500460878848
7,43,921840357376
7,44,1708680320000
7,45,3147359850496
7,46,5833799522304
7,47,10745758687232
7,48,19917837449216
7,49,36688315047936
7,50,68003750752256
7,51,125261742817280
7,52,232179328110592
7,53,427670341173248
7,54,792709810937856
7,55,1460157879058432
7,56,2706480587530240
7,57,4985290833887232
7,58,9240502728245248
7,59,17020847577432064
