n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
178,12655149768374207142084058694701433844878737183092263731113354416902944359394524219387197147076,18545176737826972694046342061930784294607817871183823236436345069773154094412428611391426737990,7219652484159481339779977816186953003904314381207384918162118629697965918737059483221596939568,4105871769508010014486386429556878286799189108769053400112107810377222256938309644948232858855
179,44506754011350502367517823171486041295170188617674765242432094237714382718555095473455305225818,65221044470917634221600409923481736752593085523156507607140404096433407459970643731178462958150,25390869751299335771020227145553915372392228380370868885408083418518737811248262382367634539507,14439304968318962679559955632373906007808628762414769836324237259395931837474118966443193879135
180,156532576486507243178963707644837805862528553031077965645000693622399606090270523878776777096093,229384846005971558807428419683568607044472474770370892723924860168995024050945102971004865750160,89301553251686443632693982696230388149844009004814577476554346665978774214224289103134798335573,50781739502598671542040454291107830744784456760741737770816166837037475622496524764735269079015
181,550558540134157285003306002389169334851289846818996449740773248967786080065523249660300273955561,806792171324437888885420818353333059837037702206765871288687405619930057381260470993011247261770,314094532410532500810016426480436141768674842098568358167789356143986254476405946393370825295312,178603106503372887265387965392460776299688018009629154953108693331957548428448578206269596671145
182,1936520113941839658288461016157385600424274462744918341559661286973152719975972970760793240157545,2837777793386161627553871467624004799242623283950585525859157341951950877943970839301540386200010,1104794364282548312966919307331566257852636799876724404761789314831989184495579473257399367804693,628189064821065001620032852960872283537349684197136716335578712287972508952811892786741650590625
183,6811771068590346104345249884818812661721995960729438568055068486243341165749676051683149149531199,9981932736059161599015711173872551911212394936731131101025394373750015431989155434653143478981860,3886172003747032486540936279604709697753560668488841145750907872043018531498998244069172371686237,2209588728565096625933838614663132515705273599753448809523578629663978368991158946514798735609385
184,23961686735655416849924671445686539783873881084811700046343436150517329811558798543388125328438082,35113184824476608414994033862979812825221330636151913688355602809735543804748915485831203229840930,13670420408491271720956080651885196714857104649587115698426893532824753370875459498846429243234228,7772344007494064973081872559209419395507121336977682291501815744086037062997996488138344743372475
185,84293450327478642158797255632197986467845559695495182182605539023533168883886569621311669982748902,123522174203692361392660504381595966250647407728633794610195503606938981411760546058425039842812850,48090666693354908975374171538912786410466599214729781606670858270644737335004813530366090678172197,27340840816982543441912161303770393429714209299174231396853787065649506741750918997692858486468455
186,296544021501192936958572504851656333555892192606440076786768530280862908751129561277629568390824099,434548793241428045708690064825331913674456801016549226017986352356451951486098116825535910765044920,169183729927359113878970860873753170426761801293544831402322317907581238408044244882401864704350263,96181333386709817950748343077825572820933198429459563213341716541289474670009627060732181356344395
187,1043285592664153112318328706659480860826515719703280048806042014849243799965031166330704953522853875,1528800734521745974546991019823903507667217081878413871182870397449604135520818767947666149160322150,595216637333513873394524649038198583406846739645662104189112880817220829352365139091431209875810812,338367459854718227757941721747506340853523602587089662804644635815162476816088489764803729408700525
188,3670588872404731131421043319805301057364841367395686423054457311635580130047899256272462634965249661,5378754617028921084540482595986275666094839262408709269293633715618416641942057548094047261680156790,2094160671180946668875716648954939249640572891558692530457703976991987491618663634955592420964267583,1190433274667027746789049298076397166813693479291324208378225761634441658704730278182862419751621625
189,12914767089693601996000118641035159278596418276773224693934963749702214521558919466110610980467480253,18924782629667506029130910649821895726156351177049850045916214191916262327082630023842354119374075900,7368230643652806345689738675956008613437602696966232492500403118966143671922651376965584638722770367,4188321342361893337751433297909878499281145783117385060915407953983974983237327269911184841928535165
190,45441799533050139717734502305384813242406903324553505821684909372735055606569090389627581258923506368,66588340858000616044809365261315325710327243278108202343854157353300176947194702215059748520248109950,25925939785347501676714943954701654241726018942087868679426675557683944801674699730564289621401284608,14736461287305612691379477351912017226875205393932464985000806237932287343845302753931169277445540735
191,159897761420603564217911324160929368271709377502912847785024604902242567232221881147254620402187876286,234306007795306398781448017564846030620895280715860491574710182877080808268206594823780159627131617150,91227064112305697714009064827721361068721621415842377107928415880856459332428597681325790192164523967,51851879570695003353429887909403308483452037884175737358853351115367889603349399461128579242802569215
192,562661213278818283969313130241755554212493063280559183871404530000029328173939453754183144509344198465,824491920925923199513143890130150312392823746528780960278383174990097951563860516473106439878222544640,321018896350655902042562880237353795127690251848548103031263171614192516449501660555227429746946748353,182454128224611395428018129655442722137443242831684754215856831761712918664857195362651580384329047935
193,1980017925379805357380058635655880912023870241589099834675346912908793968175225685772691641332749559809,2901395613669086520599739137661895987432416323084252969282032084472270066977932240174645947998752997250,1129678910483887358257306688593594198588517909693578381609752870621942517039464459532095544252429750272,642037792701311804085125760474707590255380503697096206062526343228385032899003321110454859493893496705
194,6968007891458919092313836821740681676977589588930352667782231422818924052969500322002341127432466280577,10210449944239345520553743104912388657132129059868800092442925172398238994507347623953764679519083621250,3975546061635785402019564863862600129977546620240821664611709715577176980214209352444786795507112060353,2259357820967774716514613377187188397177035819387156763219505741243885034078928919064191088504859500545
195,24522533466234987040566065017428316212977231347062016984974474657354496170617995452603503655618938709827,35933541121088236068975578174679467547577353814539678396453493239047029313138072256526680287224104073220,13991224498908332632468224223477133643811130287029017533615036903946337676354826775818553348104939976257,7951092123271570804039129727725200259955093240481643329223419431154353960428418704889573591014224120705
196,86305615251143823713840130583600650696388769248913010006999835022371783624575864938617490392527305531974,126465534916870113894570918594160710934088129331767464834737890557321804838309238585573396403050330980490,49241542959526724314817235073603221823232934378854714883753908374714564742799792516968144853420225513988,27982448997816665264936448446954267287622260574058035067230073807892675352709653551637106696209879952515
197,303759320207788381433562384764573147936278763639735945394574503844459001167688203673079753011462080624210,445103706999935086021801557550442679983372044488372975668017216053524068281715816942426429168688920872090,173310310540440818696083543701618118168453087865331772950254699652047469398058115954245069730924234922057,98483085919053448629634470147206443646465868757709429767507816749429129485599585033936289706840451027975
198,1069145577668089922814360968479140213709190593085905210394374451750098300814175311765099778763776945890031,1566631754474232164525908256007058176753866402227842700529089735673536733616540670967267186156806238446920,610005566696675263566870584301910970208480113248589577314290168184720897410212219529388523347478884301403,346620621080881637392167087403236236336906175730663545900509399304094938796116231908490139461848469844115
199,3763228425909598221789261683272644155180659354473605181961978517740595053201141661984491758148971056918411,5514284375481056628918280394132085786129524387171006571422580601973264962541434261657440638266409334728014,2147136621043853050892269612764131922856282080336913708397000132801911583860504911299331795785725783062604,1220011133393350527133741168603821940416960226497179154628580336369441794820424439058777046694957768602805
200,13246485158663996395275136257825847947754959786036229506570395713162972849609437826217967520684506974192149,19410098906908538579184924048244539593300129338064834921970972018679061160326624622851244295165350407863006,7557912832410416238700192411358137873793782588695503752588485876537618996302807400126290351796949420868899,4294273242087706101784539225528263845712564160673827416794000265603823167721009822598663591571451566125209
