n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
136,153272677866342367867281978371006685015979424538055667524876552174795826,224662865080433365601276820814844052269161251315990539901005238832427522,87411203912261001072865313982899981778740029939162646015438014548945588,49840457255911363455546192849044088711681191437665247870129209734536347
137,537662933072017647514548809877854481898985505139692508819640079521311254,788085723616161564593438568071600217277739469172225624482061752951369874,306631657895819781223853970052900126860129704646950166225592861926739349,174822407824522002145730627965799963557480059878325292030876029097891175
138,1886209035885979750629124089368978521779896011229077804500707954295149171,2764712945474729488511181696269977181239175729002985098782714886153664376,1075724814841544963031736878082088463759458159854542383165764581150092839,613263315791639562447707940105800253720259409293900332451185723853478699
139,6617644353528988278875023312635282490641069256786226818894444331403867507,9699750327500684234480644718527629980308589674449716209488788364780738886,3774150348908797154208585481181726526394836677370315721578629601240276604,2151449629683089926063473756164176927518916319709084766331529162300185677
140,23219369410841048650842258294656828330514421385298005909184154669630608861,34033334677387289725323770249425786750507899846382194419889449478958871126,13242516989784847708453299643531166848859113245820781488366095138239158959,7548300697817594308417170962363453052789673354740631443157259202480553209
141,81476120236950433157616187121235562741919876598385825771763488081205419277,119421196644736314030534470709027147947170355198903856442389643749302307836,46468081332583309306813935710982407124726064353631146732828726736411994959,26485033979569695416906599287062333697718226491641562976732190276478317917
142,285918803988178086391849229250127289127797559126616323061615661682184418576,419074112530203715184566441118153148427415752997947481808489833943811017886,163068974932518548285469284848094167088981812145342594171416190235493513984,92936162665166618613627871421964814249452128707262293465657453472823989919
143,1003430047732731697943564734375180832412493684683608628400923251960754937678,1470727781496132775195383614562297001185261865984089045232944480052319793054,572294915815547839312222522433054333503649120846701928445056049790666382543,326137949865037096570938569696188334177963624290685188342832380470987027967
144,3521786679287948597750413737953477923972558127916218700759994535832659591793,5161849764985164242985361743295409785782549047573938804840204857180001853248,2008629966677034282180458349214650559387625402940267473975046378799334544081,1144589831631095678624445044866108667007298241693403856890112099581332765087
145,12361469951630243000937660864746138111572578739375813672661428736921727574657,18117972275111177862468673323024584412540915871904551913631798492079625908130,7050356170878554649053878312297641646882832533012008482840852867240478409984,4017259933354068564360916698429301118775250805880534947950092757598669088161
146,43391822277619023330112083633002931678383535084954365941596503281930694949729,63598161433376259387874182681125470484505958119797383192572741282949702456482,24748724545809575044883213028265093595370146526886683113445517774234372818257,14100712341757109298107756624595283293765665066024016965681705734480956819969
147,152326668547953169755156065334285254625919720924225888332389007381186870068851,223259450925764454287810662377165695847322257621050089225492755273683937327108,86881000917072652099022118160317754328290982283638361499300859862607595845297,49497449091619150089766426056530187190740293053773366226891035548468745636513
148,534778419510712702501670940982186867093211547368690755861449566462116683631030,783799633158251243513817708856029094124206950327779921517086606791438361927274,305018815662052969657886736267696792733812492880251599259242443533111585118340,173762001834145304198044236320635508656581964567276722998601719725215191690595
149,1877592218849546468679829827261415798596029764284026200671381237370767622969410,2751881762986226500632137297194329327721711103507528235365250573824625231412602,1070922065831060280658181912329467871127043058873512518423382843379201030587961,610037631324105939315773472535393585467624985760503198518484887066223170236679
150,6592615718637360187789021896921994943916380571229472083658114584770298896200255,9662368618433093187975635258293459300024614706933146621701989009327079594696712,3760262243385486313329635716817261778885264294593060792427611661284338766760395,2141844131662120561316363824658935742254086117747025036846765686758402061175923
151,23149570778977582083610647374225637232537417422047092166830015682613080602917707,33928617628418567756987923464220848616006682892328996265131769579212586956084782,13204046570823797565164326015293162529118077151571437340138273128321954711281996,7520524486770972626659271433634523557770528589186121584855223322568677533520789
152,81293616436912940301161049575181504907423172870051748471737188907352493483129077,119145346031165308883923404100940464961866507990974497202953500841335266655179454,46368626444758856876797376035177069951815176843915811261338477292345678616307731,26408093141647595130328652030586325058236154303142874680276546256643909422563993
