a,x,cdf
2.6,0.0,0.23076923076923084
2.6,0.35025017869907077,0.40828402366863914
2.6,0.7005003573981415,0.6498722033542244
2.6,1.0507505360972125,0.7306709256570958
2.6,1.401000714796283,0.8406336838207668
2.6,1.751250893495354,0.8774105260159745
2.6,2.101501072194425,0.9274618497135944
2.6,2.4517512508934955,0.944201422856611
2.6,2.802001429592566,0.9669830904476988
2.6,3.152251608291637,0.9746023772674607
2.6,3.502501786990708,0.9849718208683199
2.6,3.852751965689779,0.9884398622063999
2.6,4.20300214438885,0.9931596817789349
2.6,4.5532523230879205,0.9947382167530269
2.6,4.903502501786991,0.9968865187887733
2.6,5.253752680486062,0.9976050144529025
2.6,5.604002859185132,0.9985828487886997
2.6,5.954253037884204,0.9989098836836152
2.6,6.304503216583274,0.9993549607595356
2.6,6.654753395282345,0.9995038159688735
2.25,0.0,0.11111111111111116
2.25,0.35025017869907077,0.375704923030026
2.25,0.7005003573981415,0.5615376139799361
2.25,1.0507505360972125,0.6920538523425614
2.25,1.401000714796283,0.7837195780512914
2.25,1.751250893495354,0.8480993469989866
2.25,2.101501072194425,0.893315316410811
2.25,2.4517512508934955,0.9333972772471699
2.25,2.802001429592566,0.9532227790816886
2.25,3.152251608291637,0.9671468626746564
2.25,3.502501786990708,0.9769261916178658
2.25,3.852751965689779,0.9837945268975957
2.25,4.20300214438885,0.9886183782874746
2.25,4.5532523230879205,0.9920063232965528
2.25,4.903502501786991,0.9950095869871484
2.25,5.253752680486062,0.9964950734395336
2.25,5.604002859185132,0.9975383780535544
2.25,5.954253037884204,0.9982711242296569
2.25,6.304503216583274,0.9987857552888674
2.25,6.654753395282345,0.9991471971301784
2.08,0.0,0.03846153846153855
2.08,0.35025017869907077,0.3244358311742017
2.08,0.7005003573981415,0.5253575759506566
2.08,1.0507505360972125,0.666522528719949
2.08,1.401000714796283,0.7657031520642659
2.08,1.751250893495354,0.8353861424524229
2.08,2.101501072194425,0.8843444871946092
2.08,2.4517512508934955,0.9187419708063649
2.08,2.802001429592566,0.9429091865292747
2.08,3.152251608291637,0.9598887517320631
2.08,3.502501786990708,0.972902277903306
2.08,3.852751965689779,0.9809614998904614
2.08,4.20300214438885,0.9866238023577221
2.08,4.5532523230879205,0.9906020609640547
2.08,4.903502501786991,0.9933971326915664
2.08,5.253752680486062,0.9953609130123074
2.08,5.604002859185132,0.9967406390172509
2.08,5.954253037884204,0.9977100162070572
2.08,6.304503216583274,0.9983910877623879
2.08,6.654753395282345,0.998913076541484
2.02,0.0,0.00990099009900991
2.02,0.35025017869907077,0.3010750503727413
2.02,0.7005003573981415,0.5066189539364192
2.02,1.0507505360972125,0.6551636772329675
2.02,1.401000714796283,0.7565751433852067
2.02,1.751250893495354,0.8281629372960078
2.02,2.101501072194425,0.8798987896055162
2.02,2.4517512508934955,0.9152188502506111
2.02,2.802001429592566,0.9407443391820673
2.02,3.152251608291637,0.9581705876501735
2.02,3.502501786990708,0.9704720238812642
2.02,3.852751965689779,0.9793621607786177
2.02,4.20300214438885,0.9854314562543978
2.02,4.5532523230879205,0.9897158581094271
2.02,4.903502501786991,0.9928121566471717
2.02,5.253752680486062,0.9949259993161628
2.02,5.604002859185132,0.9964536543276404
2.02,5.954253037884204,0.9974965842348811
2.02,6.304503216583274,0.9982328032650929
2.02,6.654753395282345,0.9987648621110736
