s,exact_reciprocal_moment,monte_carlo_reciprocal_moment
0.08,0.7063457853036209,0.7059737750112042
0.12,0.6373605457392795,0.6369470158387497
0.16,0.5855230862933345,0.5851069083058533
0.2,0.5443061937572674,0.5439068393567004
0.24,0.5103004981131503,0.509927449088142
0.28,0.481498213898303,0.4811555908019926
0.32,0.45661780043523653,0.45630677170732215
0.36000000000000004,0.43479217971289574,0.4345122754724906
0.4,0.41540809801549516,0.41515795543229256
0.44,0.3980163882512301,0.3977941869178357
0.48000000000000004,0.38227861028279697,0.38208233071920294
0.52,0.36793370164307576,0.3677612791263705
0.5599999999999999,0.3547762672628998,0.3546256820354085
0.6,0.3426419568703435,0.34251128502342715
0.64,0.3313973276602034,0.3312847675299193
0.6799999999999999,0.3209326397883335,0.3208365231312552
0.72,0.31115662446656356,0.3110754182953852
0.76,0.30199261186364,0.3019249147053172
0.7999999999999999,0.2933756169023097,0.2933201518931191
0.84,0.28525011292302566,0.2852057192841056
0.88,0.27756830786134024,0.2775339317308192
0.9199999999999999,0.27028879324553695,0.2702634784718978
0.96,0.2633754736848191,0.263358352942889
1.0,0.2567967100805593,0.25678699651289394
1.04,0.25052462758460775,0.2505216070685602
1.08,0.24453455190713025,0.24453757598278103
1.12,0.23880454659783432,0.23881302605166585
1.1600000000000001,0.23331503048054963,0.23332842955589536
1.2000000000000002,0.2280484592441216,0.22806629043635077
1.24,0.22298905878096376,0.22301087816928541
1.28,0.21812260056275656,0.21814800362887443
1.32,0.21343621139160732,0.21346482927653146
1.36,0.20891821143521325,0.20894970758818102
1.4000000000000001,0.20455797566843945,0.2045920428453887
1.4400000000000002,0.20034581478979507,0.20038217236266137
1.4800000000000002,0.1962728724242676,0.1963112639662618
1.52,0.19233103601166476,0.19237122712742352
1.56,0.18851285924757352,0.1885546356205764
1.6,0.1848114943190291,0.1848546599518759
1.6400000000000001,0.18122063247920542,0.18126500810524
1.6800000000000002,0.17773445175036187,0.17777987339770462
1.7200000000000002,0.1743475707437616,0.17439388843510178
1.76,0.17105500774853108,0.1711020843220408
1.8,0.16785214437561913,0.16789985441411584
1.84,0.1647346931537652,0.16478292201079495
1.8800000000000001,0.16169866856615706,0.16174731147901736
1.9200000000000002,0.15874036109276557,0.15878932237366225
1.9600000000000002,0.1558563138870247,0.15590550618458063
2.0,0.15304330176883013,0.15309264539305786
