k,numeric_real,numeric_imag,exact_real,exact_imag,absolute_error
1,-1.8868456306757275e-05,-2.7706966173871664e-05,-1.8868456306758139e-05,-2.770696617387227e-05,1.0555865827865314e-18
2,-4.528521161423188e-10,2.2868806405687814e-10,-4.5285211736981694e-10,2.2868806416304299e-10,1.2320806164838398e-18
3,-2.3749336844295445e-14,-2.3834731501125778e-15,-2.3750356243152331e-14,-2.3833481323788739e-15,1.0270362521166175e-18
4,6.9422653541656448e-20,-6.1227648716076744e-20,8.1232662967525147e-19,9.0664448060056288e-20,7.5827272588307918e-19
5,5.5382668487654432e-19,-2.3810237768159581e-19,-7.9202072351771911e-24,-1.098532302100991e-24,6.028474010235392e-19
6,-3.1724069937491735e-20,3.4380804281863346e-19,4.4296830414856224e-28,-4.4529795944063522e-28,3.4526857264233843e-19
7,5.9228414129890127e-19,-6.7996330379692282e-21,3.34545168833232e-32,-1.1015202830880722e-32,5.923231711182572e-19
8,6.825428808448794e-19,8.0731481763207388e-19,2.0460041973509852e-37,-3.5286519931656164e-37,1.0571764275466682e-18
