a,max_abs_P_x_plus_1_minus_P_x
1.2,1.672398980286731054448881e-38
1.5,5.698847646028659099128925e-26
2.0,1.462993378036557691575111e-21
2.6,4.671429648717916805500079e-20
3.0,1.458462516753356510286854e-19
5.0,1.604509084909012208874933e-18
