n,log_a_n,log10_a_n,root_normalization_Q_n,ratio_a_n_over_a_n_minus_1,W_n,ratio_minus_n_over_W_n,log_a_n_over_Bell_n,log_conjectural_constant_estimator,candidate_ratio,actual_minus_candidate_ratio
2,1.098612288668109691395245236922525704647,0.4771212547196624372950279032551153092001,1.631738552757893292685574277565656933332,3.0,0.8526055020137254913464724146953174668985,0.6542492450772345375829788527226394419998,0.405465108108164381978013115464349136572,-2.879287539997088954940904055855212005091,4.469959517793649141367086056859027435633,-1.469959517793649141367086056859027435633
3,2.564949357461536736053487441565318604805,1.11394335230683676920650515794232843083,2.340626569106343930597205049054062880433,4.333333333333333333333333333333333333333,1.049908894964039959988697070552897904589,1.47594254981896765410637067689399399554,0.9555114450274363614527281083391309652797,-3.29652392758929501176981053546503741219,4.98231668716666593705901980169167837852,-0.6489833538333326037256864683583450451864
4,4.23410650459725938220199806873272182309,1.838849090737255316162805015506304858898,2.715202469502350259037524249515052933607,5.307692307692307692307692307692307692308,1.202167873197042939212074165495153447502,1.980369985093212058474255991374451045943,1.526056303495049316205993498584008478917,-3.525654911443181012713549908697902241926,5.451268825236745508350284648350338177458,-0.1435765175444378160425923406580304851505
5,6.037870919922137731032933921685490389932,2.622214022966295309850739599373736212551,2.927126622322594086896634154646835277569,6.072463768115942028985507246376811594203,1.326724665242200223635099297758079660129,2.303784304327406077510292540255560405494,2.086627201340710376144982237203818648976,-3.653745131747918540949381000518959420157,5.891214651396152901525253609762844875903,0.1812491167197891274602536366139667183002
6,7.94058382710424366828893827805811554072,3.448551739201578091265984583254513185391,3.049169472395854850264383048459909863999,6.70405727923627684964200477326968973747,1.432404775898300311234078007212058694786,2.515297159920676633820396249549820794407,2.627377848062456336000313502253024205588,-3.721619921648704533900222929052467917164,6.309809917518400735722682022842928542985,0.3942473617178761139193227504267611944852
7,9.920983600152879089655632082090563211419,4.308628432599052713832710047016929809381,3.117723328245011973065562528512345562051,7.245639017443930224279102883588465646137,1.524345204984144369122476060675779385409,2.65350334035967606530376999497486197532,3.144476607780696049463604472485352477389,-3.752187311129890173103267992209336700974,6.711742469636292578335665365077442243167,0.5338965478076376459434375185110234029703
8,11.96526779763385470418049006748094983747,5.196449779007057963329451888406866326284,3.152879937773550313970042510010955102949,7.723627966393160713408342750454478455265,1.6058119963201775960337461901980019923,2.741724718483368542188611456824736304155,3.636816730814494637148023185683161534052,-3.759251425671832216178592383991291635885,7.100147093093453500273354910558394289819,0.6234808732997072131349878398960841654455
9,14.06392645622943661815576179553798945394,6.107885653833599668544655131850006349801,3.166506488173636754248155185923579694059,8.15522363373812810514061794286223194804,1.679016419785598195445932780030038598991,2.79494252275932425097048671477468825752,4.104673125787451327501667244255372712054,-3.751472271478991358234279949404149326104,7.477251032033150646585915033398675765136,0.6779726017049774585547029094635561829044
10,16.21011177494944762323850564694918858625,7.039962094895472243923224303028519145889,3.165966973378511507579255738953630107419,8.55217228175192844266700364198556466377,1.745528002740699383074301264875389911535,2.823246716364986934272170195716021805461,4.548981845329503199541726168098770458376,-3.734470171244529982670448611462074029841,7.844708637724720955839371337388017239903,0.7074636440272074868276323045975474238663
11,18.39872170948058026558704789245963380978,7.990463312500980396554806246831109112244,3.156005591300556608676357853484211175649,8.922801212168198598573034502101228357804,1.806502575505666146833974103335191240357,2.833687280558695511886345629841978024845,4.97097878779044358973899894153989550471,-3.711980494035159868710426250836274602094,8.203791294976215853085571780573959533659,0.7190099171919827454874627215272688241445
12,20.62584902084119322693993739851304530015,8.957692414320920020845650964430680889656,3.139768890042422428734804948040593799762,9.273188795959718334717377680840780696077,1.862816864432357950204259600492568572095,2.831331719656799553013206194614624811936,5.372021785670384463743489731206496870989,-3.68651547804029124490615652423895675516,8.555502782456851883553565611164008890504,0.7176860135028664511638120696767718055732
13,22.88843192370064222169762748046618769777,9.940319683881419980189907687557632440281,3.119391612463807890805731795422389329447,9.607873348964366909150150158932295125683,1.915152239536356461278053809387480768315,2.819901232895307348308054369042706847613,5.753496851500203882818114989714454668291,-3.65976796770998717774128780122453009609,8.900653150921263282238898962485471201458,0.7072201980431036269112511964468239242253
14,25.18402280056685534179447792106100032212,10.93728213441186356868642466061794734193,3.096347599393489807194251991919455934785,9.930301864762821135345107233918749591229,1.964049113249477915490284190584595106285,2.802170543832004545977479784485469054579,6.116766063474881373788902921364936659733,-3.632870195529612899007752129977419979538,9.239908091263033886812400625865503549426,0.6903937734997872485327066080532460418028
15,27.51062955362748159196295937465936089184,11.94771460882493520946579091815985119181,3.071667771352894661884267944144602263568,10.24312504327383854997332524115229276848,2.009943559350565801110425570047912710804,2.78022891854551037435079614756766286448,6.463138639140396392102577066969361450034,-3.606565150686122440246745868615982089168,9.573823097861091411173026481969694445892,0.669301945412747138800298759182598322586
16,29.86660354621646765836737340473271582411,12.97090111331390457419565636880711180908,3.046079761967654346742332416664693767576,10.54839792129069609537717061105220743434,2.05319271746264858727757305706570371555,2.755656468470366820931720477341692645468,6.793855466824107631491473330285268201478,-3.581323020605493639412593272627233598024,9.902867812596457067686156917059449406925,0.6455301086942390276910136939927580274167
17,32.25055852164420132330219518228357837157,14.0062396042479716078078552567339667716,3.020099743415307268392893689443498514733,10.84772060500175167959490972306028555183,2.094092878166321830036629137397041533594,2.729647057621210351366526039816540544765,7.110081478305560279668467092360809844148,-3.5574221385803148139403463824779043745,10.22744380920879374371375082186492846599,0.6202767957929579358811589011953570858313
18,34.66131077988978785096906031647147083687,15.05321600723983296265594094857198797221,2.994094200412330566706029979104616316197,11.14233991024519391661682546372310812949,2.132892648536085553841611000760279171708,2.703096607327754454398097823978990667999,7.412902672439491988499701567784317450042,-3.535006323348042450288079675529230583822,10.54789786716242774495674427350147625003,0.594442043082766171660081190221631879463
19,37.09783435544362426282707730311408249315,16.11138475113004500743678691901019388783,2.968322320650251080995771832790346459802,11.43322483208709624836496197630810056601,2.169802725605733134797696293397515764518,2.676668406112535069739141304490969243884,7.703325988664527545660750975461390107318,-3.514126056198740297112918017595659722598,10.86453206568200219551291426904861943158,0.5686927664050940528520477072594811344256
20,39.55922704429753707268034046954331087659,17.18035401369630700078568477415233976491,2.942965595867446513660648521809420739717,11.72112405704346012782209000150360879607,2.205003278024059970493065977387049832081,2.650842756635448081525088928362665496935,7.982280978714713172219700499312281025632,-3.494768311454316650871663827846433185074,11.17761158667313458315926537435830770274,0.5435124703703255446628246271453010933335
21,42.0446844450242294270159778651013363305,18.25977444783750881941395770372944647528,2.918148812606863255388544911974998438587,12.00661083155804417432972683359672351606,2.238649607458893645150421158410882715264,2.6259556678242062338685699388095643748,8.250622633874373724642853057024640626608,-3.476878253478165816760569360089462841638,11.48737083486506180429442609531559757228,0.5192399966929823700353007382811259437793
22,44.55348002444558589015045602426011804608,19.34933052420347529720235471062300619946,2.893955140232256543217074304345493322648,12.290118670888478730490291637403978243,2.270876550711970884865408945757834144084,2.602229651512896608953439338657006874285,8.509134958938748329723553139661037020033,-3.460375001770662798826790400671873886409,11.79401830073734597951830673584639789512,0.4961003701511327509719849015575803478831
23,47.08494977457908748316679277999231732017,20.44873386779145873070568987594887736011,2.870437105363310097436599271648018495946,12.57197021945879645329013412000474842436,2.301801945269356500937997351005233119472,2.579798630904272217654872802215647826887,8.75853502091922621319863821816832942056,-3.44516301013463695020286001334231790485,12.09774046974532846442332126153738134689,0.4742297497134679888668128584673670774657
24,49.63848040239981889927897426848562979055,21.55771812882494864864873509046486583403,2.84762465627254505830139614363348612931,12.85240081601062362031118857178607643365,2.331529388280119010956562547642192340734,2.558728293313454583456086805130644336654,8.999477281033811996308007374898992104553,-3.431140172220410993005586070902710828598,12.39870499809655937665365696496661389023,0.4536958179140642436575316068194625434221
25,52.21350025321547331721032498004119411957,22.67603504082552209724676532621637919863,2.825531140175818056797608822568922906972,13.1315778284334750275687789451295995151,2.360150455522664176680493376603194612457,2.539032788984430170805475380553810595395,9.232558066952450203429931667252836404055,-3.418203472319381540694059968970877667776,12.69706331742425924616467233400697684778,0.4345145110092157814041066111226226673206
26,54.80947235290440356312197639716798607921,23.80345139889522286341553323337375475472,2.804157764694155976849135447080513151147,13.40961651160500172991442553597728870268,2.387746502752277127991369489440424860211,2.520688407205873836765022479360708482009,9.458320073394400521330095726970542937361,-3.406252796268161029001931187851475750603,12.9929527897266227670404992157037097095,0.4166637218783789628739263202735789931769
27,57.42588908951024504344750976672342240213,24.93974674996245368991801115627091017785,2.783496945756270777952534367154466783693,13.68659294614210784248680796133932041355,2.414390140573880186987804223722975879072,2.503644695043663758141480619812488896873,9.677256801421988189230724628540027966883,-3.395193371200013302071448147660270918373,13.28649850448265629563469964727208855157,0.4000944416594515468521083140672318619777
28,60.06226815688126542065754289173651529533,26.08471163112692923006291961485213111177,2.763534829055422488780262734275981958937,13.96255449540457618535692684639505999791,2.440146451545914359628532128958940174283,2.487833385013409350795156918626122878648,9.889816864612720592810804105584210510424,-3.384937195017139861767815474978504704395,13.5778147883716309645503342501519105848,0.3847397070329452208065925962431494131071
29,62.7181494624040642447844386302866114369,27.23814622670548522229245442904880878906,2.744253192634401408376415355540437694848,14.23752814399879880467927604197478381841,2.465074001891233138254981908332506491063,2.473175439880842785568890141576176155877,10.09640810590077971019992185174635978233,-3.375403734572978982243309201886637416082,13.86700648214790305060574272815028903822,0.3705216618508957540735333138244947801909
30,65.39309276387113362633056356244206436529,28.39985934193670008385529487328518618367,2.725630882505272648297469643263957390626,14.51152703397179002625546967529826562612,2.489225688157678072914155027462289876811,2.459586487671404410203050718368712818734,10.29740148314684840942087367288484866263,-3.366520107910251772410957210526897382433,14.15417002734906073071555960553029431136,0.3573570066227292955399100697679713147662
