k,TH
0,1
1,3
2,4
3,5
4,7
5,8
6,9
7,11
8,12
9,13
10,15
11,16
12,17
13,19
14,20
15,21
16,23
17,24
18,25
19,27
20,28
21,29
22,31
23,32
24,33
25,35
26,36
27,37
28,39
29,40
30,41
31,43
32,44
33,45
34,47
35,48
36,49
37,51
38,52
39,53
40,55
41,56
42,57
43,59
44,60
45,61
46,63
47,64
48,65
49,67
50,68
51,69
52,71
53,72
54,73
55,75
56,76
57,77
58,79
59,80
60,81
61,83
62,84
63,85
64,87
65,88
66,89
67,91
68,92
69,93
70,95
71,96
72,97
73,99
74,100
75,101
76,103
77,104
78,105
79,107
80,108
81,109
82,111
83,112
84,113
85,115
86,116
87,117
88,119
89,120
90,121
91,123
92,124
93,125
94,127
95,128
96,129
97,131
98,132
99,133
100,135
101,136
102,137
103,139
104,140
105,141
106,143
107,144
108,145
109,147
110,148
111,149
112,151
113,152
114,153
115,155
116,156
117,157
118,159
119,160
120,161
