n,A_n
0,1
1,16
2,105
3,496
4,1759
5,5052
6,12469
7,27412
8,55059
9,102952
10,181543
11,304908
12,491563
13,765184
14,1155567
15,1699684
16,2442553
17,3438468
18,4752283
19,6460432
20,8652429
21,11432392
22,14920189
23,19253232
24,24588229
25,31102456
26,38995845
27,48492976
28,59844451
29,73329300
30,89257201
31,107969956
32,129844215
33,155293936
34,184771939
35,218772972
36,257836399
37,302547832
38,353542539
39,411508372
40,477187453
41,551379948
42,634947223
43,728813584
44,833970417
45,951479584
46,1082475193
47,1228168128
48,1389849673
49,1568893312
50,1766759649
51,1985000272
52,2225259559
53,2489280012
54,2778906349
55,3096087316
56,3442881435
57,3821461336
58,4234115551
59,4683254700
60,5171416051
61,5701265296
62,6275603175
63,6897370276
64,7569648769
65,8295669492
66,9078816979
67,9922631152
68,10830814869
69,11807239192
70,12855945013
71,13981151088
72,15187259533
73,16478857384
74,17860725117
75,19337842384
76,20915389483
77,22598756388
78,24393548713
79,26305589092
80,28340926719
81,30505843552
82,32806855579
83,35250722892
84,37844456119
85,40595317576
86,43510831875
87,46598792596
88,49867263301
89,53324588700
90,56979401551
91,60840623536
92,64917476985
93,69219492016
94,73756507249
95,78538682112
96,83576504209
97,88880789872
98,94462697049
99,100333732912
100,106505754223
101,112990980828
102,119802003493
103,126951784084
104,134453669667
105,142321400584
106,150569110423
107,159211340748
108,168263049403
109,177739610272
110,187656828639
111,198030949732
112,208878658249
113,220217094372
114,232063862539
115,244437030736
116,257355147165
117,270837249256
118,284902862701
119,299572018800
120,314865263701
121,330803657176
122,347408790645
123,364702796656
124,382708347379
125,401448673332
126,420947573089
127,441229411492
128,462319139079
129,484242302032
130,507025040083
131,530694106668
132,555276879103
133,580801356184
134,607296179067
135,634790641684
136,663314688013
137,692898933708
138,723574676743
139,755373894352
140,788329265409
141,822474181312
142,857842742569
143,894469781952
144,932390875609
145,971642339296
146,1012261252305
147,1054285468816
148,1097753613751
149,1142705107500
150,1189180177501
151,1237219853716
152,1286865994155
153,1338161296696
154,1391149294159
155,1445874380652
156,1502381823619
157,1560717758512
158,1620929215959
159,1683064134052
160,1747171352593
161,1813300641108
162,1881502711363
163,1951829211184
164,2024332753317
165,2099066928184
166,2176086297253
167,2255446422768
168,2337203880733
169,2421416253832
170,2508142162029
171,2597441275792
172,2689374308539
173,2784003048132
174,2881390370329
175,2981600230756
176,3084697697295
177,3190748963776
178,3299821341451
179,3411983292300
180,3527304442951
181,3645855575656
182,3767708662515
183,3892936879636
184,4021614597589
185,4153817416572
186,4289622180799
187,4429106968432
188,4572351127689
189,4719435291472
190,4870441366753
191,5025452571648
192,5184553450273
193,5347829861584
194,5515369017417
195,5687259497584
196,5863591238143
197,6044455570428
198,6229945236373
199,6420154376212
200,6615178568499
201,6815114845672
202,7020061681159
203,7230119030412
204,7445388346699
205,7665972567616
206,7891976157135
207,8123505121636
208,8360666995801
209,8603570885700
210,8852327485051
211,9107049060496
212,9367849495725
213,9634844307976
214,9908150632669
215,10187887268592
216,10474174694629
217,10767135053752
218,11066892199269
219,11373571711792
220,11687300882563
221,12008208760788
222,12336426170833
223,12672085694884
224,13015321721367
225,13366270462384
226,13725069935683
227,14091860014188
228,14466782443663
229,14849980823992
230,15241600659819
231,15641789378452
232,16050696310429
233,16468472741292
234,16895271929719
235,17331249087376
236,17776561431825
237,18231368204896
238,18695830651801
239,19170112075200
240,19654377853801
241,20148795420736
242,20653534318785
243,21168766219216
244,21694664899399
245,22231406299212
246,22779168540109
247,23338131901972
248,23908478880699
249,24490394207512
250,25084064825023
251,25689679946028
252,26307431073043
253,26937511973584
254,27580118740167
255,28235449810084
256,28903705939873
257,29585090266548
258,30279808327603
259,30988068034672
260,31710079735989
261,32446056236632
262,33196212771349
263,33960767068272
264,34739939369389
265,35533952402536
