q,a,y,alternating_through_order_8,A_derivative_1,A_derivative_2,A_derivative_3,A_derivative_4,A_derivative_5,A_derivative_6,A_derivative_7,A_derivative_8
0.25,-3.0,8.83854473263870131858726298515,True,-0.2430134925435998864544904,0.01659664292204280940869789,-0.002836478521811833483533155,0.0007836486049187817961107794,-0.0002997949467267907629541358,0.0001466869330034954699786795,-0.00008746477621151182130886909,0.00006152294652085893811422341
0.25,-1.0,2.71181934772695876069108846971,True,-0.4731280509690532166748577,0.09011206905833874794614645,-0.04427101858396374772073546,0.0354917611933948704485782,-0.03956722526955131026866441,0.05654573994491257234445542,-0.09861370779175872477261787,0.2030610086504764485970075
0.25,0.0,1.0,True,-0.75,0.3,-0.3171428571428571428571429,0.5505882352941176470588235,-1.332561064308421315740372,4.139368532362189179754916,-15.70182934849756907134276,70.35575002917719568488022
0.25,0.4,0.522119809598498767557529759422,True,-0.9437217294540118888247161,0.552713209825925894067888,-0.8663780426592358226842428,2.236637272257758065768593,-8.057721728284971962073621,37.27483538667824118930988,-210.6175444974805152805966,1405.947869676524486246223
0.25,0.8,0.149475104410485117499746686345,True,-1.239056096947528948141604,1.151744251488352734558198,-2.908397077338519275938364,12.13179078645077726154284,-70.68826632877391210356153,529.1015390183053660950883,-4838.378651410349725431555,52277.00626628013778098022
0.5,-3.0,34.2758209950283958469748217266,True,-0.03668528723224090626055974,0.0008417415349380932239781149,-0.00004330939812878306644413813,0.00000347440666290390571153394,-0.000000379027378176399632985935,5.231032536464146355019202e-8,-8.734046839645290272908986e-9,1.711377895934414540283202e-9
0.5,-1.0,4.76846205806274344829979857736,True,-0.1658452015229025969163515,0.02568420581853469098985911,-0.009123206144031805249722371,0.005095880253663714266432729,-0.00388851794528317090698947,0.003764885387073569715221909,-0.004418994644059051451846175,0.006096231313950365938373817
0.5,0.0,1.0,True,-0.5,0.3333333333333333333333333,-0.5238095238095238095238095,1.307936507936507936507937,-4.486674956721039670348426,19.59710335747202106649111,-104.0190446240302911444825,650.0792048082932737531178
0.5,0.4,0.390219565272591064582593605599,True,-0.9061250679116404190956841,1.373240425924119018284707,-5.010623210629587801775132,29.27842590724508822523356,-235.9765953453704073041951,2427.528322683971212769733,-30394.99608615387236257667,448596.2834678228757550969
0.5,0.8,0.0780439130545182129165187211197,True,-1.997684257785540286826087,9.533925056865006920854244,-113.7264524301015382648903,2199.835083638565207802766,-59036.94203249841466373353,2028812.1146726592062352,-85030003.87936404863687585,4206252533.829288700584793
0.75,-3.0,1724.19364335425921249544242124,True,-0.0003347115848247258499488992,0.0000001761683610660179840611236,-1.944951617456561373489341e-10,3.272918753340248114547533e-13,-7.40298716424038701111964e-16,2.103335258135769365146519e-18,-7.194716574212581745081889e-21,2.877978977317882975548868e-23
0.75,-1.0,24.9657450084176734509774251112,True,-0.0150276158134163874972297,0.0005339465188408651906049068,-0.00004020010906024440037669351,0.000004630011353584511351903751,-0.000000718144088970540773984245,0.0000001400836284996035153455931,-3.292470413493642388223629e-8,9.054935892469663173562824e-9
0.75,0.0,1.0,True,-0.25,0.2142857142857142857142857,-0.3946497517926089354660783,1.117699156882830352218107,-4.274998394398967723082295,20.60013655321764317714647,-119.7582185445570613942998,815.4032226865865568015685
0.75,0.4,0.159925686505584769493305435006,True,-1.171306155954570390616719,6.041374892650674490886763,-67.86254440412001220912217,1178.477698677562998516501,-27719.38466832702922894616,822984.8770368913521164773,-29517773.18630946201720293,1241207794.5715131477309
0.75,0.8,0.00973314652172843218077971454266,True,-10.24547033194242477398907,735.2186044763980610680987,-119430.2519739590925833355,30468196.03686862899633898,-10620956309.67730627826933,4699907766318.633340513948,-2522503786444308.120252283,1591969321597671751.829186
