q,p,precision,residue
4,2,3,3
4,2,6,59
4,2,9,315
6,2,3,5
6,2,6,53
6,2,9,373
6,3,3,2
6,3,6,542
6,3,9,12206
8,2,3,7
8,2,6,55
8,2,9,119
10,2,3,1
10,2,6,9
10,2,9,329
10,5,3,39
10,5,6,10914
10,5,9,167164
12,2,3,3
12,2,6,51
12,2,9,243
12,3,3,23
12,3,6,239
12,3,9,18464
14,2,3,5
14,2,6,61
14,2,9,445
14,7,3,279
14,7,6,47270
14,7,9,16871077
18,2,3,1
18,2,6,17
18,2,9,273
18,3,3,8
18,3,6,62
18,3,9,16829
20,2,3,3
20,2,6,43
20,2,9,171
20,5,3,54
20,5,6,10054
20,5,9,588179
30,2,3,5
30,2,6,13
30,2,9,205
30,3,3,5
30,3,6,5
30,3,9,12398
30,5,3,44
30,5,6,7919
30,5,9,320419
42,2,3,1
42,2,6,41
42,2,9,361
42,3,3,20
42,3,6,47
42,3,9,13169
42,7,3,202
42,7,6,20782
42,7,9,7315020
