k,W1,W2,W3,W4,W5,W6
81,4835703278458516698824703,980110864369328724824,19512269892495254398,3327546712591935510,1652016341324896991,1452628426278680668
82,9671406556917033397649407,1633744740760125086166,31060905283689162512,5047702467446943080,2420859148297406069,2083914612859203694
83,19342813113834066795298815,2942112563727897866366,49357911717566749730,7621040585825341584,3545315377623661433,2988504876857978394
84,38685626227668133590597631,4904114271882560030115,78866564498595676013,11550810657090070811,5188869821195198861,4280885154099791368
85,77371252455336267181195263,8830997720201883084902,125490620349761046979,17416117787601236647,7589878295060290187,6131249566222277368
86,154742504910672534362390527,14719882894268054347853,199333702278867486016,26381002096243080624,11096645778904285951,8770627718670616462
87,309485009821345068724781055,26505193285836399042521,318367409440319124659,39779144068896358720,16217338447633097401,12543995168667466198
88,618970019642690137449562111,44179388886655287088971,506386728939590151548,60209543009391395646,23688173526353522059,17920549418763667929
89,1237940039285380274899124223,79547520221775443049711,804081231863335315682,90676459251168392200,34581931797084876733,25595024375899275943
90,2475880078570760549798248447,132589847228083231234564,1283757026438823517670,137177288422501881025,50459636749245299638,36518947929722811741
91,4951760157141521099596496895,238726181668078689216687,2041231097056943704885,206613545949887562209,73597100266555444998,52100513958518291951
92,9903520314283042199192993791,397904843255119423738990,3240235711312189518612,312357636826054428085,107308003170558005523,74248161396711985851
93,19807040628566084398385987583,716397467718595646108334,5171479656184836273486,469930877595262354922,156385418807773038982,105799081472809579100
