n,primitive_orbits,B_n,twelve_B_n,proved_divisor
87,1094794411109889279918530906681166038935237039903714619616,433925648477958493824229451716673023755543812882962592/3,1735702593911833975296917806866692095022175251531850368,2523
88,5335263702888583644212486499605781732528693338551811170336,1377909014175770569269753744732898174723319560576397513/2,8267454085054623415618522468397389048339917363458385078,1936
89,26005377189444288648026720471827016106567780229948922561131,3283092688984255605103739486406642609085693754569994011,39397112267811067261244873836879711309028325054839928132,7921
90,126780511548631154576339919282457093724012374008318592161900,46955745018011538731977747882391516194078657040117997097/3,187822980072046154927910991529566064776314628160471988388,675
91,618190184854672230918452940093831996798466740063120534131527,74651634446887118816381226916294166984478534001101380767,895819613362645425796574722995530003813742408013216569204,8281
92,3014881323808683939494771309018724605722584860865934881940100,1424802137905805264411517631861401042401977722526434254225/4,4274406413717415793234552895584203127205933167579302762675,2116
93,14706019996894066637976168625093534748712300168772153040128854,1700314486864847570583439545044922505343080144383414619046,20403773842378170847001274540539070064116961732600975428552,2883
94,71745597375487823656369727850626583120517953023839438081650434,16239383742754147500310033465510770285314158674477011788513/2,97436302456524885001860200793064621711884952046862070731078,2209
95,350081324579535248871872553266346458122324204587511746960144075,38790174468646564971952637481035618628512377239613489967883,465482093623758779663431649772427423542148526875361879614596,9025
96,1708498788574749129098010062431844465371289981850246831093522432,185383983135280938487197272399288678968238930322292407887752,2224607797623371261846367268791464147618867163867508894653024,768
97,8339326147947210787427477090962005751811450414501270183383108067,886313757885770091128438419700500133044048295727629948281763,10635765094629241093541261036406001596528579548731559379381156,9409
98,40711429297462597783826699971445398280524576732642930228110710360,4239007631972365450211026652586984410716844724348493359861590,50868091583668385402532319831043812928602136692181920318339080,2401
99,198778516504289817822325935623451203097557218131351706820923378509,60844357668898015862358719199097399172806004937665046471050927/3,243377430675592063449434876796389596691224019750660185884203708,3267
100,970708618064591549366931861645411434830701135905321978690308737500,388283447225836619746772744658164573932280454362128791476123495/4,1164850341677509859240318233974493721796841363086386374428370485,2500
101,4741037074750113131941313926309600685353433718428916304912259523859,464761991446928059204128411558631573899954290601795540134522059,5577143897363136710449540938703578886799451487221546481614264708,10201
102,23159093888428906336265446958739454214096033899445301629769699393342,13355878828390372742944317738604068174219166031975375795714936213/6,26711757656780745485888635477208136348438332063950751591429872426,867
103,113144195379917227846014347085964707827923943624616595943129399383793,10664925570734020911114558119140796288804217515752341968435234177,127979106848808250933374697429689555465650610189028103621222810124,10609
104,552846150030324543639268852665834703790189920156352509466495106495968,102227468570696106442172494945605529547002573993408378229751314071/2,613364811424176638653034969673633177282015443960450269378507884426,2704
105,2701695659087222046057416087654249913397507243725228493360696444077600,245051760461426035923575155342789107791157119612265622980562035744,2940621125537112431082901864113469293493885435347187475766744428928,3675
106,13204669807163590597664832301772588361731727296467968951762149052887978,2350421823987823175091639783156388102835836115426836766066598265021/2,14102530943926939050549838698938328617015016692561020596399589590126,2809
107,64547071820855651271730627611754749373846233462405629420445258608080507,5637791232496781489364191423858393691488010608996910596597542021843,67653494789961377872370297086300724297856127307962927159170504262116,11449
108,315560290696566375553894121967191153509079647134519044189625484076397120,81162626207964602765919270053289905737932008007849548402681451665740/3,324650504831858411063677080213159622951728032031398193610725806662960,972
109,1542921767915227199267668808643801221236351585644180007225940705080160211,129864638322971736324187257692433399649554043064066998335656990579931,1558375659875660835890247092309200795794648516768803980027883886959172,11881
110,7545016676035032467410819979405235059114989253393984970684119655024415700,623555097192977889868662808215308682571486715156527683527613194630117,7482661166315734678423953698583704190857840581878332202331358335561404,3025
111,36900330066655557208471352996574535706471265836944204748028158282982748602,2994913567620774061234587533201407004826821348668468853829085162160762,35938962811449288734815050398416884057921856184021626245949021945929144,4107
112,180489974466491858318486205489217009097611840298228898856135659646245062144,14388550260402731052175239595760284526276454105407278288913875928431526,172662603124832772626102875149123414315317449264887339466966511141178312,3136
113,882933030891428989736249293935542679176454114806609713641950737060219983943,69146607478379590393629046435550370363885512945932313700520850267070247,829759289740555084723548557226604444366626155351187764406250203204842964,12769
114,4319697949268772897897772051278829068077540683086407815132764905957450232594,1994320382857235871605619598928360603913915366152542850938487952888942859/6,3988640765714471743211239197856721207827830732305085701876975905777885718,1083
115,21136303794890566609719723483877435486689560877814300649838886120240090651725,1598208226456753618882398751143851454570099121195788328910312750112672261,19178498717481043426588785013726217454841189454349459946923753001352067132,13225
116,103431752933030835973585688601590279051655777198048742119548697338659206846092,30746656638831996424966019203802104355426806539253490523052525962740549003/4,92239969916495989274898057611406313066280419617760471569157577888221647009,3364
117,506205738690389419634086914501105066589693631115985740910007636792189647753587,36979015172064388898684119694726062282832466295272535679012903557030436683,443748182064772666784209436336712747393989595543270428148154842684365240196,4563
118,2477694507744197309193759516799390357201967654929774381983515392994405488215962,355888323433524462682240666015425216489797135152222692040148720625453244501/2,2135329940601146776093443996092551298938782810913336152240892323752719467006,3481
119,12128725447699496847251094738798829627630255198647939348875073356119108988610989,856487920888319811259875343464361953790710768918009981560276347441501941149,10277855050659837735118504121572343445488529227016119778723316169298023293788,14161
120,59378401832268953245373373405835762400284296686044608170585188569042917935387200,4123500127240899530928706486516372388908631714308653345179526983961313745513,49482001526890794371144477838196468666903580571703840142154323807535764946156,1200
121,290728102525830442267279537403675390062866161514302097813949298199651551023468861,19857120587789798665888910416206228403993317499781578977798599699450280105421,238285447053477583990666924994474740847919809997378947733583196393403361265052,14641
122,1423606461537658126062895001302470580611362497009754322813243622224232193755130726,191293531515406896810386321056499674900747446521063467188019836364449367610203/2,1147761189092441380862317926338998049404484679126380803128119018186696205661218,3721
123,6971666273974565450295797576668709991431492075248117839130160440959333670319840946,460814744793083842309194102496444576074525221445443706730792546827902285036674,5529776937517006107710329229957334912894302657345324480769510561934827420440088,5043
124,34144929803324751798088912234129658351687519325380816874776794197343280827490678740,8882656036244732517713036481303240986391134059672428947652651976416046000908085/4,26647968108734197553139109443909722959173402179017286842957955929248138002724255,3844
125,167246933553443655915450547840602024615132578510524334358104365676528549867690437500,10703803747420393978588835061798529575368485024673557398918679403297827191532188,128445644969044727743066020741582354904421820296082688787024152839573926298386256,15625
126,819278833493562143577337285683940042692743292755830209306406030638434817624837766398,309629188773077151767701166169289509710031478743700003517160253453679069397142013/6,619258377546154303535402332338579019420062957487400007034320506907358138794284026,1323
127,4013712670447649023919175952282609313628171533319267183388608575984020739274014669537,248850683269120777724544358130238037921022477110748786867667467045943377721744353,2986208199229449332694532297562856455052269725328985442412009604551320532660932236,16129
128,19665326236935842418969032779529456991304360193059595999124153482324936213237352005632,1200276259578603663267152879609952208941916515689672607368417570942684095046225098,14403315114943243959205834555319426507302998188276071288421010851312209140554701176,4096
129,96359765786337268831067221769156334645268739735875206598042367244531149131106541409551,17371509966889718556168599561773271073601719800951001730312307056883206982351999533/3,69486039867558874224674398247093084294406879203804006921249228227532827929407998132,5547
130,472203723485581318398922286153097257266538209363775391333590831697878365371735605568800,27941048726957474461474691488348950134114686944602094161750936786856708010161870152,335292584723489693537696297860187401609376243335225129941011241442280496121942441824,4225
131,2314203636015589076900088035584045749531610042106233883175928131692889548048906495959153,134852493212259721280816271521708860178987823676139728639119406310406709868242322473,1618229918547116655369795258260506322147853884113676743669432875724880518418907869676,17161
132,11342574580581849634902597232486594680480714367448779102060993670507407264136667389800116,7811690482494386800897105532015561074711235790253980097838149910817773597890266797383/12,7811690482494386800897105532015561074711235790253980097838149910817773597890266797383,1452
133,55597984916559550180650399466618935119630332810723916690347023990070305602773869996154423,3143082419388294995796845467048387987994252519120578703733790716833642693355976595407,37716989032659539949562145604580655855931030229446944444805488602003712320271719144884,17689
134,272548148517350714214425622888720701285812678799749037114624297405030232003835524740398954,30357334430535833617111341377669937768524468567581759536046368612723349521478672838093/2,182144006583215001702668048266019626611146811405490557216278211676340097128872037028558,4489
135,1336175952145115549428622869944263026513184946365618809068318170383450285545424349789474250,73315552929773144001570527843306613251752260431584022445449556673989041730887481469930,879786635157277728018846334119679359021027125179008269345394680087868500770649777639160,6075
136,6551183472093714853056584641523859234904434242551730793074783629846487240426475118165778080,708389216273109305045045917119794467442088477784572966379193731601047495720855873504085/2,4250335297638655830270275502718766804652530866707437798275162389606284974325135241024510,4624
137,32122626417484198437046493374625465754030914243792331709502392241399956825181490764317552407,1711472450182971838512786689468030569238154096850782231845191125867119016739383598716903,20537669402195662062153440273616366830857849162209386782142293510405428200872603184602836,18769
138,157520468032674994400594736388675145305057981936555975290068105947389813729125533435830036834,49628376821888782104787251540225313580673592292550716852573442327470010626693614819102091/6,99256753643777564209574503080450627161347184585101433705146884654940021253387229638204182,1587
139,772497534464888753731032820064096976153333936343765662854759149413447295564691873079174085001,39982274958070946313908846336323015172782668409697513734007512520751891494471915174120081,479787299496851355766906156035876182073392020916370164808090150249022697933662982089440972,19321
140,3788705800390569752741170738149641666641219906453646789936746329564558894484487579717077842800,193301316346457640445978098885185799318429587063961570915140118855334637473698345903932543,2319615796157491685351737186622229591821155044767538850981681426264015649684380150847190516,4900
141,18583086872282058872861955322765622583666290886563722726368777388129064118225140641203837611490,934715903238371252596044229302631788323841400662125784737627754546001917319306908163766290,11216590838860455031152530751631581459886096807945509416851533054552023007831682897965195480,6627
142,91154383037718264463671660804819284174927665026993608288070067644708474101832791435556941764178,9041299646669139502447099861616671709475070921145963924625081099455313836722157452445639929/2,54247797880014837014682599169700030256850425526875783547750486596731883020332944714673839574,5041
143,447166767628481139574720428098294635716642003634921223791620301746527946450227070589591804721694,21867414916547564163270596513193536882812949466229215305962164494426521905727765200723351006,262408978998570769959247158158322442593755393594750583671545973933118262868733182408680212072,20449
144,2193781151831281693433133853682100623841642973704450566225674993331162087638536357393056021368320,105795773140011655740409618715379081010881702049790247213815344971603109936272007976131173870,1269549277680139868884915424584548972130580424597482966565784139659237319235264095713574086440,1728
145,10763374651086041210762876825501860859643559416549505823751178480669516488537071181147768277611825,511932206948206478514286650440040944572820899716980062960817050210202924543974848092640583953,6143186483378477742171439805280491334873850796603760755529804602522435094527698177111687007436,21025
146,52812236454660181537195505800944323300266148188457720576810544214667899157669448631147877536159726,4955173245886674942502862244412115152961732800568373107225609327703874944423855191513218008647/2,29731039475320049655017173466472690917770396803410238643353655966223249666543131149079308051882,5329
147,259149982320827920604288040869812921468782773993557364096776223046297845145899834471735520705938190,11992687413615989661913463874765742119893691239463064653467361888393625116659717454381763186910,143912248963391875942961566497188905438724294873556775841608342660723501399916609452581158242920,7203
148,1271738787439031250912206448472743507264574645430571231809403048058529564532644249475839632697251660,232238639050224844943792265973839208777314580977094819541527218418285165181271776748692409185035/4,696715917150674534831376797921517626331943742931284458624581655254855495543815330246077227555105,5476
149,6241289892705936775798623712322854714805506601011691079645234568620442669096382350021084790112200851,281126520999321506950075389051072236151772740012237785669349784632243712855113839467640412148651,3373518251991858083400904668612866833821272880146853428032197415586924554261366073611684945783812,22201
150,30632334762960536461509087919126483797246482453574512121368157029616129121105626558836970769871996250,2722874201152047685467474481700131893088576218095512188566058402632544810764944583007730735099733/2,16337245206912286112804846890200791358531457308573073131396350415795268864589667498046384410598398,1875
151,150353922166650228363666812486172959676322404987139174281355161569869663364670158853384053099424985553,6594181051999922300059945286880968364384123722079697130887029585100200138795235246409545769897153,79130172623999067600719343442571620372609484664956365570644355021202401665542822956914549238765836,22801
152,738036702804824902577041152565598063500552450012452165164335549677334839614332131229170003771966024800,63888218733104648768788188414612020732388543110496205433200792042705578221462268977594356282199275/2,383329312398627892612729130487672124394331258662977232599204752256233469328773613865566137693195650,5776
153,3623008227934332158416721663241965837322122784127371575302331012516214836929896057867151807915483735611,464309653714511362093646246730996518944267946190871661579178650841498761621158023563648828388502337/3,1857238614858045448374584986923986075777071784763486646316714603365995046484632094254595313554009348,7803
154,17786417245435822503865364750006774763505697476247337303711261446765436528416164792376075167207575983882,1499950855577316790678475691516847256156661956168606620316348578745609422197349029547653496981580029/2,8999705133463900744070854149101083536939971737011639721898091472473656533184094177285920981889480174,5929
155,87324290870950915418669975399249472502745380399353710167518890520144423858121437649361890148243970510475,3634725946761744658425389194557730385129880557725440589699017295323389130410881900077498029063224579,43616711361140935901104670334692764621558566692705287076388207543880669564930582800929976348758694948,24025
156,428754550329322965390733388770798679823434259822143998048515150661735130945896551263096185221427629600540,211417431128857478003320211425443136007610581766343194304001553580737244056162007526181550898139856805/12,211417431128857478003320211425443136007610581766343194304001553580737244056162007526181550898139856805,2028
157,2105276554881403628987709913964570589770737403502797838150676172094769981790958042742243421973991855456427,85410221708036984420776092902940102631779682887857431869474468420413403456162848096971212705342685523,1024922660496443813049313114835281231581356194654289182433693621044960841473954177163654552464112226276,24649
158,10337986572357559753376662637662772266775257770378693210343283920258295897128622432837959753476533098677538,828231579262743130377877154114947305461885737091707515649998711765606144618540492936865867126785218609/2,4969389475576458782267262924689683832771314422550245093899992270593636867711242957621195202760711311654,6241
159,50767857815220389962343521475778378999146573312602849277822253815434283131945025298052852216478270303072346,6024428363026034171394745636143156401939785607286442301865699989964908405357188239949311999107424979598/3,24097713452104136685578982544572625607759142429145769207462799959859633621428752959797247996429699918392,8427
160,249325932184886936009585251944315788837462937859063897234864025218118923030627405791005147065421697969100800,9739294225972145937874423904074835501463396010119683485736875985082770430883883038711138557243035076918,116871530711665751254493086848898026017560752121436201828842511820993245170606596464533662686916420923016,6400
161,1224535788135425802179670199913899200575524201093952447315076622669744643421512795841766705259057413838898965,47241070488616403772218286328224188903804799239765149774895899952538275661491176877503441428149277182165,566892845863396845266619435938690266845657590877181797298750799430459307937894122530041297137791326185980,25921
162,6014515054916352479049240146937203482343628108226678319167614475526713215887957054795775907667668857566320800,687530298915906776297352554519570585544539107021796790028305266978362278908088369318218553688576686964600/3,2750121195663627105189410218078282342178156428087187160113221067913449115632353477272874214754306747858400,2187
163,29542996616530199041661258550287813205148290074853810129475816407652688992516000849163365659317273780256424997,1111934834451059469368860647758207429905088263572351617655004569522853287384395379922592708017511904108413,13343218013412713632426327773098489158861059162868219411860054834274239448612744559071112496210142849300956,26569
164,145121902914734628770041963903004056077529577371945619753891130546877148659669548126353786454386933253159857740,21582674437051550977103207005205838203082923464001430659412720188411235672169772178220372762401388050737635/4,64748023311154652931309621015617514609248770392004291978238160565233707016509316534661118287204164152212905,6724
165,712911430177877836366940724133949259827937290832477774746334095357466507274927171068542862913029654040061611125,26185911117644732281613984357537162895424693878144270881408047579704922213955084336769251163013026778331005,314230933411736787379367812290445954745096326537731250576896570956459066567461012041231013956156321339972060,9075
166,3502370552422779681442386805857051164699021677379253666287089623987603803691343544288304183743907017190203521994,254200214285293923751080476546454577202716045680015507786840588183161837980210737718704034238924881491522973/2,1525201285711763542506482859278727463216296274080093046721043529098971027881264426312224205433549288949137838,6889
167,17207279859957953874474822924898849095059833767210434185109615527888469947762368659831388642996078162543048460617,616991640430203803452071530886688267598688865402504004629410001358545302727325062204861724801752596455342553,7403899685162445641424858370640259211184266384830048055552920016302543632727900746458340697621031157464110636,27889
168,84544563119763765171569254592937602676023940670982568459951180258983630050308950588283506028358767913482570114048,8986454413240196127930405462684694161992340632544915865215899262221899452626376550625372664578950671075953456/3,35945817652960784511721621850738776647969362530179663460863597048887597810505506202501490658315802684303813824,2352
169,415415026926609689181205063376540027202497589974411586692178931380544932152173993564118786696052150165754157023436,14544834807135943740807571981952313546531899792528678501879448597056998429752949601348649791535735799368164876,174538017685631324889690863783427762558382797510344142022553383164683981157035395216183797498428829592417978512,28561
170,2041274942377632959574065447587739863414719989791176153810551025657143294397341607689836300289221505384841892756050,141264701894645879555298646891885111654997923168939526215263046758279812761061702954313930815863079957428504689/2,847588211367875277331791881351310669929987539013637157291578280549678876566370217725883584895178479744571028134,7225
171,10030979051215394608659476612161080150921321148300843602400972426282785568582686041845726388660667899421836906501694,1029135021156806669607004884801588196462636826541586498656096483665003136204235769143913654320372206773554622602/3,4116540084627226678428019539206352785850547306166345994624385934660012544816943076575654617281488827094218490408,9747
172,49295513723699836364025756622165232190706922924006715871565803800054331774964547385935683532230283047856706396681996,6665158697093001130885040105755169306477409805841903173548648431591986448751290885064316323990032862068240453851/4,19995476091279003392655120317265507919432229417525709520645945294775959346253872655192948971970098586204721361553,7396
173,242266556779733928867519640296296709222603101392062360933396714297523028618174606792663734431479855004690098271077503,8094709371503689694527703575004066598369578047781829026475883400632263978688716856315404271157735139987640692007,97136512458044276334332442900048799180434936573381948317710600807587167744264602275784851253892821679851688304084,29929
174,1190697056780367695374418441863726623357160141054528156218656624080157019678608522172320627118665765035920239995746870,235968501145534620565679437547310072008949691053216043642222874371810745080976718623131317304531463542592199761345/6,471937002291069241131358875094620144017899382106432087284445748743621490161953437246262634609062927085184399522690,2523
175,5852353990881115643609828363073026359164949325190464111635033296177920414829515092700585381689021056789636640027397500,191097273171628265913790313896262085197222835108260052624817413752748421708718860169815032871478238589049359674364,2293167278059539190965483766755145022366674021299120631497808965032981060504626322037780394457738863068592316092368,30625
176,28766110468231199508592463423529489384487882449139268289518043399952829727276751513971480156570840194873320522628737024,928658008401058868433382729323653453786411494354960882280412041579055711753510831416951193071114417448131473483624,11143896100812706421200592751883841445436937932259530587364944498948668541042129977003414316853373009377577681803488,7744
177,141401074295332285439028101139068004372050485151876803189540892669199481876241103239212193051116731835310763614217297966,4513424440465137267037827608256503698555666799191701081730693372568530175755405638201416995471184264908256363567854,54161093285581647204453931299078044382668001590300412980768320470822362109064867658417003945654211178899076362814248,10443
178,695096411056769650626595979783472816884234803664630333123209147912918865162322212619707118717075202715887932128079861638,43876809181717564109745990391583942487327029646801561237420095184504410122605871267498240040214316545631102899133939/2,263260855090305384658475942349503654923962177880809367424520571107026460735635227604989440241285899273786617394803634,7921
179,3417101842972168401117256092289094971829615440193757178824970225052289538529091801321355286982822800046704706234456858721,106647790111799519400682128906372927556244044823624642764737998971701555461099584948077628257008919822936384826767481,1279773481341594232808185546876475130674928537883495713176855987660418665533195019376931539084107037875236617921209772,32041
180,16799297063167516728394269650827286040329794765751868776922573319358563991964757535159639604614698119207409346559375355200,1555490468811807104480950893595119077808314330162210071937275307348015184441181253255522185612472048074760124681423644/3,6221961875247228417923803574380476311233257320648840287749101229392060737764725013022088742449888192299040498725694576,2700
181,82593217098451530515809102564553356166934800939640601672318521378029615329776272790852843389290058664907115146880064032267,2521083516939395333347855760341667109274283475462916323443073208327878127339711021972859295787370918619917436796192547,30253002203272744000174269124100005311291401705554995881316878499934537528076532263674311549448451023439009241554310564,32761
182,406085535120412143713111926458197987677623210731211072930873418074846801454436441102150232262692351557521588677117253704554,24519112131409983318023905715384493882237846318754442273328910643330926304458183860774678919375217459094408204149091517/2,147114672788459899908143434292306963293427077912526653639973463859985557826749103164648073516251304754566449224894549102,8281
183,1996688443725177629883975751541774735466454778958282565282166817544789617687508352509417341961418039859691474613246992721142,178866652667309650621157014381597665095982690939557696433052657667722800115337127341164323386313539358567721455992743234/3,715466610669238602484628057526390660383930763758230785732210630670891200461348509364657293545254157434270885823970972936,11163
184,9817988556028458532423292310502271340241846857045110821178017488042897426473981296373364718150849396015469199747334850325088,579985146268221794212151010781088807906536321895386981402293093575312938709474320437935061327436755435696431932144071971/2,3479910877609330765272906064686532847439217931372321888413758561451877632256845922627610367964620532614178591592864431826,8464
185,48278521437028675642451129591601527574918410090568246783087913530690699107973412436065798564462464061447974741500026332306025,1410621517517273210882428914290767788894621185991767619666557006009954685404628559125370301372168416696799846355004421689,16927458210207278530589146971489213466735454231901211435998684072119456224855542709504443616466021000361598156260053060268,34225
186,237412956201343069814743628481295833214231574462033192831558582997304976683527865544217113264895396834804693390959533004616642,41174636871547532052504965050519568715614216868198611313138845472997741360306601724630092484373117730628632221810532952587/6,82349273743095064105009930101039137431228433736397222626277690945995482720613203449260184968746235461257264443621065905174,2883
187,1167545143925187528903981899017560315533932915535052938461672528567995837058252959386024569504469532931841843177495884763250106,33388004916502831905515796820542775473531782880123907988837900099173434672374187405588508950912795130882834601432579849674,400656058998033982866189561846513305682381394561486895866054801190081216068490248867062107410953541570594015217190958196088,34969
188,5741978456983912427482284449667005509746306738106349613670435338495113040196627744884489000760254250449085163630416708760725236,649839119169750161552997334729176721338423125634489544326667648086816776844344470901368153096452495523889221778000985599901/4,1949517357509250484658992004187530164015269376903468632980002944260450330533033412704104459289357486571667665334002956799703,8836
189,28240205267525074249438801666102846797266829124632687235072213231223542608987643560369844667967328377439613575456886256568426794,2371731356976994561975208000848479616802454784969571448313782920233773629712576094765251084905293388547880538797084593648142/3,9486925427907978247900832003393918467209819139878285793255131680935094518850304379061004339621173554191522155188338374592568,11907
190,138896837869271694633751125699918563081649579753468003855559641908110974000823791953620571711057710787835961952292760063356788500,3847557835713897358275654451521289836056775062422936394890848806318863545729190912842675116649798082765539112251877010065285,46170694028566768299307853418255478032681300749075236738690185675826362548750290954112101399797576993186469347022524120783420,9025
191,683179610386670546541533942566793386390477244761222087217177816675685984011612699632134977373510705487467670677713437452785291185,18726997899911475741935087924311104037457231017823581788250810467796551191349269472660699470231372645691391976034468283566385,224723974798937708903221055091733248449486772213882981459009725613558614296191233671928393642776471748296703712413619402796620,36481
192,3360433253871901179985669326076416527371150346514085603604405762479346544608241727463425880283075074651771297389746378776188846080,91157586096785513779993200034625014305858028062990603396386875067256579443582946166000051005942791738600566877977061056211720,1093891033161426165359918400415500171670296336755887240756642500807078953322995353992000612071313500863206802535724732674540640,3072
193,16530017209308329208879242042618206588858795176275453124863686932125417454365481989853863067360727966029121128661704119456593996547,443770764565715299977965637805530526694912485604323689894055865449419244929138553782755592562504442160302857221984593397315203,5325249174788583599735587653666366320338949827251884278728670385393030939149662645393067110750053305923634286663815120767782436,37249
