n,primitive_orbits,B_n,twelve_B_n,proved_divisor
1,1,1,12,1
2,2,1/2,6,1
3,6,2/3,8,3
4,20,5/4,15,4
5,75,3,36,25
6,282,47/6,94,3
7,1127,23,276,49
8,4576,143/2,858,16
9,19089,707/3,2828,27
10,80900,809,9708,25
11,348238,2878,34536,121
12,1516620,126385/12,126385,12
13,6674655,39495,473940,169
14,29630594,302353/2,1814118,49
15,132542550,589078,7068936,75
16,596795904,2331234,27974808,64
17,2702832907,9352363,112228356,289
18,12303921816,113925202/3,455700808,27
19,56267972921,155866961,1870403532,361
20,258385252000,645963130,7751557560,100
21,1190939271312,8101627696/3,32406510784,147
22,5507786022266,22759446373/2,136556678238,121
23,25550556729343,48299729167,579596750004,529
24,118862871118368,1238154907483/6,2476309814966,48
25,554389725117500,887023560188,10644282722256,625
26,2591907120517130,7668364261885/2,46010185571310,169
27,12144541481287290,49977536960030/3,199910147840120,243
28,57020473626245892,290920783807377/4,872762351422131,196
29,268229413697685571,318941038879531,3827292466554372,841
30,1264014435447740100,4213381451492467/3,16853525805969868,75
31,5966468727376598073,6208604294876793,74503251538521516,961
32,28206995894386796544,27545894428112106,330550733137345272,256
33,133545438865354620687,367893770978938349/3,1471575083915753396,363
34,633135059769580048694,1095389376763979323/2,6572336260583875938,289
35,3005552620225167926025,2453512343040953409,29442148116491440908,1225
36,14285040250794283091160,66134445605529088385/6,132268891211058176770,108
37,67973375226143750156307,49651844577168553803,595822134926022645636,1369
38,323794762815003717668746,448469200574797392893/2,2690815203448784357358,361
39,1544009168600332608753774,1015127658514354114894,12181531902172249378728,507
40,7369810365018034943942400,4606131478136271839964,55273577737635262079568,400
41,35210170185172526099999703,20945966796652305829863,251351601559827669958356,1681
42,168370427241238268456584104,286344264015711340912558/3,1145377056062845363650232,147
43,805807417864492109713223534,435807148655755602873566,5229685783869067234482792,1849
44,3859647045021150834577453580,7974477365746179410283995/4,23923432097238538230851985,484
45,18501164577007889125374461475,9136377568892784753271339,109636530826713417039256068,675
46,88750535726109599948403563426,83885194448118714506997697/2,503311166688712287041986182,529
47,426039224772572478555424152717,192865199082196685629436013,2314382388986360227553232156,2209
48,2046548235081236087711379843072,888258782587342051958064168,10659105391048104623496770016,192
49,9837303894200332325933689402290,4097169468638205883354306290,49166033623658470600251675480,2401
50,47315183944539192885055008191250,37852147155631354308044006553/2,227112882933788125848264039318,625
51,227711325967774113781101373936386,262642821185437270797118078358/3,1050571284741749083188472313432,867
52,1096524449805048981100526461289620,1622077588469007368491903049245/4,4866232765407022105475709147735,676
53,5283139809285953119753024435772779,1880790248944803531417951027331,22569482987337642377015412327972,2809
54,25468127962666859560636360991590344,26201777739369197078843992789702/3,104807110957476788315375971158808,243
55,122835701511953798062350529023907350,40606843475026048946231579842614,487282121700312587354778958111368,3025
56,592743573428890968467950650324295264,378025238156180464584152200461923/2,2268151428937082787504913202771538,784
57,2861647708748816516442338269316449146,2642333987764373514720533951354062/3,10569335951057494058882135805416248,1083
58,13821824049214003340532656500358407838,8217493489425685695917156064422359/2,49304960936554114175502936386534154,841
59,66789410216255633178396289957853554041,19186845796109058655098043653505761,230242149553308703861176523842069132,3481
60,322876497258375736587084377334498579000,538127495430626227645140628890830965/6,1076254990861252455290281257781661930,300
61,1561513256339953127041895428348645778843,419648819226001915356596460185070083,5035785830712022984279157522220840996,3721
62,7554913163296804425382999964532658798466,3930756068312593353477107161567460353/2,23584536409875560120862642969404762118,961
63,36566404527431303384574530138093089909821,27639005689668407698091103656910876727/3,110556022758673630792364414627643506908,1323
64,177051132287237734531151592331436329574400,43225374093563900032019431721542072650,518704489122766800384233180658504871800,1024
65,857578246739873780455708239563987033211025,202977099820088468746913192796209948689,2435725197841061624962958313554519384268,4225
66,4155301745974367571374009535817123841276202,5723556123931635773242437377158572784127/6,11447112247863271546484874754317145568254,363
67,20140976426070711415174294329595894713419537,4486740126101740123674380559054554402633,53840881513220881484092566708654652831596,4489
68,97656961390451262973096885380347604868683932,84478340303158531983647824723484087256647/4,253435020909475595950943474170452261769941,1156
69,473659665518022371890639629314049269467397268,298462297112805527341297813052330982651164/3,1193849188451222109365191252209323930604656,1587
70,2298084924208216980747947671015439958608309300,468996923307799383826111769594987746654757,5627963079693592605913341235139852959857084,1225
71,11153170713213704015044633278016781531796769969,2212491710615692127562910787148736665700609,26549900527388305530754929445784839988407308,5041
72,54145145768927285279654806943114623915326335808,31333996394055141944244679943932074025073111/3,125335985576220567776978719775728296100292444,432
73,262933580210248703023633548966318628787293284503,49340135149230381501901585469378613020696807,592081621790764578022819025632543356248361684,5329
74,1277187108237802068295553059390530306600429279614,466467168823156343424234134182078271220025303/2,2798803012938938060545404805092469627320151818,1369
75,6205569889190308925095088366859201781086941482500,3309637274234831426717380462324907616579702124/3,13238549096939325706869521849299630466318808496,1875
76,30159514770444466135780982692382969644234392677380,20886090561249630287936968623533912496007197145/4,62658271683748890863810905870601737488021591435,1444
77,146615385218325261785904863182940172228171795865076,24728518336705222092411007452005426248637509844,296742220040462665108932089424065114983650118128,5929
78,712925843693350397867707509437852373891333598961634,703082686088116763183143500431807074843524259331/6,1406165372176233526366287000863614149687048518662,507
79,3467496232251909082851160214903627762316801619562561,555599460383257343831302710287394289747925271521,6667193524599088125975632523448731476975103258252,6241
80,16869094849925117088182800254625977716635474602995200,2635796070300799545028562539785309018224292906718,31629552843609594540342750477423708218691514880616,1600
81,82086005176853748950847139903695734691935102660348550,37533610048858595770849172338223929900290399021650/3,150134440195434383083396689352895719601161596086600,2187
82,399526444113404698217233816599478112792350478342571086,118835944114635543788588285722628825934667007240503/2,713015664687813262731529714335772955608002043443018,1681
83,1944995536436213939169063764719279503370921574572726645,282333507974483080152280993572257149567560106629805,3388002095693796961827371922867085794810721279557660,6889
84,9470786465910214298437216379757376079730038288086445856,1342231641994077990141328852006430850301876174615426,16106779703928935881695946224077170203622514095385112,588
85,46125980028770619940417669486922305537590943727857156525,6384218689103199991753310655629384849493556225308949,76610624269238399901039727867552618193922674703707388,7225
86,224695896709231410191605973317815536069368952901808563706,60761464767234021144295828371502308293501609762522597/2,364568788603404126865774970229013849761009658575135582,1849
