a,max_abs_residual_on_grid
1.2,2.57571741713036317e-14
1.5,1.24344978758017533e-14
2,1.95399252334027551e-14
2.6,1.03250741290139558e-14
3,2.04281036531028803e-14
5,1.03250741290139558e-14
