r,derivative order,coefficient in log operator
1,2,1/18
1,4,-1/2700
1,6,1/178605
1,8,-1/9639000
1,10,1/478533825
1,12,-691/15688261338750
1,14,2/2092151286225
1,16,-3617/170727360353550000
2,2,2/45
2,4,-4/11475
2,6,64/11609325
2,8,-32/309652875
2,10,1024/490497170625
2,12,-1415168/32137403352429375
2,14,32768/34279898824796625
2,16,-14815232/699309938468162896875
3,2,8/189
3,4,-64/184275
3,6,4096/743175405
3,8,-8192/79272340875
3,10,1048576/502269581253825
3,12,-5796528128/131634811975681389375
3,14,536870912/561641864437619190225
3,16,-970931044352/45829976138119983631696875
