N,error_optimal_r,minimum_sampled_error,stability_optimal_r,minimum_sampled_weighted_lebesgue,heuristic_N_over_log2N_minus_3over2
16,5,2.7340776041516956917e-5,5,3.2784354701177376061,6.40000000
32,8,7.622566876410929961e-7,8,1.2975057457174516487e+1,9.14285714
64,14,1.7766068211766364957e-6,14,2.8253035539415624017e+3,14.22222222
128,23,3.978309857037532604e-3,23,6.1893358235178826463e+9,23.27272727
256,40,9.3273458105973192128e+8,41,2.7471932861128646479e+24,39.38461538
