level,block_start,block_end_exclusive,block_length,node_count,first_node,last_node,node_spacing
0,0,3,3,1,1,1,1
1,3,11,8,2,5,7,2
2,11,35,24,4,15,27,4
3,35,115,80,8,43,99,8
4,115,403,288,16,131,371,16
5,403,1491,1088,32,435,1427,32
6,1491,5715,4224,64,1555,5587,64
7,5715,22355,16640,128,5843,22099,128
8,22355,88403,66048,256,22611,87891,256
9,88403,351571,263168,512,88915,350547,512
10,351571,1402195,1050624,1024,352595,1400147,1024
11,1402195,5600595,4198400,2048,1404243,5596499,2048
12,5600595,22386003,16785408,4096,5604691,22377811,4096
