n,a_b3,a_b4,a_b5,a_b8,a_b9,a_b16
0,1,1,1,1,1,1
1,2,2,2,2,2,2
2,2,2,4,4,4,4
3,2,4,4,4,8,8
4,2,4,8,8,8,8
5,4,8,8,16,16,16
6,4,8,16,16,32,32
7,4,16,16,32,32,64
8,8,16,32,64,64,64
9,8,32,32,64,128,128
10,16,32,64,128,128,256
11,16,64,128,256,256,512
12,16,64,128,256,512,512
13,32,128,256,512,512,1024
14,32,128,256,1024,1024,2048
15,32,256,512,1024,2048,4096
16,64,256,512,2048,2048,4096
17,64,512,1024,4096,4096,8192
18,128,512,2048,4096,8192,16384
19,128,1024,2048,8192,8192,32768
20,128,1024,4096,16384,16384,32768
21,256,2048,4096,16384,32768,65536
22,256,2048,8192,32768,32768,131072
23,256,4096,8192,65536,65536,262144
24,512,4096,16384,65536,131072,262144
25,512,8192,32768,131072,262144,524288
26,512,8192,32768,262144,262144,1048576
27,1024,16384,65536,262144,524288,2097152
28,1024,16384,65536,524288,1048576,2097152
29,2048,32768,131072,1048576,1048576,4194304
30,2048,32768,131072,1048576,2097152,8388608
31,2048,65536,262144,2097152,4194304,16777216
32,4096,65536,524288,4194304,4194304,16777216
33,4096,131072,524288,4194304,8388608,33554432
34,4096,131072,1048576,8388608,16777216,67108864
35,8192,262144,1048576,16777216,16777216,134217728
36,8192,262144,2097152,16777216,33554432,134217728
37,16384,524288,2097152,33554432,67108864,268435456
38,16384,524288,4194304,67108864,67108864,536870912
39,16384,1048576,8388608,67108864,134217728,1073741824
40,32768,1048576,8388608,134217728,268435456,1073741824
41,32768,2097152,16777216,268435456,536870912,2147483648
42,32768,2097152,16777216,268435456,536870912,4294967296
43,65536,4194304,33554432,536870912,1073741824,8589934592
44,65536,4194304,33554432,1073741824,2147483648,8589934592
45,65536,8388608,67108864,1073741824,2147483648,17179869184
46,131072,8388608,134217728,2147483648,4294967296,34359738368
47,131072,16777216,134217728,4294967296,8589934592,68719476736
48,262144,16777216,268435456,4294967296,8589934592,68719476736
49,262144,33554432,268435456,8589934592,17179869184,137438953472
50,262144,33554432,536870912,17179869184,34359738368,274877906944
51,524288,67108864,536870912,17179869184,34359738368,549755813888
52,524288,67108864,1073741824,34359738368,68719476736,549755813888
53,524288,134217728,1073741824,68719476736,137438953472,1099511627776
54,1048576,134217728,2147483648,68719476736,137438953472,2199023255552
55,1048576,268435456,4294967296,137438953472,274877906944,4398046511104
56,2097152,268435456,4294967296,274877906944,549755813888,4398046511104
57,2097152,536870912,8589934592,274877906944,549755813888,8796093022208
58,2097152,536870912,8589934592,549755813888,1099511627776,17592186044416
59,4194304,1073741824,17179869184,1099511627776,2199023255552,35184372088832
60,4194304,1073741824,17179869184,1099511627776,4398046511104,35184372088832
61,4194304,2147483648,34359738368,2199023255552,4398046511104,70368744177664
62,8388608,2147483648,68719476736,4398046511104,8796093022208,140737488355328
63,8388608,4294967296,68719476736,4398046511104,17592186044416,281474976710656
64,8388608,4294967296,137438953472,8796093022208,17592186044416,281474976710656
65,16777216,8589934592,137438953472,17592186044416,35184372088832,562949953421312
66,16777216,8589934592,274877906944,17592186044416,70368744177664,1125899906842624
67,33554432,17179869184,274877906944,35184372088832,70368744177664,2251799813685248
68,33554432,17179869184,549755813888,70368744177664,140737488355328,2251799813685248
69,33554432,34359738368,1099511627776,70368744177664,281474976710656,4503599627370496
70,67108864,34359738368,1099511627776,140737488355328,281474976710656,9007199254740992
71,67108864,68719476736,2199023255552,281474976710656,562949953421312,18014398509481984
72,67108864,68719476736,2199023255552,281474976710656,1125899906842624,18014398509481984
73,134217728,137438953472,4398046511104,562949953421312,1125899906842624,36028797018963968
74,134217728,137438953472,4398046511104,1125899906842624,2251799813685248,72057594037927936
75,268435456,274877906944,8796093022208,1125899906842624,4503599627370496,144115188075855872
76,268435456,274877906944,17592186044416,2251799813685248,4503599627370496,144115188075855872
77,268435456,549755813888,17592186044416,4503599627370496,9007199254740992,288230376151711744
78,536870912,549755813888,35184372088832,4503599627370496,18014398509481984,576460752303423488
79,536870912,1099511627776,35184372088832,9007199254740992,36028797018963968,1152921504606846976
80,536870912,1099511627776,70368744177664,18014398509481984,36028797018963968,1152921504606846976
