x,s,d,m,C_m_in_q_n=sum_Cm_4^(-m*n)
3/4,2,1,0,5/72
3/4,2,1,1,-1/9
7/8,3,1,0,1/288
7/8,3,1,1,-1/18
15/16,4,2,0,143/2073600
15/16,4,2,1,-5/648
15/16,4,2,2,248/2025
5/16,4,2,0,1767743/2073600
5/16,4,2,1,67/648
5/16,4,2,2,248/2025
31/32,5,2,0,19/33177600
31/32,5,2,1,-1/2592
31/32,5,2,2,124/2025
63/64,6,3,0,1153/561842749440
63/64,6,3,1,-143/18662400
63/64,6,3,2,31/3645
63/64,6,3,3,-4806656/2679075
