base_a,max_abs_periodicity_residual,rms_periodicity_residual
1.2,2.6645352591003757e-15,7.5267078045412535e-16
1.5,3.9968028886505635e-15,1.1301186534841525e-15
2.0,2.886579864025407e-15,1.0043504909937886e-15
2.6,2.886579864025407e-15,7.283222317782346e-16
3.0,3.1086244689504383e-15,5.938156948221399e-16
5.0,2.4424906541753444e-15,6.090051974980901e-16
