t,dyadic_sinc_product,trace_exponential,absolute_error
0.25,0.99653235586314118788000637364241058239610112632465,0.99653235586314118788000637364241058239610112632463,1.60365882606e-50
0.75,0.96911868321086493509777368811236930187367200319903,0.96911868321086493509777368811236930187367200319904,1.60365882606e-50
1.5,0.88078514338573382643449219557027579378506558999613,0.88078514338573382643449219557027579378506558999614,9.35467648532e-51
2.75,0.64137345172780655286680497767362179323575769782274,0.64137345172780655286680497767362179323575769782277,2.27185000358e-50
4.0,0.36176313892374705067797885417530524571212227730321,0.3617631389237470506779788541753052457121222773032,2.67276471009e-51
5.25,0.12581236214558574937454242290463355002601811912592,0.12581236214558574937454242290476339160035184193227,1.29841574334e-31
