n,apery_a_n,A_coefficient,F_coefficient,B_minus_2,B_minus_1,B_0,B_1,B_2,U_1,V_2
0,1,1,1,,,,,,1,1
1,5,5,5,5,5,5,5,5,5,10
2,73,49,24,-27,23,73,123,173,123,246
3,1445,685,200,410,365,1445,3650,6980,3650,7300
4,33001,11807,2430,-1915,6343,33001,118059,301517,118059,236118
5,819005,232771,36096,53130,123255,819005,4015380,13540505,4015380,8030760
6,21460825,5031415,605620,3114,2555843,21460825,141175410,623546948,141175410,282350820
7,584307365,116222699,11024496,9712148,55420279,584307365,5082313276,29224654632,5082313276,10164626552
8,16367912425,2822056474,212758245,72100485,1241333063,16367912425,186243853995,1387680014797,186243853995,372487707990
9,468690849005,71230971002,4290221760,2483257100,28497202718,468690849005,6920379988871,66556407357221,6920379988871,13840759977742
10,13657436403073,1854334597966,89521147728,34687939098,666979766273,13657436403073,260030830600748,3217765030168673,260030830600748,520061661201496
11,403676083788125,49503739725470,1919857751760,805271686752,15855898303492,403676083788125,9860709859708350,156580459041764576,9860709859708350,19721419719416700
12,12073365010564729,1349449053997654,42107298129952,14212452168938,381803815834819,12073365010564729,376821110248674594,7660547239431959108,376821110248674594,753642220497349188
