n,copy_scale_c_an,support_fraction_r_an,L1_norm,Linf_norm,L2_squared_ratio
0,1,1,1,1.3,1.0
1,3.3800000000000003,0.76923076923076916,2.6000000000000001,4.3940000000000001,8.78800000000000025579538487364
2,29.703440000000008,0.59171597633136086,17.576000000000001,38.614472000000006,522.067661440000165384844876826
3,678.68795987200031,0.45516613563950831,308.91577600000005,882.29434783360034,209657.417785715835634618997574
4,40318.734189560739,0.35012779664577559,14116.709565337605,52414.354446428959,569167860.596076369285583496094
5,6227546.5297529455,0.26932907434290426,1677259.3422857267,8095810.4886788279,10445210596547.18359375
6,2500923579.4591603,0.20717621103300327,518131871.27544498,3251200653.2969079,1295808214142058752.0
7,2611302649136.7964,0.15936631617923327,416153683622.00421,3394693443877.835,1086703216490175795298304.0
8,7089038670204009,0.12258947398402557,869041521632725.75,9215750271265210,6.16066895286732498057992496742e+30
9,5.0036950002358551e+19,0.094299595372327363,4.7184641388877875e+18,6.5048035003066098e+19,2.36097554205449918481568149409e+38
10,9.1826421793419892e+23,0.072538150286405659,6.6609187843139684e+22,1.1937434833144582e+24,6.11648337820127943317574681088e+46
