N,even_numeric,even_exact,even_relative_error,odd_numeric,odd_exact,odd_relative_error
0,1.0,1.0,0.0,8.7880000000000009006129175759270164,8.7880000000000009006129175759270164,0.0
1,444.8387174400001268444367497068172,444.8387174400001268444367497068172,0.0,1569914.7443794404501024531347105349,1569914.7443794404501024531347105349,7.14367119551e-102
2,211013163686.71893173916008033409343,211013163686.71893173916008033409343,7.14367119551e-102,13666580670593932607.785776896111274,13666580670593932607.785776896111274,3.57183559776e-101
3,227147902244014189860285059001.38878,227147902244014189860285059001.38878,5.00056983686e-101,1.2337559912613733238475757077946125e+43,1.2337559912613733238475757077946125e+43,7.85803831507e-101
4,1.1619489219503763813883898052173443e+60,1.1619489219503763813883898052173443e+60,1.07155067933e-100,2.4186398126976961289393511987880986e+81,2.4186398126976961289393511987880986e+81,1.4287342391e-100
5,5.9007675422619054336296937002032609e+106,5.9007675422619054336296937002032609e+106,1.78591779888e-100,2.1510458814023755861376913359972251e+137,2.1510458814023755861376913359972251e+137,2.50028491843e-100
6,6.2127822906545937166661607807383034e+172,6.2127822906545937166661607807383034e+172,2.85746847821e-100,1.8124986949906568739238253586840321e+214,1.8124986949906568739238253586840321e+214,3.64327230971e-100
