generation,degree,left,right,length
0,0,-0.14423076923076925,0.14423076923076925,0.28846153846153849
1,1,-0.44008875739644965,-0.32914201183431951,0.11094674556213013
1,1,0.32914201183431951,0.44008875739644965,0.11094674556213013
2,2,-0.55388029130632677,-0.51120846609012294,0.042671825216203829
2,2,-0.25802230314064634,-0.21535047792444245,0.042671825216203885
2,2,0.21535047792444245,0.25802230314064634,0.042671825216203885
2,2,0.51120846609012294,0.55388029130632677,0.042671825216203829
3,3,-0.59764626588704872,-0.58123402541927804,0.016412240467770678
3,3,-0.48385473197717166,-0.46744249150940093,0.016412240467770733
3,3,-0.30178827772136829,-0.28537603725359756,0.016412240467770733
3,3,-0.18799674381149117,-0.17158450334372047,0.016412240467770706
3,3,0.17158450334372047,0.18799674381149117,0.016412240467770706
3,3,0.28537603725359756,0.30178827772136829,0.016412240467770733
3,3,0.46744249150940093,0.48385473197717166,0.016412240467770733
3,3,0.58123402541927804,0.59764626588704872,0.016412240467770678
4,4,-0.61447933303348024,-0.60816693285356849,0.006312400179911748
4,4,-0.57071335845275839,-0.56440095827284642,0.00631240017991197
4,4,-0.50068779912360317,-0.49437539894369137,0.0063124001799118035
4,4,-0.45692182454288116,-0.45060942436296936,0.0063124001799118035
4,4,-0.31862134486779981,-0.312308944687888,0.0063124001799118035
4,4,-0.27485537028707785,-0.26854297010716605,0.0063124001799118035
4,4,-0.20482981095792274,-0.19851741077801088,0.006312400179911859
4,4,-0.16106383637720076,-0.15475143619728896,0.0063124001799118035
4,4,0.15475143619728896,0.16106383637720076,0.0063124001799118035
4,4,0.19851741077801088,0.20482981095792274,0.006312400179911859
4,4,0.26854297010716605,0.27485537028707785,0.0063124001799118035
4,4,0.312308944687888,0.31862134486779981,0.0063124001799118035
4,4,0.45060942436296936,0.45692182454288116,0.0063124001799118035
4,4,0.49437539894369137,0.50068779912360317,0.0063124001799118035
4,4,0.56440095827284642,0.57071335845275839,0.00631240017991197
4,4,0.60816693285356849,0.61447933303348024,0.006312400179911748
5,5,-0.62095358962826153,-0.6185257434052186,0.0024278462230429287
5,5,-0.60412052248183012,-0.60169267625878708,0.0024278462230430398
5,5,-0.57718761504753968,-0.57475976882449664,0.0024278462230430398
5,5,-0.56035454790110817,-0.55792670167806513,0.0024278462230430398
5,5,-0.50716205571838457,-0.50473420949534153,0.0024278462230430398
5,5,-0.49032898857195306,-0.48790114234890997,0.0024278462230430953
5,5,-0.46339608113766256,-0.46096823491461958,0.0024278462230429843
5,5,-0.44656301399123105,-0.44413516776818807,0.0024278462230429843
5,5,-0.32509560146258115,-0.32266775523953817,0.0024278462230429843
5,5,-0.30826253431614964,-0.30583468809310665,0.0024278462230429843
5,5,-0.28132962688185925,-0.27890178065881621,0.0024278462230430398
5,5,-0.26449655973542768,-0.2620687135123847,0.0024278462230429843
5,5,-0.21130406755270409,-0.20887622132966108,0.002427846223043012
5,5,-0.19447100040627252,-0.19204315418322954,0.0024278462230429843
5,5,-0.16753809297198213,-0.16511024674893907,0.0024278462230430675
5,5,-0.15070502582555056,-0.14827717960250761,0.0024278462230429565
5,5,0.14827717960250761,0.15070502582555056,0.0024278462230429565
5,5,0.16511024674893907,0.16753809297198213,0.0024278462230430675
5,5,0.19204315418322954,0.19447100040627252,0.0024278462230429843
5,5,0.20887622132966108,0.21130406755270409,0.002427846223043012
5,5,0.2620687135123847,0.26449655973542768,0.0024278462230429843
5,5,0.27890178065881621,0.28132962688185925,0.0024278462230430398
5,5,0.30583468809310665,0.30826253431614964,0.0024278462230429843
5,5,0.32266775523953817,0.32509560146258115,0.0024278462230429843
5,5,0.44413516776818807,0.44656301399123105,0.0024278462230429843
5,5,0.46096823491461958,0.46339608113766256,0.0024278462230429843
5,5,0.48790114234890997,0.49032898857195306,0.0024278462230430953
5,5,0.50473420949534153,0.50716205571838457,0.0024278462230430398
5,5,0.55792670167806513,0.56035454790110817,0.0024278462230430398
5,5,0.57475976882449664,0.57718761504753968,0.0024278462230430398
5,5,0.60169267625878708,0.60412052248183012,0.0024278462230430398
5,5,0.6185257434052186,0.62095358962826153,0.0024278462230429287
6,6,-0.62344368831856212,-0.62250990130969952,0.00093378700886259658
6,6,-0.61696943172378083,-0.61603564471491812,0.0009337870088627076
6,6,-0.6066106211721306,-0.60567683416326801,0.00093378700886259658
6,6,-0.60013636457734931,-0.59920257756848661,0.0009337870088627076
6,6,-0.57967771373784027,-0.57874392672897745,0.00093378700886281862
6,6,-0.57320345714305887,-0.57226967013419605,0.00093378700886281862
6,6,-0.56284464659140865,-0.56191085958254594,0.0009337870088627076
6,6,-0.55637038999662736,-0.55543660298776454,0.00093378700886281862
6,6,-0.50965215440868505,-0.50871836739982235,0.0009337870088627076
6,6,-0.50317789781390365,-0.50224411080504106,0.00093378700886259658
6,6,-0.49281908726225354,-0.49188530025339078,0.00093378700886276311
6,6,-0.48634483066747214,-0.48541104365860949,0.00093378700886265209
6,6,-0.4658861798279631,-0.46495239281910039,0.0009337870088627076
6,6,-0.4594119232331817,-0.45847813622431899,0.0009337870088627076
6,6,-0.44905311268153153,-0.44811932567266888,0.00093378700886265209
6,6,-0.44257885608675018,-0.44164506907788748,0.0009337870088627076
6,6,-0.32758570015288169,-0.32665191314401898,0.0009337870088627076
6,6,-0.32111144355810034,-0.32017765654923763,0.0009337870088627076
6,6,-0.31075263300645017,-0.30981884599758747,0.0009337870088627076
6,6,-0.30427837641166877,-0.30334458940280612,0.00093378700886265209
6,6,-0.28381972557215973,-0.28288593856329708,0.00093378700886265209
6,6,-0.27734546897737838,-0.27641168196851568,0.0009337870088627076
6,6,-0.26698665842572822,-0.26605287141686551,0.0009337870088627076
6,6,-0.26051240183094687,-0.25957861482208416,0.0009337870088627076
6,6,-0.2137941662430046,-0.21286037923414189,0.0009337870088627076
6,6,-0.20731990964822322,-0.20638612263936057,0.00093378700886265209
6,6,-0.19696109909657311,-0.19602731208771035,0.00093378700886276311
6,6,-0.19048684250179171,-0.189553055492929,0.0009337870088627076
6,6,-0.17002819166228264,-0.16909440465341993,0.0009337870088627076
6,6,-0.16355393506750129,-0.16262014805863859,0.0009337870088627076
6,6,-0.15319512451585113,-0.15226133750698842,0.0009337870088627076
6,6,-0.14672086792106975,-0.1457870809122071,0.00093378700886265209
6,6,0.1457870809122071,0.14672086792106975,0.00093378700886265209
6,6,0.15226133750698842,0.15319512451585113,0.0009337870088627076
6,6,0.16262014805863859,0.16355393506750129,0.0009337870088627076
6,6,0.16909440465341993,0.17002819166228264,0.0009337870088627076
6,6,0.189553055492929,0.19048684250179171,0.0009337870088627076
6,6,0.19602731208771035,0.19696109909657311,0.00093378700886276311
6,6,0.20638612263936057,0.20731990964822322,0.00093378700886265209
6,6,0.21286037923414189,0.2137941662430046,0.0009337870088627076
6,6,0.25957861482208416,0.26051240183094687,0.0009337870088627076
6,6,0.26605287141686551,0.26698665842572822,0.0009337870088627076
6,6,0.27641168196851568,0.27734546897737838,0.0009337870088627076
6,6,0.28288593856329708,0.28381972557215973,0.00093378700886265209
6,6,0.30334458940280612,0.30427837641166877,0.00093378700886265209
6,6,0.30981884599758747,0.31075263300645017,0.0009337870088627076
