n,x,p_n(x)
2,0,1
2,1/4,1
2,1/2,1/2
2,3/4,0
3,0,1
3,1/4,15/16
3,1/2,1/2
3,3/4,1/16
4,0,1
4,1/4,179/192
4,1/2,1/2
4,3/4,13/192
5,0,1
5,1/4,715/768
5,1/2,1/2
5,3/4,53/768
6,0,1
6,1/4,953/1024
6,1/2,1/2
6,3/4,71/1024
