m,uncorrected_error,cubic_corrected_error
4,0.0560097403435,9.96991319447e-8
8,0.00352559385875,1.51299266718e-12
12,0.000220446499346,2.30783803001e-17
16,1.37782844844e-5,3.52140445937e-22
