p,M,r,absolute_error
0,2,4,0.0960902696458
0,3,8,0.0483722107293
0,4,16,0.0242146593226
0,5,32,0.0121101288563
0,6,64,0.00605573630181
0,7,128,0.00302803358329
0,8,256,0.0015140578326
1,2,16,0.0909055797472
1,3,64,0.0455831847811
1,4,256,0.0228234397433
1,5,1024,0.011419588
1,6,4096,0.00571174922749
1,7,16384,0.00285636193939
1,8,65536,0.0014283026156
2,2,64,0.0892175446496
2,3,512,0.0447276314579
2,4,4096,0.0223928204684
2,5,32768,0.0112035715352
2,6,262144,0.00560356478737
2,7,2097152,0.0028022257311
2,8,16777216,0.00140122352244
