n,E_2,E_3,E_5,E_7
218,46924,35286,29504,27574
219,47356,35612,29775,27828
220,47791,35939,30048,28083
221,48227,36267,30322,28339
222,48665,36597,30597,28596
223,49104,36928,30873,28854
224,49549,37260,31150,29114
225,49995,37595,31430,29375
226,50443,37931,31711,29637
227,50892,38268,31993,29900
228,51344,38607,32276,30164
229,51797,38947,32560,30429
230,52252,39288,32846,30695
231,52708,39631,33133,30963
232,53168,39975,33421,31232
233,53629,40320,33710,31502
234,54092,40668,34000,31773
235,54556,41017,34292,32045
236,55023,41367,34585,32318
237,55491,41719,34879,32592
238,55961,42072,35174,32868
239,56432,42426,35470,33145
240,56908,42782,35768,33423
241,57385,43139,36067,33702
242,57864,43497,36367,33982
243,58344,43861,36668,34263
244,58827,44226,36970,34545
245,59311,44592,37274,34830
246,59797,44960,37579,35116
247,60284,45329,37885,35403
248,60775,45699,38192,35691
249,61267,46071,38500,35980
250,61761,46444,38812,36270
251,62256,46818,39125,36561
252,62754,47195,39439,36854
253,63253,47573,39754,37148
254,63754,47952,40070,37443
255,64256,48333,40388,37739
256,64767,48715,40707,38036
257,65279,49098,41027,38334
258,65793,49483,41348,38633
259,66308,49869,41670,38934
260,66826,50256,41994,39236
261,67345,50646,42319,39539
262,67866,51037,42645,39843
263,68388,51429,42972,40148
264,68914,51823,43300,40454
265,69441,52218,43630,40761
266,69970,52614,43961,41070
267,70500,53012,44293,41380
268,71033,53411,44626,41691
269,71567,53811,44960,42003
270,72103,54215,45296,42316
271,72640,54620,45633,42630
272,73182,55026,45971,42945
273,73725,55434,46310,43262
274,74270,55843,46650,43580
275,74816,56253,46993,43899
276,75365,56665,47337,44219
277,75915,57078,47682,44540
278,76467,57492,48028,44862
279,77020,57909,48375,45185
280,77577,58327,48724,45510
281,78135,58746,49074,45836
282,78695,59167,49425,46163
283,79256,59589,49777,46491
284,79820,60012,50130,46820
285,80385,60437,50485,47150
286,80952,60863,50841,47481
287,81520,61290,51198,47814
288,82094,61720,51556,48148
289,82669,62151,51915,48483
290,83246,62583,52276,48819
291,83824,63017,52638,49156
292,84405,63452,53001,49494
293,84987,63888,53365,49833
294,85571,64326,53730,50175
295,86156,64765,54097,50518
296,86745,65205,54465,50862
297,87335,65649,54834,51207
298,87927,66094,55204,51553
299,88520,66540,55575,51900
300,89116,66988,55949,52248
301,89713,67437,56324,52598
302,90312,67887,56700,52949
303,90912,68339,57077,53301
304,91517,68792,57455,53654
305,92123,69246,57835,54008
306,92731,69703,58216,54363
307,93340,70161,58598,54719
308,93952,70620,58981,55077
309,94565,71081,59365,55436
310,95180,71543,59751,55796
311,95796,72006,60138,56157
312,96416,72471,60526,56519
313,97037,72937,60915,56882
314,97660,73404,61305,57246
315,98284,73874,61697,57612
316,98911,74345,62090,57979
317,99539,74817,62484,58347
318,100169,75291,62879,58716
319,100800,75766,63275,59086
320,101438,76242,63673,59457
321,102077,76720,64072,59829
322,102718,77199,64472,60203
323,103360,77679,64873,60578
324,104005,78164,65275,60954
325,104651,78650,65680,61331
326,105299,79137,66086,61709
327,105948,79626,66493,62088
328,106601,80116,66901,62468
329,107255,80607,67310,62850
330,107911,81100,67721,63233
331,108568,81594,68133,63617
332,109228,82089,68546,64002
333,109889,82587,68960,64388
334,110552,83086,69375,64775
335,111216,83586,69792,65163
336,111885,84088,70210,65553
337,112555,84591,70629,65944
338,113227,85095,71049,66336
339,113900,85601,71470,66729
340,114576,86108,71893,67123
341,115253,86616,72317,67518
342,115932,87127,72742,67914
343,116612,87639,73168,68314
344,117296,88152,73595,68715
345,117981,88667,74024,69117
346,118668,89183,74454,69520
347,119356,89700,74885,69924
348,120047,90219,75317,70329
349,120739,90739,75750,70735
350,121433,91260,76186,71143
351,122128,91785,76623,71552
352,122829,92311,77061,71962
353,123531,92838,77500,72373
354,124235,93367,77940,72785
355,124940,93897,78382,73198
356,125648,94428,78825,73612
357,126357,94961,79269,74028
358,127068,95495,79714,74445
359,127780,96030,80160,74863
360,128496,96568,80608,75282
361,129213,97107,81057,75702
362,129932,97647,81507,76123
363,130652,98189,81958,76545
364,131375,98732,82410,76969
365,132099,99276,82864,77394
366,132825,99822,83319,77820
367,133552,100369,83775,78247
368,134284,100917,84232,78675
369,135017,101468,84690,79104
370,135752,102020,85150,79534
371,136488,102573,85611,79966
372,137227,103128,86073,80399
373,137967,103684,86536,80833
374,138709,104241,87000,81268
375,139452,104800,87468,81704
376,140199,105360,87937,82141
377,140947,105921,88407,82579
378,141697,106486,88878,83019
379,142448,107052,89350,83460
380,143202,107619,89824,83902
381,143957,108188,90299,84345
382,144714,108758,90775,84789
383,145472,109329,91252,85234
384,146238,109902,91730,85680
385,147005,110476,92210,86128
386,147774,111051,92691,86577
387,148544,111629,93173,87027
388,149317,112208,93656,87478
389,150091,112788,94140,87930
390,150867,113370,94626,88383
391,151644,113953,95113,88837
392,152425,114537,95601,89294
393,153207,115123,96090,89752
394,153991,115710,96580,90211
395,154776,116298,97072,90671
396,155564,116889,97565,91132
397,156353,117481,98059,91594
398,157144,118074,98554,92057
399,157936,118669,99050,92522
400,158733,119265,99549,92988
401,159531,119862,100049,93455
402,160331,120461,100550,93923
403,161132,121061,101052,94392
404,161936,121662,101555,94862
405,162741,122268,102060,95333
406,163548,122875,102566,95806
407,164356,123483,103073,96280
408,165168,124093,103581,96755
409,165981,124704,104090,97231
410,166796,125316,104601,97708
411,167612,125930,105113,98186
412,168431,126545,105626,98665
413,169251,127161,106140,99146
414,170073,127780,106655,99628
415,170896,128400,107172,100111
416,171725,129021,107690,100595
417,172555,129644,108209,101080
418,173387,130268,108729,101566
419,174220,130893,109250,102053
420,175056,131520,109773,102542
421,175893,132148,110297,103032
422,176732,132777,110822,103523
423,177572,133409,111348,104015
424,178416,134042,111875,104508
425,179261,134676,112405,105002
426,180108,135312,112936,105497
427,180956,135949,113468,105994
428,181807,136587,114001,106492
429,182659,137227,114535,106991
430,183513,137868,115071,107491
431,184368,138510,115608,107992
432,185228,139156,116146,108494
433,186089,139803,116685,108997
434,186952,140451,117225,109502
435,187816,141101,117767,110008
436,188683,141752,118310,110515
437,189551,142404,118854,111023
438,190421,143058,119399,111532
439,191292,143713,119945,112042
440,192167,144369,120493,112553
441,193043,145028,121042,113067
442,193921,145688,121592,113582
443,194800,146349,122143,114098
444,195682,147012,122695,114615
445,196565,147676,123249,115133
446,197450,148341,123804,115652
447,198336,149008,124360,116172
448,199229,149676,124917,116694
449,200123,150345,125475,117217
450,201019,151017,126036,117741
451,201916,151690,126598,118266
452,202816,152364,127161,118792
453,203717,153040,127725,119319
454,204620,153717,128290,119847
455,205524,154395,128857,120377
456,206432,155075,129425,120908
457,207341,155756,129994,121440
458,208252,156438,130564,121973
459,209164,157124,131135,122507
460,210079,157811,131708,123042
461,210995,158499,132282,123578
462,211913,159189,132857,124116
463,212832,159880,133433,124655
464,213756,160572,134010,125195
465,214681,161266,134589,125736
466,215608,161961,135169,126278
467,216536,162657,135750,126821
468,217467,163356,136332,127365
469,218399,164056,136915,127911
470,219333,164757,137500,128458
471,220268,165460,138086,129006
472,221207,166164,138673,129555
473,222147,166869,139261,130105
474,223089,167576,139850,130656
475,224032,168284,140442,131208
476,224978,168993,141035,131762
477,225925,169705,141629,132317
478,226874,170418,142224,132873
479,227824,171132,142820,133430
480,228780,171848,143418,133988
481,229737,172565,144017,134547
482,230696,173283,144617,135107
483,231656,174003,145218,135669
484,232619,174724,145820,136232
485,233583,175446,146424,136796
486,234549,176174,147029,137361
487,235516,176903,147635,137927
488,236487,177633,148242,138494
489,237459,178365,148850,139062
490,238433,179098,149460,139633
491,239408,179832,150071,140205
492,240386,180568,150683,140778
493,241365,181305,151296,141352
494,242346,182043,151910,141927
495,243328,182784,152526,142503
496,244315,183526,153143,143080
497,245303,184269,153761,143659
498,246293,185014,154380,144239
499,247284,185760,155000,144820
500,248278,186507,155624,145402
501,249273,187256,156249,145985
502,250270,188006,156875,146569
503,251268,188757,157502,147154
504,252270,189511,158130,147741
505,253273,190266,158760,148329
506,254278,191022,159391,148918
507,255284,191780,160023,149508
508,256293,192539,160656,150099
509,257303,193299,161290,150691
510,258315,194061,161926,151284
511,259328,194824,162563,151879
512,260351,195588,163201,152475
