n,matrix_size,m,a,reduced_numerator
24,25,5,1,1901091566295159823515072405835103109264871206373519032441746057565854249277472203557201497052621863202610629503298188674778262443788623503544624583852527978187847081031734592912357695384795280342176118255040207774382160198963856151525515423826657984269000422536358621400702420807052018353350982292716419484982535110142249297056924906488555403892140062791926661918530613262656492971667990518503399759909868494802563030058676203176091173708076110583121975938780678916373290121555328369140625
25,26,5,1,41223352125421653172653033621560656033310805212413800549395684543566676712123696386365736254241443920682806797957434538697566382254018960477732701378894216797090109040581158725635153847726458241832600337316299186178227349925965245457918054851747428907475694906573931235707585370317812249423157636601519691128620180708936667305523143345185707855669444256601982718542288619863200458795938141214909052401904187056383487487247218698275287014893676945466839503578249254240235347131612883242210800850691132524161730543710291385650634765625
26,27,5,1,22347223965758546513581938112200280331670667175041262774725771659876567957582925301357628828248602691925907844722358301213139914015404436426779267271983888449253979674415125821209149275759147866165870581162371757423343391575396263425134002723137837421983194656328111495008741837043347036499575597175799342646192538599276258362874539127891869620846749620500722859670868897427696119241618178413824392362216107828093158704377197981713309968544504342556600547227770879512564933912619317297310875373024840532047258214782870750669512290468112815366996670718435780145227909088134765625
27,28,5,1,302861359658694326009024408964614792102958639079621677415209651620917204130027315511873012324008475980778509467790077632327285607214800641051969223795047953858358546011475838502160493609490538564241290795059062109766592497053060338578592610357863223433181658777602360014320404677479797593992138978149946470410125445525069701989332825413119064753122349296507969768734348898268006359353509587235142352465803558548732361783197805704905051590269151079836271482666476544454009407398330262053342428355950527897286214678766697281513059438754853786813124403416336870965482469099128257856491132360421403291184105910360813140869140625
28,29,5,1,102613420032459406233400732229128296852190530683080289930522262038474475400680954834316083375844913293590756187038513683122553255959338771803363609927528365073288753174980636995612013839986773079210979044851396090587739707221177644679412382257497062023459699509759479839858798616865133714702219912568422303947957053558834264756271319642653666132429636585362783897129464737151289380307689939291037711642478563610780278541440050909283716680389034834956291399665581978871201269229590477735809544709621294253270296436495284263932247333150570324922475004620926212883870792025870432901186881326825737579931308872424171174275738021298130277225713058442124747671186923980712890625
29,30,5,1,869169475979375540269622155207970337585631242368098371309893522221564232349186795255579358989262117407838804582435863673887669594356820355021879838038171414504210153723438410343597713844759232840594361346461915521175146582346347897132093339343941867175231109237695560901863327462841718664409278808574004523613908223013828068977527663533247475756173825045305111627364059544278169668902401873320159996597223282419000590259166528669399795932231652098344549736574914642837637059422979936578923768285706099184170727656910098923480478188065399069752799277554747767611217481602305922391710506535041942626302377730071552760874549580504989835145647913927711363816052893022057644024374483716910422259616098017431795597076416015625
30,31,5,1,4601344893139289172148041360715603198530709395318522718042001896544131518064148275789803232640363205036116435150110327926712638794965481352049622647564689425065188791512617883531803425102019515854201453142398956517903599947573702349932718903873799343343541167117950649796035831107185833073882634365527767391754682737501570321109812627476224017380332056443462894574832166935615142891932433129516660768053205820981228345588209215087208929718411266984222706507060203424964311388091496863246366322126596135514199789712216245168642842283791189378434091717919823462866596809819223970253745283684199396086527982701247294978355672723799135074849334965495264845124679576454115783422248125830610435647613030942416975989513625604182052130351233965033230788321816362440586090087890625
31,32,5,1,608982925963952461791462686614043724697267796344450136878839306997789151933836671072572426608240205971674614637010065366886604011849412507528995480119499630024902971798999503083371824650102515287336834413571928197792681103270074339636960109913327631428904795740981569841473655977131602738533422897055870059620287043975505809487213363016462914494044729846515924068960087597610929995614544985423773313860012927616492153250520182919181107209987769599831640370286837014942708055770376240606988413666310837783584779646898395153703733693052956729026943296528465491306706030233642714870557296726236001872414695859306843405927458314572940521461611861124707899570959189917411465569410827458490481661394064766065650604601845264708436759408251927232800111369451086946162899813546561075524180873565216476350769880809821188449859619140625
32,33,5,1,2014955478932789195463202297147448863115901232185726243101875073828115931576834855533295203404799920630005191523142266709377919776464371970128101350431085939540751005344381463771079532243662502668505607574149017251710093762558408834066258219561126155541624350912125202887015887484967755023544328438967262826030809035423252539963984673269133796897181243403621605964489366544118995342661173131802914862280674328410566263687492790336835794850773720904091884463606477709475538270793912871901286565263129320064262694376335892554522725038242730425993892596543567763988563398267948385388714486363019793205575356044026978347521951049580209936632074411847525467079435903778815593408910951691581221557726272601488916878287391947204555009232492170687891951165842306252083461410235042863777064809473502039616279442575008704258896047269543089786657621455268074583955240086652338504791259765625
33,34,5,1,166673210733070381705384542920960614765835287613096130732583271019197373258121590245784827826743217435336926768500486996298785177025798885147070110183223301722249172850688749769099661966673453726320917856831264404707497267331665082190279317865783133302598459461901249337834656411989358820108782215619677674467575521638054220351271580656780365371770814277405990948600841348943375405022147992347722489967523853013969649274377503069202134695651157729130681514814424931157423579644389932812039069048269831474320357091506430514662521416011884796048328429159312588202507529158891067473071612980449256272913228023617872556282560370436118241487841624548554440847730297708538927205616187505131719922437342415132906020359652315323972887698736778553240552576404137035190824267362753015688936095688838040212674390960827955725426773462080420623246839366187723273865259459440721871936722303074815363801045400328482148921693806187249720096588134765625
34,35,5,1,344672121375902562932989556373818979746808262454355641072697021806491949436946344863497959303243343238398244877512081660581079906507504188857485280493623732067918668532592965215334866595730522091499757413390403835100232918821210584730895302029911758883897441347293378326789714491524879929254894312845349570854024221441493252225916316623141264440423511409444467151590515526106379843368078822912488121618087762265699519015147901446867076171664999368748165215346561750737548982236260452805206278404805249154888018775154725698834844071598586183289208368201969496917465071701191414486563434109015811135382688408440772986739452396301283494620198856488054427219917587948229544255349605224899560376931193816365373525017593202682079998832018190689197738847808467402039932948355006023786945473715087987698418681336346477100693447548592816720257237384959128218420012733960249168379590336199603464649176575291798443921223516918763326564209867473088785352973345056139253816951395492651499807834625244140625
35,36,5,1,445478275765110290526234644908638522676265079275997245209140680203031917245727113777343920924255005492253008393591927155451217820290138859200667851675909322602790267735060304802187157992196433231961489171420001800036547358334212295315843629188049777666395621832331198841111228688050177614726603002525198146946232763721961019683479280031229169504942133975877238830521991588954289525125943839151612347609873698961647332836305706291072178793500683966809364059371438478066863604463574224349227831871115510115279964498813655558634684562092568016752295269094599941940481147428978429096358736539829328524189874392649339533019164016458234779969135803911284447387435652517458082261172814882141569107991262649963392720518197724123955087126303849837270445826001846950673685600567879438858631928660907940357641708421430824735179759613804424541172330637165923548960263247497910323685748705375074573056975695297045169969465528574718383741350197218643236203277204646117177298228510412076643419063844483794041817102081637025031736476510246802718029357492923736572265625
0,1,6,1,1
1,2,6,1,36
2,3,6,1,186624
3,4,6,1,313456656384
4,5,6,1,303256405652583481344
5,6,6,1,10561970993654308399280075833344
6,7,6,1,476743696199376997304779171699676062704205824
7,8,6,1,774689106047187352199812260768109135572848954062050944876544
8,9,6,1,2900363380223248278680600406338496999219106180260838995508595531710366960582656
9,10,6,1,31663935855823665680778813987354966766475687641611080038188677516093542955638571342800764305254907904
10,11,6,1,49778278495522215528437215965294780717176013992267299043265674863272177847492539416716307272472594437357502534405644389187584
11,12,6,1,2817197860852578802939445108831274442011586370387860539940669682402669791088703647389534008602606201782333916432893000720392371657331457271074708783104
12,13,6,1,826532280269719549685632972920486493706141744468272793413259356162366341648392333768078779862951909806083757887865987581126892583474825829555006120806340347721060934983499137417216
13,14,6,1,8729809969527731113281268932746598577753132111133134074306673719259193978215757707753848725991185948001766065155245553837408923511156161037203193138159888387913250836419504012118519615462134919798415943012450304
14,15,6,1,13277375953670318099725626746527502675623772686568897917966606909863559321257248036688672583604702408354912512950491304212061394867608809718197484596191055938452818479239059432841333170545856557244489510131829369152870188077901733727066803666944
15,16,6,1,6542816276307017048349847976700700057438434767451289865082343550948510791794259424404517640171773362374462255378328860138742739530041602951385510731708314693653023877823887172599390695159298271659639429005685630661269912330027487872949477520957486490638181964698126244927626018816
16,17,6,1,29713900464106572944789729651103315565978354400510379451866464348021825886929349197562936369445678075241585084256509392194684833456905496010784617753102386502365119025553480680367038464217447814866539485685830157974538581553724538551594848329745546537614694205681367358675556396774264509003215922751511135451926950313984
17,18,6,1,4857995451220353627002507691981628833035834350640968138512141823848776312213961756374435995412578629438774063685198550823574726540109489320492005522637493383719454533005829176428973598423895498243343540945702118436878882932057819779608991090795393816096064195304911899854656634906275970554549857363951162937846835712617857148552793768382482345926549754689355776
18,19,6,1,9264074830138206578195083358069211343071340094617322904320893243324736982013230982959544773051677345895453846885952004554609149028028703808468265961173955226023024609139031188438603469541991803896971535010849409098294198897097649446582422290560214781157870191517514906009376658296061858944848859654443460765100877801494978105822544525277830389018595263804317963419093921424884356480460768586599041068957696
19,20,6,1,635988855799829407296956374796188097905163808479733593468543784835264119159125674244886321368577416903519341361696155693611787381788385136251568464226971122395177475818808668268237712342348179107070512762657313707977585027055212231658528083814519081479994011758993070605657329618791729542008766400824058848309558479810135906716919660399823721778740437380162487064004683204336739292749810964493229251719473156543176559775599648340561636784561987126296576
20,21,6,1,25148925856056815361664936779758723785773900587831034653521647243754770015333642789926094960492124996088489714033904944636479269400735370365320496665689841595655347618996023789360743047142801052754555053674966219381685753515546412030414363283732615271560695343170702137069551156496862725347569552808728050327150926460247909284010646048818591711108351151368448169442832830688069645753570581023516881744839763466867174956054304436698752644799039965909317999046063509844150267059841854066992674823320109056
21,22,6,1,322206565361031764263577616601981940595760498403601375665354737730621888329663104339045409050293031068895667665739453459720055744535142719865031859328008887801655471078153119595297647591533397279991673426070691288579587989219675494063923006101014162952106547292732087437008528202396645836243658938851224682297500983771634570978575651686221580023855527306957976793551594381382959247512086113852305417155088844120273526050961849950840229248784663213306124723963033042703322766480266702878306632288841091201162864747013248286877878279917001615342775528587264
22,23,6,1,594445197192863938842536692600217869576962872467527255536521690173480851609681535771540778129658912826620131727977503959973824541467572863200079323115635682464804129503514246179555703096068313811090100465171176787120021963014504309766148509871053448674189519486446846731195039263094104911319636824440422581561405144571748275035522563900192288800293429261531315631910559892749100616977618519828782149822226578767445706109000515105016337049538841778413281319882299063492319648968165953755994687551528918419815556719178146825413971775808215719881724499121251020440204848208388858747284062399414268903874577301504
23,24,6,1,39481328738630295717163061255725260144745862494258336826230979358920145184200689238231788299342057836457462332734207390603239270447812728707718584993744053450049833868583700440962601258325537041807607933676250664630135505503216641596026679445027358243743969328250836232300217727288327847433908013386877639511811869711508679431080451663479425615558960033094730552345252042732102301873191691148532878651043655549266517150368064126675084272082734299073749391981440705989927002671815766069875607942210787007322447261226409415216796864183632672710674067097521251235184636707469225455429440958215432160450605950905481410949406839650166908664786644186055617974376998109184
24,25,6,1,54374676028594899232268441058996520811437404689157686940831400120499839399262224751521626999745805599312731411196008628111385927127076699041194101223553239938023547120118865848266120274130693220318230702295343483630700158958236330800409802561965605040735186439162528100805076218069163014758593021181575863665272404150563734330250618493584434715221601547584167067369810574474634728851431476215348075297848207557243920545781013628101601414692297301932610944444248472378878110287937707098901819116688659723400230458544053447523200092484774947277174803436008431356810491371105065944152465284560871989113472615853903422566328110275854966167652489422802220280502026827142352981456303571286730202366270111255872604141144356111253504
25,26,6,1,2695902026508647034298759774546710111533729340655144030414053752629224567820192777158977540369851886684076044395340301783442253580073004341113971912335249588927290223320341480292821775928112430158639106623591957431200152389256192137399450592488620540736259824521441221437543989118728309532477470675239432006450010064386489243344760002254366772936613727560848952174110489855418210539631824191140476145019262032649050257032251750607122840500543898281742936568781703370880363888448797589809074474551039771069735407672689433068443733820082159084193058939285166136375763710807302899195691428223139231032582038636452348862446568783699919845412098592842358681590134366834316284936599022039999665658493922012009382298773076395473158095274572550838500585905173409014913910816352219500183514251264
26,27,6,1,19247486339236926419172944032016643478975942296487378772298811352027679801258310329248230716829993703724694146481592465116882952422553385808450404837627163774029362146798599569420787401623827760913400754115594218616931716248044298098570774150688328061222072240204149099263468350351217867345345862485391508088748092977237923690645727632473680667199145844941805206314615063216874398791745088754178137385064916705406872143115148383454582129835149550143687796582138129844337686885130382329954712471033805047706732509799417918157030161757551255174449266429912100710620759835799694223074328190270834800997754074307061558813337488933072482483688091403473990789582196239386257865729393995999800733730949437067814787380523581617345291603958306265906807403318857637274109099982307359994284627294024234370356904075154102005115205512702153010769084806843970093056
27,28,6,1,3606400578533128401669784323784525860872626160220379123695296993046252730799235952122202716635988243945314842679018038845564309558427350489927878298276812304791399477356759975273856656644307437641929120370910543334546121562274625093728128162729398896820863933221618253122482385053592935457801260864104172975887600925282522403094524245292497329409885116346220859153440055210412775795797355856210416047046868022708468761183799896159150363787903451135278715799437798312930103433413359998041859218399053303826343503343969479284722344366484880542093930640162298444026953670997376773699410762855250995974915872050599966877346044100154990385117579421568274227352724196801126832133873569551956864652276087854565661257560636611108773513505908446177489618146319911147094283528116247808768668935698338068009926243113030093565075787389676716160111206710610495306665946439476224436577735928497610540400601378641309472065542638534656
28,29,6,1,389221114096667871347945590167537228036658689062687085900161394520701517567852920649166737982881939024545753149209201413355720539426877391110811228865354284961078380985494177254098847691560504889104208786604387059969619132868399331132267433450109876122086960228965052912379539154751967253066105173414254541412494539156080638702328781816650386065596589614745723661850674116998654734410892354663024011020330534685957983607012020080435706784017135332229171366113219946800175542692349203243590510883280965754916744368282742876125224629198851280832606526991608241005761172530566506527009508997010966129164436413365068864541641549430042099695830371588353800921824629878383305082542482994139743013058492189822609461772106931428634597163129480044151431138172873539979131472154727104017529438817301095468352128400019574503251157569574572582385316076405856415590917267330709182211181120043948672681409276861928451485640680575435786138798653224199596377158279099351986918605986640824066589640104083456
29,30,6,1,1512242083193574001506182624127231878627397246398940820193377627349433793796389555350010912785410401686519526138482103400943852991883494210010721564652523598786696976649829258033468002431481864796951144040703606969183942542433003842172367300890154913843200756934185088387657346644683395360748793825460001372196282413191770036211001687271274792597966901026445927053243089936101569363687643710869638620730288380762302024043815681553250173038116185113607719329214907302525009565029336197877896539916495212259972140707220576201656185026865402531083282791698449251161330303411434768919341311276133304115904576000159948667100605848523283991790436477163755831667836002231135383750177062055571107141597425633376385574295665287248259229475213456559499640883902017398242504579436709288758569389589800015370584336745143515547914369744811769887979595186666987539235570875938614792945052957739232139392873679628067052912743692083009008996520467363533734336802867729748106672099369348129782312904430687428089474985638316579569852313149125699271531972737740398834300301099401216
30,31,6,1,7614672847442987721024179929542489805554619158927496321150826774765788748442386417459040531120008181470300548477425769017662216936894260004627304785311477003316077864083849721265503777342856790095249720174475523373292462936135507365715935470870404398600887426724754159693218772285964104467343515990597753787664099915055035997867031729997476326416752365322403122613613388292872619336749466709302493808243502443436429587530821874017536718408918139737675201607756102226846152439543536915160228510925114371811005027345227052916285841147783690457001302989868754831869661819540234241234483414610949203397128188907266839060990754909616230426962439264059939169874078360437518860670085493792403784902455031587054178656887864245590963377959634161271873899020149961184930163442674165248401237886135467714454651946530329174594036201063456727808600471725054104291862233304195384481807887981301790270205085029064284279197141612257929961400403328079165310839677324912537653897172500425815554252842889523934480010710875721390501766920609263865110955698254203669958776129392524230186493887154886340601202153368344468973312653525899450826093874770132074496
31,32,6,1,1380332392443995676859733794260889222835199363742856091226160499143874709146242632762233971517928146493280826344358375239014944339385210068789348744768328907553228514641331450531849531973943676909139938612796024069788756997157243319077281417938974975918466904747717777754859121039782383525414337916680765504947204355591275633214443155245571892637926879358542588682009933845488034838941999505922288958377392893929835125067572463789978627589521128468867098265146773336509908857110626040160604370487768688248649011842531333635946999005003050158570302255243369682768493489371054983339646718835753135407639140627592907378070389032684346199348882537818384392394962389751608060994280096548042284745536755393108086260840260693912477153761516482593769254975803646691895055356214421241703132183485894338245068899369893485120232956756617393104859749283766946907632310510010392821649663374709507269770979081271046586278386782851342876034690384189192840186013596881889434733226634765513660519252016096091520059922496264475512137682164558366967045569236099585977909914295270636859686931207629815866171087096545062046793748329328709569820471807190556867214553163163195097381693515796818730458601631572053862752040664517695384846336
32,33,6,1,9223984566329496405494359281179190792088835190427501038404562502568979988176488526188139789659022464846105473959874294813121275187882157861524243107819925667391857466962855575029565375514537607671522976957875381261832176702486257274658216013790320026584209227297831535499571500511869117996708860263984114665097857346978547158974417103122563154354101304026060530941568901370363867196482815589394584409570533902218192237038828726898057971509468120587921860065477403033870591067879272920940498312202826076133676129682151298381229687595188963171766025695113405416032615736737747542793195468470825088308236571298641728070764743709449530269412606663026109258264281725179870109357915026124125892225691683221097717365695118089604593620631582827073126209412923131299849267156139433875019209438079318247527728893413340527778054793789338655830914043620534268820548540805695272513546852515622564234821077289229465577638217636566272262977229685077259708471645559795944965363720953796086005122419718986273263771684917521965685665404625544740923375504426085765942108218396495719837764334722524721483214643219875270099352371075907666847567102349117374645719302544370674826334789374775528565755671618582162132733184491592319367687796527497683529967696544341958744228249844685106861662627272038564055681095868350464
33,34,6,1,19970938105620901874317240484395324239204744947520170645056473700613000141854165622093595269782693821149721611308631926085905333259373943260956660152652407013282196881809776058998029262336724670058743382427168224425283104354976147556682961716079817462167974023881098935358988682748009669887858829932360040320747850015765277903713179172708998869992677721179901093791762237625322524388099918957805628766679524338083982415155147671665788171725737367987624773524611143150761822481434302580777565623845995662248158924648746256594877663202476799708279049186782272599791046256788198360579167654034873711407962141903120724072271630472937585034476450940772057547945808463929303576556479036296796865417868466071500184384244133154477985956020321112042721349318166621953032540914855088133101650023837033230932068206487086856688809817498746818933152629857350844515158855415153189389956778868173568152621513711262524251791918216316125103380266252764193649032510854173556448620608790980191439554814902806635269416918935768078029332524179318326664927793969490571773106703095145164044280158370533109882876586778713081418454077908979725749678153753215902730934512798202020135157689555467473997778621813902907338809791731609068173607041868464578890206995878626645453519094425095664536775351559377850813757288713003056127312854800292016787419158611330203689632748175863125541990890694730717140262846464
34,35,6,1,6226455031106380768362931989200603554022898833921238178723368455164162798576784347880591682649797909205685297516163844373506271679053707262741604206111399206852818342433954455324575545954356281739750582757111380757627514840441818601246157782907080549894164344250307219818530289215027697864551111129566457454427087842427728440461709354762694652315323159386523446029652626640461948619524571525234397179049643242482196980655027279857434967056997105630236862351592549466576223057597646068706684087441911493786919083551209481498058550408983561856890294255615692360020155653864450290544414167602118775427973712145078852346718100420116995956478211102215349714270944717113626669819715412351434594983839022032694377599194127602172321532212011528745800261072083108437426079369600630645904097666395701415599912920172637573619661775535980803837141508469770502970205621864884405284166019110806422225208080306727876247022801233030590436794328229437577933514275769517493844050833653293045826329200040432361425272070043047464979601190319657201529025038986029408294098043644213658378287487582364308119244519203969170050135079095379583600324382036015834266795704971315496711846949541094987974519062078637813408181900908775789184613358699322683606518116762191581727077426532812870523628126756279296191550894255727653213981253419250742263032257873901642532341675316715560547129489672123371037229903421402918582533802658924099250415905431229150916594545221383961448954809562557702593314816
35,36,6,1,69885285997918158116494013043224949624120104956529894601460986676320637299445985124506513732783001224077994003909329073793608142773089765014098798308174697284133669657300446914210106708865380572351140613311095567267714205030698208137507099640140872043074469420590638172354873677921925500856604418108162476401176027075217799984238426216428658216283824704427914865860229374323519960141632478328474694718655994682456793878889290809401344048347832471338084314988655951833269330263644782097019500944984487765894320116742054257081104198445066199825939876430450547878523474595716429549191881904647361046689956339659009164154260115130374736536409907061963939001008769966604584290900494216710131676357670900345179881087460731955118678046852015429205252079117855675245091415647254557825082218941146932286500306320945674766596153039690946065617248574313153129481801635305328659325919136765726605965467074059132946293849044841594608434488901144274139372981134875756376817053316039366962237940167164960863364610668049560942877436335416409387883740342111592064268545798568629787608050180542265108433675312099315681468812167730875998429529446618724486349465547707590661484454842854961678891061181684957619354671722030814449578315707764045194540595233884030354984483788716915245535836210086604044542516547055148982096929847320553365035336008744143925518967987012102502609232411776502893220178428210808840057758537745533237601703990849486918652036562366873053212732705827834982768791719913847392536194983301836806804980383736390846022413693706899750555859382994245878022144
0,1,10,1,1
1,2,10,1,100
2,3,10,1,4000000
3,4,10,1,16000000000000
4,5,10,1,102400000000000000000000
5,6,10,1,1638400000000000000000000000000000000
6,7,10,1,10485760000000000000000000000000000000000000000000000
7,8,10,1,6710886400000000000000000000000000000000000000000000000000000000000000
8,9,10,1,27487790694400000000000000000000000000000000000000000000000000000000000000000000000000000000
9,10,10,1,11258999068426240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,11,10,1,46116860184273879040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,12,10,1,18889465931478580854784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,13,10,1,12379400392853802748991242240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,14,10,1,811296384146066816957890051440640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,15,10,1,21267647932558653966460912964485513216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,16,10,1,1393796574908163946345982392040522594123776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,17,10,1,2338402619729444669125895732346052831449492068761600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,18,10,1,392318858461667547739736838950479151006397215279002157056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,19,10,1,26328072917139296674479506920917608079723773850137277813577744384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,20,10,1,176684706477838432958329750074291851582748389687561895812160620129261977600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,21,10,1,47428439751604713645494675459558567056699385719046375030561826409641217900517785600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,22,10,1,1273147485209053803917778555255861350657167746041210156647587780846488312352085441364623360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,23,10,1,13670317029893824527328138919485133533457308943082577727661066290062206244996099520146957356394086400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,24,10,1,14678391142336457674309253729933356421098015930676999191920568572076306406966302771648118739904804393949593600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,25,10,1,100869135862769866783434342656367651341004132532391543469947631114869047735032859165220521612505384040464967655185448960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25,26,10,1,43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,27,10,1,7442828536787014559225075792773166431781287533438136937282459639609746310281194734860196359308938911342208221248165662039394320677014077440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,28,10,1,127866820620943041797390222532328091883462579923557218339191069066255226422057599800127737981480631138706511098732815273797549083823648166145645608960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28,29,10,1,3514776401986872174070733209129673327241950873673372369609965291102998109899599898686750536018664732148375711432438199315006457855854921632037902485050909261824000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
