degree,signed_directional_moment,predicted_when_applicable,residual
0,0,0,0
1,1.0408340855860843e-17,0,1.0408340855860843e-17
2,4.1980308118638732e-16,0,4.1980308118638732e-16
3,-1.0408340855860843e-16,0,-1.0408340855860843e-16
4,2.4980018054066022e-16,0,2.4980018054066022e-16
5,-1.3877787807814457e-16,0,-1.3877787807814457e-16
6,0.24390235667859811,0.24390235667859783,2.7755575615628914e-16
7,-1.3877787807814457e-16,,
8,0.62756049086187859,,
